s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg	clg2
BL15369	18813214	BFL_3	2331	ENSLOCG00000012834	61573181	LG4	344	Q	Q
BL15365	18949696	BFL_3	2332	ENSLOCG00000013099	63369328	LG4	364	Q	Q
BL15344	19654696	BFL_3	2342	ENSLOCG00000012851	61722755	LG4	345	Q	Q
BL15326	20052262	BFL_3	2351	ENSLOCG00000011608	47668214	LG4	281	Q	Q
BL15322	20105434	BFL_3	2353	ENSLOCG00000013829	70384078	LG4	408	Q	Q
BL15321	20140256	BFL_3	2354	ENSLOCG00000011223	45775305	LG4	262	Q	Q
BL15279	20630176	BFL_3	2371	ENSLOCG00000008011	20425327	LG4	139	Q	Q
BL15256	21138724	BFL_3	2376	ENSLOCG00000010714	43375373	LG4	238	Q	Q
BL15198	22282363	BFL_3	2386	ENSLOCG00000009161	25356366	LG4	179	Q	Q
BL15181	22669327	BFL_3	2389	ENSLOCG00000011743	48859608	LG4	289	Q	Q
BL15180	22885296	BFL_3	2390	ENSLOCG00000011731	48777051	LG4	288	Q	Q
BL15102	24240788	BFL_3	2412	ENSLOCG00000007989	19637590	LG4	137	Q	Q
BL15081	24701087	BFL_3	2418	ENSLOCG00000013771	70115715	LG4	402	Q	Q
BL15068	25028126	BFL_3	2421	ENSLOCG00000012066	51246077	LG4	302	Q	Q
BL15066	25048985	BFL_3	2422	ENSLOCG00000007894	19328308	LG4	134	Q	Q
BL15064	25090039	BFL_3	2423	ENSLOCG00000013447	66740815	LG4	381	Q	Q
BL15041	25401721	BFL_3	2433	ENSLOCG00000008049	20475024	LG4	142	Q	Q
BL15022	25594489	BFL_3	2442	ENSLOCG00000010595	39876179	LG4	232	Q	Q
BL15011	25712838	BFL_3	2444	ENSLOCG00000013696	69765520	LG4	398	Q	Q
BL14971	26411812	BFL_3	2457	ENSLOCG00000012288	53551396	LG4	316	Q	Q
BL14962	26669025	BFL_3	2460	ENSLOCG00000011235	45784683	LG4	263	Q	Q
BL14944	27267228	BFL_3	2465	ENSLOCG00000010362	38425816	LG4	222	Q	Q
BL14901	27802957	BFL_3	2477	ENSLOCG00000011303	46377319	LG4	266	Q	Q
BL14878	28411785	BFL_3	2482	ENSLOCG00000012873	61906922	LG4	348	Q	Q
BL14854	28802791	BFL_3	2491	ENSLOCG00000012306	53585997	LG4	319	Q	Q
BL14853	28815202	BFL_3	2492	ENSLOCG00000012298	53580715	LG4	318	Q	Q
BL14840	29067684	BFL_3	2501	ENSLOCG00000012742	60641126	LG4	336	Q	Q
BL14806	30006786	BFL_3	2511	ENSLOCG00000011286	46112043	LG4	265	Q	Q
BL14787	30566394	BFL_3	2522	ENSLOCG00000007998	19752299	LG4	138	Q	Q
BL14766	31256206	BFL_3	2526	ENSLOCG00000003287	9261201	LG4	48	Q	Q
BL25033	31368930	BFL_3	2529	ENSLOCG00000012198	53150037	LG4	312	Q	Q
BL25030	31420927	BFL_3	2531	ENSLOCG00000008036	20425729	LG4	140	Q	Q
BL16131	32087090	BFL_3	2538	ENSLOCG00000012080	51342104	LG4	303	Q	Q
BL16135	32378014	BFL_3	2541	ENSLOCG00000007938	19422650	LG4	136	Q	Q
BL16158	32950805	BFL_3	2542	ENSLOCG00000003365	9856360	LG4	50	Q	Q
BL26767	33465017	BFL_3	2547	ENSLOCG00000011759	48924519	LG4	290	Q	Q
BL26766	33472724	BFL_3	2548	ENSLOCG00000011808	49158244	LG4	291	Q	Q
BL26765	33484494	BFL_3	2549	ENSLOCG00000013800	70210045	LG4	406	Q	Q
BL26742	33903553	BFL_3	2555	ENSLOCG00000013485	66798967	LG4	382	Q	Q
BL26729	34063063	BFL_3	2558	ENSLOCG00000012206	53153608	LG4	313	Q	Q
BL22866	8476847	BFL_3	2144	ENSLOCG00000014301	159436	LG1	440	C2	C2
BL22849	8899819	BFL_3	2150	ENSLOCG00000014974	5718321	LG1	483	C2	C2
BL22848	8930054	BFL_3	2151	ENSLOCG00000014971	5607913	LG1	482	C2	C2
BL15433	17730018	BFL_3	2293	ENSLOCG00000015638	12635655	LG1	550	Q	Q
BL15432	17734524	BFL_3	2294	ENSLOCG00000015345	9470460	LG1	524	Q	Q
BL15377	18604562	BFL_3	2326	ENSLOCG00000014968	5602003	LG1	481	Q	Q
BL15356	19343071	BFL_3	2336	ENSLOCG00000015620	12331308	LG1	549	Q	Q
BL15345	19632583	BFL_3	2341	ENSLOCG00000015377	9811178	LG1	527	Q	Q
BL15300	20371139	BFL_3	2367	ENSLOCG00000015161	7614800	LG1	500	Q	Q
BL15283	20600538	BFL_3	2370	ENSLOCG00000016427	33196657	LG1	716	Q	Q
BL15265	20995936	BFL_3	2373	ENSLOCG00000016070	21886363	LG1	632	Q	Q
BL15228	21759863	BFL_3	2381	ENSLOCG00000016077	22095669	LG1	634	Q	Q
BL15194	22365154	BFL_3	2387	ENSLOCG00000015359	9532629	LG1	525	Q	Q
BL15142	23487609	BFL_3	2403	ENSLOCG00000015292	8867465	LG1	516	Q	Q
BL15049	25270143	BFL_3	2428	ENSLOCG00000015304	8965304	LG1	517	Q	Q
BL15039	25439077	BFL_3	2435	ENSLOCG00000015404	9933148	LG1	530	Q	Q
BL14990	26009376	BFL_3	2448	ENSLOCG00000015407	10039554	LG1	531	Q	Q
BL14989	26027801	BFL_3	2449	ENSLOCG00000015380	9814628	LG1	528	Q	Q
BL14981	26121016	BFL_3	2454	ENSLOCG00000015213	8012921	LG1	511	Q	Q
BL14973	26407783	BFL_3	2456	ENSLOCG00000016267	28169065	LG1	676	Q	Q
BL14969	26433780	BFL_3	2458	ENSLOCG00000016080	22145324	LG1	635	Q	Q
BL14904	27772517	BFL_3	2476	ENSLOCG00000015619	12323491	LG1	548	Q	Q
BL14895	27926028	BFL_3	2480	ENSLOCG00000014940	5121110	LG1	478	Q	Q
BL14838	29125745	BFL_3	2502	ENSLOCG00000015780	14705385	LG1	573	Q	Q
BL14817	29668850	BFL_3	2505	ENSLOCG00000014966	5536579	LG1	480	Q	Q
BL14816	29706632	BFL_3	2506	ENSLOCG00000015080	6508097	LG1	493	Q	Q
BL14804	30028705	BFL_3	2512	ENSLOCG00000015274	8638492	LG1	515	Q	Q
BL14794	30400492	BFL_3	2517	ENSLOCG00000015215	8040564	LG1	512	Q	Q
BL16133	32363210	BFL_3	2539	ENSLOCG00000015305	8965533	LG1	518	Q	Q
BL26723	34134024	BFL_3	2559	ENSLOCG00000016072	21903528	LG1	633	Q	Q
BL00207	1391118	BFL_3	2095	ENSLOCG00000005510	14184172	LG2	1078	C2	C2
BL16798	1697149	BFL_3	2097	ENSLOCG00000010969	44435642	LG2	1263	C2	C2
BL16777	2122095	BFL_3	2099	ENSLOCG00000002094	5014005	LG2	996	C2	C2
BL16740	2633404	BFL_3	2108	ENSLOCG00000009885	35027239	LG2	1218	C2	C2
BL16829	3487955	BFL_3	2115	ENSLOCG00000004546	11337642	LG2	1050	C2	C2
BL13329	5308870	BFL_3	2118	ENSLOCG00000003114	7758686	LG2	1017	C2	C2
BL13316	5645699	BFL_3	2120	ENSLOCG00000004807	12691191	LG2	1056	C2	C2
BL09952	6080651	BFL_3	2122	ENSLOCG00000014593	64941894	LG2	1450	C2	C2
BL13284	7200367	BFL_3	2127	ENSLOCG00000011668	48300421	LG2	1302	C2	C2
BL22862	8541221	BFL_3	2145	ENSLOCG00000004068	10591340	LG2	1038	C2	C2
BL22855	8782147	BFL_3	2149	ENSLOCG00000007197	20235755	LG2	1123	C2	C2
BL22842	9124537	BFL_3	2152	ENSLOCG00000013434	58684060	LG2	1381	C2	C2
BL20116	9447574	BFL_3	2156	ENSLOCG00000010314	40158887	LG2	1232	C2	C2
BL20117	9497495	BFL_3	2157	ENSLOCG00000010302	40096415	LG2	1231	C2	C2
BL20121	9531915	BFL_3	2158	ENSLOCG00000004362	10839941	LG2	1046	C2	C2
BL20123	9611684	BFL_3	2159	ENSLOCG00000009155	31963930	LG2	1194	C2	C2
BL20134	9893963	BFL_3	2162	ENSLOCG00000008980	29607746	LG2	1182	C2	C2
BL20148	10147623	BFL_3	2164	ENSLOCG00000001965	3799503	LG2	994	C2	C2
BL20154	10294884	BFL_3	2168	ENSLOCG00000010023	36528420	LG2	1221	C2	C2
BL20156	10402739	BFL_3	2169	ENSLOCG00000005821	15184223	LG2	1087	C2	C2
BL20177	10738936	BFL_3	2174	ENSLOCG00000005520	14252482	LG2	1079	C2	C2
BL15808	10914675	BFL_3	2175	ENSLOCG00000008270	25531246	LG2	1153	C2	C2
BL15804	10944634	BFL_3	2178	ENSLOCG00000012872	54665381	LG2	1357	C2	C2
BL15803	10967831	BFL_3	2179	ENSLOCG00000011935	49503959	LG2	1312	C2	C2
BL15795	11086087	BFL_3	2181	ENSLOCG00000008733	27917504	LG2	1169	C2	C2
BL15794	11123019	BFL_3	2182	ENSLOCG00000009573	33869690	LG2	1208	C2	C2
BL15791	11145185	BFL_3	2183	ENSLOCG00000010401	40761002	LG2	1236	C2	C2
BL15771	11697212	BFL_3	2189	ENSLOCG00000009830	34685875	LG2	1216	C2	C2
BL15765	11806667	BFL_3	2193	ENSLOCG00000009168	32364351	LG2	1195	C2	C2
BL15755	12015761	BFL_3	2195	ENSLOCG00000014703	66739147	LG2	1465	C2	C2
BL15744	12159769	BFL_3	2200	ENSLOCG00000008463	26635149	LG2	1159	C2	C2
BL15690	13020026	BFL_3	2209	ENSLOCG00000005217	13546192	LG2	1068	C2	C2
BL15683	13086983	BFL_3	2212	ENSLOCG00000009096	30928477	LG2	1190	C2	C2
BL15681	13116515	BFL_3	2213	ENSLOCG00000009712	34273731	LG2	1211	C2	C2
BL15679	13171122	BFL_3	2214	ENSLOCG00000007893	24269820	LG2	1142	C2	C2
BL15678	13174918	BFL_3	2215	ENSLOCG00000009824	34647855	LG2	1215	C2	C2
BL15665	13397315	BFL_3	2222	ENSLOCG00000009005	30047345	LG2	1185	C2	C2
BL15650	13613372	BFL_3	2225	ENSLOCG00000002123	5024127	LG2	997	C2	C2
BL15642	13684974	BFL_3	2229	ENSLOCG00000011352	46473793	LG2	1283	C2	C2
BL15628	13890702	BFL_3	2231	ENSLOCG00000001819	2496488	LG2	991	C2	C2
BL15565	15009183	BFL_3	2245	ENSLOCG00000011285	46168660	LG2	1278	C2	C2
BL15555	15141031	BFL_3	2250	ENSLOCG00000009875	34999004	LG2	1217	C2	C2
BL15539	15411248	BFL_3	2257	ENSLOCG00000003658	9800023	LG2	1029	C2	C2
BL15534	15468997	BFL_3	2260	ENSLOCG00000008277	25531831	LG2	1154	C2	C2
BL15532	15503436	BFL_3	2261	ENSLOCG00000003614	9697194	LG2	1028	C2	C2
BL15525	15675848	BFL_3	2263	ENSLOCG00000012392	52865042	LG2	1336	C2	C2
BL15515	15925451	BFL_3	2266	ENSLOCG00000003671	10064110	LG2	1030	C2	C2
BL15507	16047485	BFL_3	2270	ENSLOCG00000009746	34386018	LG2	1212	C2	C2
BL15493	16250501	BFL_3	2274	ENSLOCG00000010027	36573866	LG2	1222	C2	C2
BL15471	16715728	BFL_3	2278	ENSLOCG00000008936	29477246	LG2	1178	C2	C2
BL15470	16741676	BFL_3	2279	ENSLOCG00000008927	29433749	LG2	1177	C2	C2
BL15469	16747085	BFL_3	2280	ENSLOCG00000008916	29421008	LG2	1176	C2	C2
BL15465	16831613	BFL_3	2282	ENSLOCG00000007436	22241589	LG2	1128	C2	C2
BL15462	16865623	BFL_3	2283	ENSLOCG00000011190	45816488	LG2	1273	C2	C2
BL15451	17474794	BFL_3	2285	ENSLOCG00000010712	43118643	LG2	1250	Q	Q
BL15450	17480370	BFL_3	2286	ENSLOCG00000007095	19518452	LG2	1121	Q	Q
BL15445	17597813	BFL_3	2290	ENSLOCG00000012446	53166943	LG2	1338	Q	Q
BL15410	18118068	BFL_3	2303	ENSLOCG00000010808	43377902	LG2	1255	Q	Q
BL15398	18307605	BFL_3	2311	ENSLOCG00000011512	47534202	LG2	1295	Q	Q
BL15346	19577691	BFL_3	2340	ENSLOCG00000011601	48188851	LG2	1298	Q	Q
BL15320	20150129	BFL_3	2355	ENSLOCG00000010753	43197263	LG2	1252	Q	Q
BL15317	20169085	BFL_3	2358	ENSLOCG00000007408	22072768	LG2	1127	Q	Q
BL15306	20306599	BFL_3	2363	ENSLOCG00000010692	43084266	LG2	1249	Q	Q
BL15303	20354850	BFL_3	2365	ENSLOCG00000014713	66786000	LG2	1467	Q	Q
BL15301	20365950	BFL_3	2366	ENSLOCG00000007313	21394246	LG2	1125	Q	Q
BL15272	20809116	BFL_3	2372	ENSLOCG00000011523	47789610	LG2	1296	Q	Q
BL15259	21053582	BFL_3	2374	ENSLOCG00000012916	55681023	LG2	1360	Q	Q
BL15248	21340772	BFL_3	2378	ENSLOCG00000007226	20306054	LG2	1124	Q	Q
BL15154	23357683	BFL_3	2395	ENSLOCG00000010680	43056284	LG2	1248	Q	Q
BL15078	24734929	BFL_3	2420	ENSLOCG00000010792	43314096	LG2	1254	Q	Q
BL14983	26114960	BFL_3	2453	ENSLOCG00000010771	43221426	LG2	1253	Q	Q
BL14925	27501070	BFL_3	2471	ENSLOCG00000007128	19828943	LG2	1122	Q	Q
BL14900	27846894	BFL_3	2478	ENSLOCG00000005065	13067602	LG2	1064	Q	Q
BL14897	27898423	BFL_3	2479	ENSLOCG00000017552	55572236	LG2	1358	Q	Q
BL14880	28354091	BFL_3	2481	ENSLOCG00000007056	19244106	LG2	1120	Q	Q
BL14874	28453598	BFL_3	2486	ENSLOCG00000007041	19232385	LG2	1119	Q	Q
BL14856	28766176	BFL_3	2490	ENSLOCG00000012942	55975309	LG2	1361	Q	Q
BL14846	28969169	BFL_3	2498	ENSLOCG00000012221	51402703	LG2	1326	Q	Q
BL14819	29494299	BFL_3	2503	ENSLOCG00000010824	43388472	LG2	1256	Q	Q
BL14786	30671773	BFL_3	2523	ENSLOCG00000012963	56673537	LG2	1363	Q	Q
BL14779	30863258	BFL_3	2524	ENSLOCG00000012954	56207055	LG2	1362	Q	Q
BL25035	31344788	BFL_3	2528	ENSLOCG00000003868	10307693	LG2	1035	Q	Q
BL25032	31386120	BFL_3	2530	ENSLOCG00000014061	61375590	LG2	1409	Q	Q
BL25010	31820171	BFL_3	2533	ENSLOCG00000012036	50307796	LG2	1316	Q	Q
BL16128	31948075	BFL_3	2535	ENSLOCG00000010844	43913561	LG2	1257	Q	Q
BL26748	33780387	BFL_3	2551	ENSLOCG00000007363	21979057	LG2	1126	Q	Q
BL26744	33884858	BFL_3	2554	ENSLOCG00000011567	48124812	LG2	1297	Q	Q
BL26735	33962082	BFL_3	2556	ENSLOCG00000012018	50054822	LG2	1314	Q	Q
BL26734	33979264	BFL_3	2557	ENSLOCG00000012028	50294357	LG2	1315	Q	Q
BL26311	6707	BFL_3	2091	ENSLOCG00000013760	42528271	LG3	1843	C2	C2
BL18979	729884	BFL_3	2093	ENSLOCG00000004788	6412876	LG3	1554	C2	C2
BL16807	1372490	BFL_3	2094	ENSLOCG00000013873	43104493	LG3	1856	C2	C2
BL16802	1589035	BFL_3	2096	ENSLOCG00000015018	55686321	LG3	1971	C2	C2
BL16747	2524385	BFL_3	2104	ENSLOCG00000012906	38718792	LG3	1786	C2	C2
BL16742	2607764	BFL_3	2106	ENSLOCG00000013995	43891178	LG3	1870	C2	C2
BL16727	2958032	BFL_3	2111	ENSLOCG00000013022	39047856	LG3	1793	C2	C2
BL16726	2974932	BFL_3	2112	ENSLOCG00000013028	39047386	LG3	1792	C2	C2
BL16720	3130067	BFL_3	2113	ENSLOCG00000017949	47431675	LG3	1905	C2	C2
BL16831	3458610	BFL_3	2114	ENSLOCG00000013224	39606259	LG3	1803	C2	C2
BL16808	4067524	BFL_3	2116	ENSLOCG00000013867	43104359	LG3	1855	C2	C2
BL09954	6097000	BFL_3	2123	ENSLOCG00000013642	41784088	LG3	1833	C2	C2
BL13279	7135643	BFL_3	2126	ENSLOCG00000013897	43332415	LG3	1858	C2	C2
BL13288	7288531	BFL_3	2129	ENSLOCG00000013892	43224956	LG3	1857	C2	C2
BL13299	7489453	BFL_3	2130	ENSLOCG00000014796	53628821	LG3	1947	C2	C2
BL22890	7919177	BFL_3	2133	ENSLOCG00000012986	38984134	LG3	1789	C2	C2
BL20113	9318287	BFL_3	2154	ENSLOCG00000013987	43870691	LG3	1869	C2	C2
BL20115	9346610	BFL_3	2155	ENSLOCG00000013318	40094735	LG3	1810	C2	C2
BL20141	10051158	BFL_3	2163	ENSLOCG00000015047	55811527	LG3	1974	C2	C2
BL20153	10258770	BFL_3	2167	ENSLOCG00000014255	46261986	LG3	1897	C2	C2
BL20158	10442350	BFL_3	2171	ENSLOCG00000013103	39201147	LG3	1795	C2	C2
BL20172	10587098	BFL_3	2172	ENSLOCG00000013374	40405085	LG3	1814	C2	C2
BL20176	10698117	BFL_3	2173	ENSLOCG00000014679	52391204	LG3	1936	C2	C2
BL15807	10920538	BFL_3	2176	ENSLOCG00000018021	12044795	LG3	1616	C2	C2
BL15805	10929194	BFL_3	2177	ENSLOCG00000013519	41263335	LG3	1827	C2	C2
BL15788	11213700	BFL_3	2184	ENSLOCG00000013772	42585414	LG3	1845	C2	C2
BL15785	11334723	BFL_3	2185	ENSLOCG00000014478	49859040	LG3	1916	C2	C2
BL15769	11728095	BFL_3	2190	ENSLOCG00000014146	44757367	LG3	1885	C2	C2
BL15768	11735087	BFL_3	2191	ENSLOCG00000013972	43749035	LG3	1866	C2	C2
BL15767	11756403	BFL_3	2192	ENSLOCG00000013967	43681406	LG3	1865	C2	C2
BL15764	11897473	BFL_3	2194	ENSLOCG00000015089	56100154	LG3	1980	C2	C2
BL15753	12074665	BFL_3	2196	ENSLOCG00000013940	43571552	LG3	1863	C2	C2
BL15745	12144106	BFL_3	2199	ENSLOCG00000013835	42943239	LG3	1851	C2	C2
BL15731	12563960	BFL_3	2202	ENSLOCG00000013626	41727214	LG3	1832	C2	C2
BL15721	12674447	BFL_3	2205	ENSLOCG00000013347	40182843	LG3	1812	C2	C2
BL15706	12814499	BFL_3	2207	ENSLOCG00000015051	55873094	LG3	1975	C2	C2
BL15687	13034677	BFL_3	2211	ENSLOCG00000013010	39029228	LG3	1791	C2	C2
BL15670	13277389	BFL_3	2218	ENSLOCG00000014757	52971632	LG3	1944	C2	C2
BL15669	13344021	BFL_3	2219	ENSLOCG00000014687	52466858	LG3	1938	C2	C2
BL15667	13385333	BFL_3	2220	ENSLOCG00000013450	41007179	LG3	1818	C2	C2
BL15666	13391888	BFL_3	2221	ENSLOCG00000012770	37666787	LG3	1774	C2	C2
BL15660	13453922	BFL_3	2224	ENSLOCG00000013706	42407879	LG3	1837	C2	C2
BL15643	13674667	BFL_3	2228	ENSLOCG00000012774	37675380	LG3	1775	C2	C2
BL15636	13803526	BFL_3	2230	ENSLOCG00000013345	40166210	LG3	1811	C2	C2
BL15624	13905118	BFL_3	2232	ENSLOCG00000014150	44763016	LG3	1886	C2	C2
BL15623	13917006	BFL_3	2233	ENSLOCG00000013505	41245063	LG3	1825	C2	C2
BL15601	14324689	BFL_3	2236	ENSLOCG00000014953	54735507	LG3	1962	C2	C2
BL15591	14566989	BFL_3	2238	ENSLOCG00000013180	39422383	LG3	1802	C2	C2
BL15582	14706986	BFL_3	2239	ENSLOCG00000013480	41127719	LG3	1823	C2	C2
BL15579	14837161	BFL_3	2241	ENSLOCG00000015045	55797257	LG3	1973	C2	C2
BL15566	14993917	BFL_3	2244	ENSLOCG00000014673	52372215	LG3	1935	C2	C2
BL15559	15064633	BFL_3	2247	ENSLOCG00000015097	56131917	LG3	1981	C2	C2
BL15546	15241828	BFL_3	2253	ENSLOCG00000013609	41722125	LG3	1831	C2	C2
BL15542	15359183	BFL_3	2255	ENSLOCG00000014639	52091644	LG3	1933	C2	C2
BL15540	15385207	BFL_3	2256	ENSLOCG00000014123	44721240	LG3	1881	C2	C2
BL15531	15511959	BFL_3	2262	ENSLOCG00000013407	40444521	LG3	1815	C2	C2
BL15522	15714306	BFL_3	2264	ENSLOCG00000014153	44770212	LG3	1887	C2	C2
BL15519	15733662	BFL_3	2265	ENSLOCG00000013415	40467343	LG3	1816	C2	C2
BL15514	15960237	BFL_3	2267	ENSLOCG00000015009	55595293	LG3	1969	C2	C2
BL15511	15998256	BFL_3	2269	ENSLOCG00000015007	55567327	LG3	1968	C2	C2
BL15385	18516116	BFL_3	2321	ENSLOCG00000004966	6810942	LG3	1559	Q	Q
BL15381	18560668	BFL_3	2324	ENSLOCG00000014929	54580431	LG3	1959	Q	Q
BL15325	20084690	BFL_3	2352	ENSLOCG00000017947	44701108	LG3	1880	Q	Q
BL15304	20329021	BFL_3	2364	ENSLOCG00000005709	8522249	LG3	1572	Q	Q
BL14991	25978217	BFL_3	2447	ENSLOCG00000008974	16652219	LG3	1667	Q	Q
BL20149	10226572	BFL_3	2165	ENSLOCG00000012517	41930671	LG9	2258	C2	C2
BL15674	13191867	BFL_3	2216	ENSLOCG00000012399	40704225	LG9	2249	C2	C2
BL15573	14948400	BFL_3	2243	ENSLOCG00000013127	49350248	LG9	2288	C2	C2
BL15556	15133764	BFL_3	2249	ENSLOCG00000013523	52703906	LG9	2315	C2	C2
BL15448	17526058	BFL_3	2287	ENSLOCG00000008141	17218772	LG9	2104	Q	Q
BL15333	19843115	BFL_3	2346	ENSLOCG00000012562	42524119	LG9	2259	Q	Q
BL14818	29607587	BFL_3	2504	ENSLOCG00000012787	44438023	LG9	2269	Q	Q
BL16748	2512305	BFL_3	2103	ENSLOCG00000009142	17860899	LG5	2496	C2	C2
BL22871	8329064	BFL_3	2141	ENSLOCG00000004432	5402160	LG5	2356	C2	C2
BL22870	8367788	BFL_3	2142	ENSLOCG00000005246	7379852	LG5	2377	C2	C2
BL22856	8771500	BFL_3	2148	ENSLOCG00000008532	15905222	LG5	2473	C2	C2
BL15739	12266827	BFL_3	2201	ENSLOCG00000013216	41101753	LG5	2690	C2	C2
BL15446	17552341	BFL_3	2289	ENSLOCG00000004137	4955445	LG5	2346	Q	Q
BL15431	17753789	BFL_3	2295	ENSLOCG00000014155	48341366	LG5	2752	Q	Q
BL15406	18183599	BFL_3	2305	ENSLOCG00000004535	5643308	LG5	2360	Q	Q
BL15405	18200997	BFL_3	2306	ENSLOCG00000004521	5502085	LG5	2359	Q	Q
BL15403	18217007	BFL_3	2308	ENSLOCG00000008645	16091017	LG5	2479	Q	Q
BL15397	18328380	BFL_3	2312	ENSLOCG00000011225	28566010	LG5	2582	Q	Q
BL15393	18405905	BFL_3	2315	ENSLOCG00000011326	28702166	LG5	2587	Q	Q
BL15384	18519031	BFL_3	2322	ENSLOCG00000006690	10292264	LG5	2415	Q	Q
BL15382	18535567	BFL_3	2323	ENSLOCG00000009224	18006470	LG5	2498	Q	Q
BL15379	18582682	BFL_3	2325	ENSLOCG00000009290	18183352	LG5	2501	Q	Q
BL15376	18616253	BFL_3	2327	ENSLOCG00000011491	29156507	LG5	2595	Q	Q
BL15370	18750590	BFL_3	2330	ENSLOCG00000005490	7693444	LG5	2383	Q	Q
BL15363	19186777	BFL_3	2333	ENSLOCG00000004786	6518908	LG5	2367	Q	Q
BL15355	19371580	BFL_3	2337	ENSLOCG00000006347	9157784	LG5	2408	Q	Q
BL15347	19542550	BFL_3	2339	ENSLOCG00000006500	9867396	LG5	2413	Q	Q
BL15337	19774893	BFL_3	2343	ENSLOCG00000006360	9467880	LG5	2409	Q	Q
BL15336	19806601	BFL_3	2344	ENSLOCG00000012914	38336846	LG5	2666	Q	Q
BL15332	19867390	BFL_3	2347	ENSLOCG00000006259	8946112	LG5	2404	Q	Q
BL15331	19887726	BFL_3	2348	ENSLOCG00000012436	35524010	LG5	2636	Q	Q
BL15328	19965459	BFL_3	2349	ENSLOCG00000004888	6749878	LG5	2370	Q	Q
BL15327	20042586	BFL_3	2350	ENSLOCG00000004022	4825624	LG5	2345	Q	Q
BL15319	20156053	BFL_3	2356	ENSLOCG00000011271	28642405	LG5	2585	Q	Q
BL15318	20163217	BFL_3	2357	ENSLOCG00000011266	28642279	LG5	2584	Q	Q
BL15315	20210299	BFL_3	2360	ENSLOCG00000004204	5121136	LG5	2348	Q	Q
BL15309	20274122	BFL_3	2361	ENSLOCG00000004602	5729441	LG5	2362	Q	Q
BL15307	20297546	BFL_3	2362	ENSLOCG00000004590	5714737	LG5	2361	Q	Q
BL15250	21245648	BFL_3	2377	ENSLOCG00000005179	7294052	LG5	2375	Q	Q
BL15242	21471638	BFL_3	2379	ENSLOCG00000006273	8958719	LG5	2405	Q	Q
BL15230	21731407	BFL_3	2380	ENSLOCG00000004218	5142153	LG5	2349	Q	Q
BL15223	21847726	BFL_3	2382	ENSLOCG00000012516	36014320	LG5	2639	Q	Q
BL15217	22028132	BFL_3	2383	ENSLOCG00000005351	7479500	LG5	2379	Q	Q
BL15211	22120347	BFL_3	2384	ENSLOCG00000012241	34341388	LG5	2629	Q	Q
BL15202	22219043	BFL_3	2385	ENSLOCG00000006418	9843470	LG5	2411	Q	Q
BL15182	22655041	BFL_3	2388	ENSLOCG00000012890	38215351	LG5	2663	Q	Q
BL15178	22989916	BFL_3	2391	ENSLOCG00000009553	19022632	LG5	2507	Q	Q
BL15155	23345815	BFL_3	2394	ENSLOCG00000011244	28611368	LG5	2583	Q	Q
BL15152	23378450	BFL_3	2396	ENSLOCG00000012629	36537937	LG5	2645	Q	Q
BL15147	23427369	BFL_3	2399	ENSLOCG00000005895	8291084	LG5	2393	Q	Q
BL15141	23511895	BFL_3	2404	ENSLOCG00000005687	8048939	LG5	2387	Q	Q
BL15123	23836505	BFL_3	2407	ENSLOCG00000006321	9024374	LG5	2407	Q	Q
BL15122	23849990	BFL_3	2408	ENSLOCG00000004418	5384277	LG5	2355	Q	Q
BL15107	24166732	BFL_3	2409	ENSLOCG00000018229	8015445	LG5	2385	Q	Q
BL15106	24187911	BFL_3	2410	ENSLOCG00000005657	8019407	LG5	2386	Q	Q
BL15103	24228354	BFL_3	2411	ENSLOCG00000012900	38283678	LG5	2664	Q	Q
BL15097	24338588	BFL_3	2413	ENSLOCG00000012496	35857709	LG5	2638	Q	Q
BL15091	24455983	BFL_3	2416	ENSLOCG00000011349	28820473	LG5	2588	Q	Q
BL15079	24723952	BFL_3	2419	ENSLOCG00000005437	7524589	LG5	2381	Q	Q
BL15059	25195159	BFL_3	2426	ENSLOCG00000008546	15904043	LG5	2472	Q	Q
BL15052	25259869	BFL_3	2427	ENSLOCG00000006454	9856025	LG5	2412	Q	Q
BL15048	25275139	BFL_3	2429	ENSLOCG00000008634	16086318	LG5	2477	Q	Q
BL15047	25283919	BFL_3	2430	ENSLOCG00000011540	29425552	LG5	2598	Q	Q
BL15044	25362685	BFL_3	2431	ENSLOCG00000012853	38090196	LG5	2662	Q	Q
BL15035	25486909	BFL_3	2437	ENSLOCG00000003931	4651366	LG5	2344	Q	Q
BL15028	25543520	BFL_3	2440	ENSLOCG00000006215	8846908	LG5	2402	Q	Q
BL15027	25566167	BFL_3	2441	ENSLOCG00000006241	8882018	LG5	2403	Q	Q
BL14963	26662933	BFL_3	2459	ENSLOCG00000012227	34339415	LG5	2628	Q	Q
BL14959	26712809	BFL_3	2461	ENSLOCG00000012247	34371612	LG5	2630	Q	Q
BL14958	26811321	BFL_3	2462	ENSLOCG00000004752	6452837	LG5	2366	Q	Q
BL14950	26980936	BFL_3	2463	ENSLOCG00000004723	5883879	LG5	2364	Q	Q
BL14949	27013347	BFL_3	2464	ENSLOCG00000004734	6011295	LG5	2365	Q	Q
BL14943	27292060	BFL_3	2466	ENSLOCG00000011598	29734256	LG5	2600	Q	Q
BL14914	27641082	BFL_3	2474	ENSLOCG00000006632	10085064	LG5	2414	Q	Q
