EA28386	ENSLOCG00000008751
EA53060	ENSLOCG00000003459
EA38654	ENSLOCG00000008983
EA52314	ENSLOCG00000013254
EA34971	ENSLOCG00000000737
EA76050	ENSLOCG00000008437
EA40220	ENSLOCG00000001558
EA05358	ENSLOCG00000014083
EA49300	ENSLOCG00000003491
EA63938	ENSLOCG00000007374
EA63895	ENSLOCG00000006221
EA22506	ENSLOCG00000007911
EA46866	ENSLOCG00000005188
EA60937	ENSLOCG00000003496
EA34509	ENSLOCG00000005410
EA74298	ENSLOCG00000004289
EA15147	ENSLOCG00000002876
EA41375	ENSLOCG00000018069
EA63230	ENSLOCG00000003500
EA51026	ENSLOCG00000008111
EA61946	ENSLOCG00000012633
EA85346	ENSLOCG00000009845
EA20441	ENSLOCG00000010107
EA49141	ENSLOCG00000015634
EA11591	ENSLOCG00000010687
EA79758	ENSLOCG00000017214
EA32468	ENSLOCG00000009612
EA77488	ENSLOCG00000012298
EA40474	ENSLOCG00000004087
EA35903	ENSLOCG00000002862
EA10450	ENSLOCG00000014259
EA52803	ENSLOCG00000004833
EA01454	ENSLOCG00000002828
EA65241	ENSLOCG00000004363
EA11867	ENSLOCG00000008800
EA83686	ENSLOCG00000006282
EA21242	ENSLOCG00000015740
EA21824	ENSLOCG00000012118
EA78604	ENSLOCG00000015221
EA79378	ENSLOCG00000015960
EA04302	ENSLOCG00000017321
EA64491	ENSLOCG00000010435
EA16863	ENSLOCG00000002977
EA59354	ENSLOCG00000003749
EA35519	ENSLOCG00000004616
EA42820	ENSLOCG00000011818
EA46253	ENSLOCG00000003776
EA84819	ENSLOCG00000017813
EA26839	ENSLOCG00000008939
EA81083	ENSLOCG00000001064
EA32269	ENSLOCG00000006378
EA54958	ENSLOCG00000006403
EA75554	ENSLOCG00000005336
EA83653	ENSLOCG00000013534
EA22643	ENSLOCG00000009255
EA40627	ENSLOCG00000005473
EA50494	ENSLOCG00000002700
EA48323	ENSLOCG00000013261
EA73542	ENSLOCG00000006405
EA30545	ENSLOCG00000011145
EA81699	ENSLOCG00000005880
EA62862	ENSLOCG00000003197
EA38754	ENSLOCG00000010159
EA84356	ENSLOCG00000005325
EA66033	ENSLOCG00000010313
EA06121	ENSLOCG00000003116
EA49606	ENSLOCG00000014699
EA75704	ENSLOCG00000005101
EA33071	ENSLOCG00000009762
EA36937	ENSLOCG00000011458
EA39734	ENSLOCG00000015298
EA41420	ENSLOCG00000004710
EA64721	ENSLOCG00000012376
EA41973	ENSLOCG00000011409
EA76341	ENSLOCG00000005351
EA78180	ENSLOCG00000008659
EA74395	ENSLOCG00000010384
EA18714	ENSLOCG00000016975
EA19578	ENSLOCG00000012013
EA17833	ENSLOCG00000016483
EA31287	ENSLOCG00000006836
EA84004	ENSLOCG00000004202
EA53345	ENSLOCG00000016361
EA19376	ENSLOCG00000011354
EA33880	ENSLOCG00000010286
EA31763	ENSLOCG00000001483
EA05383	ENSLOCG00000010780
EA79054	ENSLOCG00000012691
EA09825	ENSLOCG00000001830
EA42618	ENSLOCG00000004582
EA18802	ENSLOCG00000007211
EA15896	ENSLOCG00000014310
EA59324	ENSLOCG00000007638
EA19809	ENSLOCG00000015921
EA21118	ENSLOCG00000010983
EA57918	ENSLOCG00000009286
EA06781	ENSLOCG00000008172
EA74991	ENSLOCG00000010493
EA35925	ENSLOCG00000014365
EA75262	ENSLOCG00000012018
EA19954	ENSLOCG00000013200
EA67608	ENSLOCG00000006726
EA26642	ENSLOCG00000010637
EA10341	ENSLOCG00000014267
EA03728	ENSLOCG00000015210
EA13355	ENSLOCG00000008196
EA03159	ENSLOCG00000009266
EA02473	ENSLOCG00000015079
EA35887	ENSLOCG00000002642
EA27086	ENSLOCG00000006776
EA60372	ENSLOCG00000010560
EA02912	ENSLOCG00000001118
EA00611	ENSLOCG00000008626
EA11522	ENSLOCG00000005645
EA35423	ENSLOCG00000005061
EA31342	ENSLOCG00000016692
EA06703	ENSLOCG00000001974
EA43088	ENSLOCG00000015972
EA06589	ENSLOCG00000007600
EA37203	ENSLOCG00000006831
EA49678	ENSLOCG00000003741
EA50702	ENSLOCG00000006761
EA65804	ENSLOCG00000013488
EA66416	ENSLOCG00000015009
EA57444	ENSLOCG00000006688
EA08146	ENSLOCG00000007017
EA29013	ENSLOCG00000003898
EA25337	ENSLOCG00000011308
EA02073	ENSLOCG00000001438
EA16285	ENSLOCG00000014170
EA72590	ENSLOCG00000011629
EA38170	ENSLOCG00000012181
EA13712	ENSLOCG00000009592
EA17455	ENSLOCG00000007215
EA09690	ENSLOCG00000015918
EA09903	ENSLOCG00000016000
EA32264	ENSLOCG00000010878
EA16597	ENSLOCG00000000687
EA06023	ENSLOCG00000008344
EA45499	ENSLOCG00000003142
EA34251	ENSLOCG00000000418
EA50006	ENSLOCG00000007059
EA10704	ENSLOCG00000010120
EA28500	ENSLOCG00000011908
EA19543	ENSLOCG00000014575
EA82489	ENSLOCG00000003927
EA80728	ENSLOCG00000006339
EA05712	ENSLOCG00000001640
EA37888	ENSLOCG00000001464
EA72550	ENSLOCG00000012615
EA06010	ENSLOCG00000007346
EA61690	ENSLOCG00000007549
EA17193	ENSLOCG00000010546
EA59939	ENSLOCG00000005146
EA05360	ENSLOCG00000001516
EA77353	ENSLOCG00000001360
EA56548	ENSLOCG00000007858
EA01819	ENSLOCG00000004675
EA00536	ENSLOCG00000000997
EA75929	ENSLOCG00000015628
EA36090	ENSLOCG00000002418
EA54935	ENSLOCG00000006486
EA79299	ENSLOCG00000008886
EA75072	ENSLOCG00000015597
EA75035	ENSLOCG00000013815
EA10955	ENSLOCG00000004274
EA09419	ENSLOCG00000001444
EA31283	ENSLOCG00000002960
EA79462	ENSLOCG00000013037
EA20205	ENSLOCG00000009020
EA18151	ENSLOCG00000005268
EA47504	ENSLOCG00000012852
EA44239	ENSLOCG00000012267
EA43285	ENSLOCG00000003951
EA46518	ENSLOCG00000008401
EA85103	ENSLOCG00000002092
EA49922	ENSLOCG00000017367
EA84811	ENSLOCG00000003911
EA85122	ENSLOCG00000003999
EA07691	ENSLOCG00000008197
EA58104	ENSLOCG00000001936
EA11456	ENSLOCG00000010928
EA66741	ENSLOCG00000007743
EA06052	ENSLOCG00000003385
EA05551	ENSLOCG00000005634
EA63324	ENSLOCG00000017427
EA80630	ENSLOCG00000002749
EA28743	ENSLOCG00000015051
EA50498	ENSLOCG00000005970
EA55054	ENSLOCG00000017099
EA47461	ENSLOCG00000007036
EA82172	ENSLOCG00000005051
EA01196	ENSLOCG00000006371
EA07108	ENSLOCG00000006804
EA29961	ENSLOCG00000006600
EA49512	ENSLOCG00000016887
EA26105	ENSLOCG00000013690
EA02094	ENSLOCG00000012893
EA41427	ENSLOCG00000001651
EA45621	ENSLOCG00000011680
EA33478	ENSLOCG00000012584
EA31128	ENSLOCG00000016971
EA31152	ENSLOCG00000012505
EA12556	ENSLOCG00000015478
EA72066	ENSLOCG00000002302
EA29221	ENSLOCG00000009947
EA24917	ENSLOCG00000012399
EA66527	ENSLOCG00000013507
EA43622	ENSLOCG00000012037
EA42395	ENSLOCG00000003941
EA62470	ENSLOCG00000004152
EA28469	ENSLOCG00000000969
EA81061	ENSLOCG00000005751
EA20197	ENSLOCG00000008914
EA20076	ENSLOCG00000010033
EA50485	ENSLOCG00000005660
EA40051	ENSLOCG00000002051
EA55092	ENSLOCG00000002463
EA01949	ENSLOCG00000000957
EA70591	ENSLOCG00000012003
EA03395	ENSLOCG00000013138
EA60885	ENSLOCG00000001317
EA67281	ENSLOCG00000015112
EA65924	ENSLOCG00000010951
EA53656	ENSLOCG00000003005
EA69893	ENSLOCG00000005065
EA70705	ENSLOCG00000008976
EA54729	ENSLOCG00000017725
EA47074	ENSLOCG00000016021
EA34953	ENSLOCG00000012292
EA30805	ENSLOCG00000006180
EA62460	ENSLOCG00000015704
EA39833	ENSLOCG00000016520
EA15842	ENSLOCG00000001817
EA42010	ENSLOCG00000016178
EA42161	ENSLOCG00000007165
EA82661	ENSLOCG00000008836
EA53957	ENSLOCG00000016581
EA01731	ENSLOCG00000003766
EA31130	ENSLOCG00000015005
EA79427	ENSLOCG00000012516
EA45226	ENSLOCG00000003647
EA18552	ENSLOCG00000015083
EA49887	ENSLOCG00000003215
EA24386	ENSLOCG00000016819
EA39072	ENSLOCG00000003561
EA46999	ENSLOCG00000001130
EA17353	ENSLOCG00000003023
EA67163	ENSLOCG00000004639
EA36368	ENSLOCG00000004445
EA72277	ENSLOCG00000004860
EA19336	ENSLOCG00000011907
EA63879	ENSLOCG00000010907
EA76632	ENSLOCG00000014219
EA29939	ENSLOCG00000012999
EA48406	ENSLOCG00000015696
EA32346	ENSLOCG00000001512
EA53905	ENSLOCG00000011260
EA03752	ENSLOCG00000017152
EA78400	ENSLOCG00000008046
EA74747	ENSLOCG00000015575
EA67512	ENSLOCG00000007411
EA66579	ENSLOCG00000014150
EA64507	ENSLOCG00000011869
EA42108	ENSLOCG00000001343
EA31795	ENSLOCG00000015317
EA71159	ENSLOCG00000013574
EA55497	ENSLOCG00000011252
EA34713	ENSLOCG00000000829
EA14112	ENSLOCG00000011640
EA10198	ENSLOCG00000002658
EA69415	ENSLOCG00000011622
EA27001	ENSLOCG00000009832
EA55461	ENSLOCG00000002069
EA02587	ENSLOCG00000009150
EA03557	ENSLOCG00000004272
EA01534	ENSLOCG00000010046
EA00644	ENSLOCG00000015304
EA67807	ENSLOCG00000018090
EA40707	ENSLOCG00000004990
EA43494	ENSLOCG00000006229
EA21105	ENSLOCG00000013882
EA43452	ENSLOCG00000006624
EA08008	ENSLOCG00000008841
EA50281	ENSLOCG00000016440
EA32088	ENSLOCG00000014674
EA65128	ENSLOCG00000006862
EA59628	ENSLOCG00000014713
EA58738	ENSLOCG00000013136
EA76436	ENSLOCG00000015842
EA01364	ENSLOCG00000016076
EA32359	ENSLOCG00000009601
EA57652	ENSLOCG00000004732
EA56702	ENSLOCG00000008672
EA33828	ENSLOCG00000003035
EA24778	ENSLOCG00000010512
EA64742	ENSLOCG00000008335
EA44223	ENSLOCG00000004791
EA15102	ENSLOCG00000003310
EA65008	ENSLOCG00000008755
EA05886	ENSLOCG00000001248
EA77854	ENSLOCG00000000510
EA84248	ENSLOCG00000001892
EA35851	ENSLOCG00000007440
EA69979	ENSLOCG00000017956
EA73133	ENSLOCG00000011172
EA18389	ENSLOCG00000017703
EA84804	ENSLOCG00000005373
EA04706	ENSLOCG00000004137
EA00900	ENSLOCG00000012900
EA02392	ENSLOCG00000008546
EA34150	ENSLOCG00000013494
EA20046	ENSLOCG00000012956
EA66496	ENSLOCG00000013568
EA28936	ENSLOCG00000011123
EA13914	ENSLOCG00000005513
EA00615	ENSLOCG00000015202
EA21141	ENSLOCG00000014052
EA61023	ENSLOCG00000004451
EA32533	ENSLOCG00000007941
EA33868	ENSLOCG00000003311
EA35770	ENSLOCG00000002124
EA79469	ENSLOCG00000000651
EA55310	ENSLOCG00000015828
EA84436	ENSLOCG00000005780
EA17861	ENSLOCG00000015501
EA55350	ENSLOCG00000004216
EA80443	ENSLOCG00000001023
EA58945	ENSLOCG00000001629
EA64529	ENSLOCG00000007573
EA38825	ENSLOCG00000003276
EA17845	ENSLOCG00000010544
EA14300	ENSLOCG00000008494
EA05347	ENSLOCG00000008256
EA74056	ENSLOCG00000013658
EA83606	ENSLOCG00000006107
EA27776	ENSLOCG00000011947
EA80936	ENSLOCG00000004957
EA58780	ENSLOCG00000011912
EA60588	ENSLOCG00000005215
EA45139	ENSLOCG00000006728
EA48151	ENSLOCG00000016119
EA22894	ENSLOCG00000010911
EA23634	ENSLOCG00000011889
EA40235	ENSLOCG00000017359
EA08020	ENSLOCG00000007116
EA00742	ENSLOCG00000011774
EA34823	ENSLOCG00000010679
EA02472	ENSLOCG00000016768
EA33967	ENSLOCG00000013244
EA12713	ENSLOCG00000008980
EA65105	ENSLOCG00000008390
EA31964	ENSLOCG00000007227
EA68124	ENSLOCG00000004794
EA46837	ENSLOCG00000016421
EA42775	ENSLOCG00000001104
EA02142	ENSLOCG00000001712
EA85081	ENSLOCG00000005818
EA34664	ENSLOCG00000016936
EA62966	ENSLOCG00000008283
EA74799	ENSLOCG00000001724
EA82233	ENSLOCG00000008265
EA78013	ENSLOCG00000014677
EA50738	ENSLOCG00000009448
EA22453	ENSLOCG00000016073
EA33185	ENSLOCG00000013477
EA11082	ENSLOCG00000014647
EA62507	ENSLOCG00000001318
EA60504	ENSLOCG00000006550
EA10019	ENSLOCG00000015822
EA47986	ENSLOCG00000017173
EA12965	ENSLOCG00000016451
EA10521	ENSLOCG00000017010
EA25907	ENSLOCG00000005678
EA31788	ENSLOCG00000006211
EA74113	ENSLOCG00000002707
EA30284	ENSLOCG00000009252
EA24958	ENSLOCG00000010787
EA19414	ENSLOCG00000009462
EA09398	ENSLOCG00000008178
EA26484	ENSLOCG00000003957
EA15241	ENSLOCG00000002381
EA47978	ENSLOCG00000006709
EA39614	ENSLOCG00000001269
EA74759	ENSLOCG00000000126
EA11020	ENSLOCG00000015913
EA11377	ENSLOCG00000013801
EA06716	ENSLOCG00000014829
EA52412	ENSLOCG00000005936
EA33311	ENSLOCG00000013700
EA31151	ENSLOCG00000011396
EA59221	ENSLOCG00000006069
EA28736	ENSLOCG00000012831
EA19660	ENSLOCG00000014554
EA30377	ENSLOCG00000016821
EA76551	ENSLOCG00000014307
EA13000	ENSLOCG00000008698
EA16845	ENSLOCG00000008451
EA00704	ENSLOCG00000015630
EA05732	ENSLOCG00000016121
EA31231	ENSLOCG00000013865
EA34331	ENSLOCG00000010408
EA04967	ENSLOCG00000010156
EA04952	ENSLOCG00000006215
EA12482	ENSLOCG00000015548
EA20279	ENSLOCG00000013625
EA21385	ENSLOCG00000015916
EA45408	ENSLOCG00000012050
EA07535	ENSLOCG00000011023
EA39134	ENSLOCG00000006800
EA80695	ENSLOCG00000011533
EA47668	ENSLOCG00000010141
EA71812	ENSLOCG00000013598
EA80252	ENSLOCG00000006383
EA02137	ENSLOCG00000012683
EA14947	ENSLOCG00000007030
EA57236	ENSLOCG00000007547
EA31723	ENSLOCG00000011487
EA06673	ENSLOCG00000008548
EA07905	ENSLOCG00000018193
EA21022	ENSLOCG00000017971
EA48303	ENSLOCG00000005798
EA21740	ENSLOCG00000013994
EA11531	ENSLOCG00000015880
EA39013	ENSLOCG00000005115
EA21723	ENSLOCG00000016171
EA15002	ENSLOCG00000003314
EA12116	ENSLOCG00000017284
EA79933	ENSLOCG00000007224
EA80694	ENSLOCG00000003472
EA00126	ENSLOCG00000005300
EA61667	ENSLOCG00000008781
EA41378	ENSLOCG00000013726
EA72213	ENSLOCG00000008605
EA78991	ENSLOCG00000005316
EA77890	ENSLOCG00000009033
EA61069	ENSLOCG00000002976
EA38572	ENSLOCG00000015714
EA46419	ENSLOCG00000002733
EA23328	ENSLOCG00000008499
EA41273	ENSLOCG00000016206
EA73601	ENSLOCG00000015353
EA09610	ENSLOCG00000015379
EA29238	ENSLOCG00000007651
EA52686	ENSLOCG00000016032
EA76246	ENSLOCG00000001895
EA17448	ENSLOCG00000002341
EA02933	ENSLOCG00000015168
EA07296	ENSLOCG00000010078
EA37793	ENSLOCG00000002675
EA36069	ENSLOCG00000012502
EA81165	ENSLOCG00000004495
EA18457	ENSLOCG00000014295
EA24565	ENSLOCG00000011036
EA54533	ENSLOCG00000016904
EA75474	ENSLOCG00000000837
EA65006	ENSLOCG00000005331
EA23200	ENSLOCG00000009305
EA45356	ENSLOCG00000004072
EA41854	ENSLOCG00000003341
EA77487	ENSLOCG00000014833
EA13115	ENSLOCG00000015912
EA85785	ENSLOCG00000000778
EA39352	ENSLOCG00000012423
EA69735	ENSLOCG00000012142
EA07015	ENSLOCG00000015786
EA47367	ENSLOCG00000017589
EA57300	ENSLOCG00000013178
EA71136	ENSLOCG00000016182
EA41639	ENSLOCG00000013884
EA07322	ENSLOCG00000001319
EA57872	ENSLOCG00000010423
EA12576	ENSLOCG00000015551
EA01967	ENSLOCG00000008565
EA40549	ENSLOCG00000013866
EA40988	ENSLOCG00000012307
EA59685	ENSLOCG00000003727
EA77342	ENSLOCG00000006770
EA66472	ENSLOCG00000002508
EA52900	ENSLOCG00000013733
EA60687	ENSLOCG00000001262
EA57784	ENSLOCG00000004944
EA65738	ENSLOCG00000012517
EA44645	ENSLOCG00000003375
EA12991	ENSLOCG00000014420
EA53046	ENSLOCG00000006812
EA76554	ENSLOCG00000000847
EA11122	ENSLOCG00000011633
EA75711	ENSLOCG00000014976
EA82961	ENSLOCG00000002220
EA58875	ENSLOCG00000012857
EA73600	ENSLOCG00000003024
EA76483	ENSLOCG00000001304
EA44536	ENSLOCG00000009898
EA44549	ENSLOCG00000007409
EA29589	ENSLOCG00000005707
EA12699	ENSLOCG00000011726
EA17317	ENSLOCG00000006580
EA16710	ENSLOCG00000011981
EA06230	ENSLOCG00000005777
EA60016	ENSLOCG00000003581
EA79783	ENSLOCG00000006391
EA77191	ENSLOCG00000001513
EA64460	ENSLOCG00000006777
EA36985	ENSLOCG00000010755
EA79487	ENSLOCG00000008604
EA67915	ENSLOCG00000011353
EA43455	ENSLOCG00000008998
EA40976	ENSLOCG00000010460
EA18555	ENSLOCG00000015720
EA16042	ENSLOCG00000007994
EA57856	ENSLOCG00000015464
EA29396	ENSLOCG00000005427
EA69796	ENSLOCG00000011564
EA01953	ENSLOCG00000002911
EA42813	ENSLOCG00000006521
EA60562	ENSLOCG00000010236
EA85425	ENSLOCG00000017799
EA11244	ENSLOCG00000014401
EA49774	ENSLOCG00000015802
EA67330	ENSLOCG00000008648
EA47391	ENSLOCG00000009497
EA79085	ENSLOCG00000014825
EA74082	ENSLOCG00000012689
EA60876	ENSLOCG00000007712
EA08967	ENSLOCG00000010327
EA29648	ENSLOCG00000012437
EA84487	ENSLOCG00000004649
EA54155	ENSLOCG00000016565
EA83910	ENSLOCG00000011509
EA20603	ENSLOCG00000015936
EA41703	ENSLOCG00000016927
EA44745	ENSLOCG00000016185
EA43708	ENSLOCG00000011087
EA61997	ENSLOCG00000006030
EA73735	ENSLOCG00000005760
EA26638	ENSLOCG00000017953
EA81139	ENSLOCG00000011026
EA26605	ENSLOCG00000009021
EA80923	ENSLOCG00000013943
EA03194	ENSLOCG00000009704
EA00664	ENSLOCG00000010612
EA77704	ENSLOCG00000004252
EA44733	ENSLOCG00000004859
EA79787	ENSLOCG00000005800
EA40348	ENSLOCG00000006097
EA13852	ENSLOCG00000001524
EA15353	ENSLOCG00000007940
EA79021	ENSLOCG00000005319
EA63403	ENSLOCG00000003744
EA49305	ENSLOCG00000012240
EA57826	ENSLOCG00000013313
EA60236	ENSLOCG00000007919
EA44473	ENSLOCG00000012847
EA29926	ENSLOCG00000004470
EA81274	ENSLOCG00000015415
EA15727	ENSLOCG00000001940
EA32201	ENSLOCG00000016507
EA11164	ENSLOCG00000011001
EA11053	ENSLOCG00000015509
EA27587	ENSLOCG00000007189
EA09697	ENSLOCG00000016635
EA01698	ENSLOCG00000009007
EA05614	ENSLOCG00000017273
EA35779	ENSLOCG00000010881
EA54045	ENSLOCG00000017060
EA58684	ENSLOCG00000011583
EA76172	ENSLOCG00000011188
EA10436	ENSLOCG00000011704
EA09040	ENSLOCG00000003470
EA25645	ENSLOCG00000007869
EA30793	ENSLOCG00000006684
EA45005	ENSLOCG00000000715
EA62369	ENSLOCG00000016382
EA61720	ENSLOCG00000006183
EA40463	ENSLOCG00000004438
EA48544	ENSLOCG00000005291
EA66474	ENSLOCG00000002531
EA33139	ENSLOCG00000010040
EA07437	ENSLOCG00000006522
EA39101	ENSLOCG00000014501
EA54710	ENSLOCG00000008147
EA73860	ENSLOCG00000014469
EA46072	ENSLOCG00000009032
EA70194	ENSLOCG00000006879
EA34565	ENSLOCG00000017747
EA66220	ENSLOCG00000006404
EA50137	ENSLOCG00000007509
EA14635	ENSLOCG00000005606
EA80871	ENSLOCG00000003475
EA59718	ENSLOCG00000012441
EA62353	ENSLOCG00000004391
EA73965	ENSLOCG00000005444
EA24655	ENSLOCG00000001194
EA33401	ENSLOCG00000008119
EA72236	ENSLOCG00000012176
EA04717	ENSLOCG00000004590
EA43099	ENSLOCG00000001567
EA12178	ENSLOCG00000015829
EA81242	ENSLOCG00000005682
EA05564	ENSLOCG00000009979
EA07316	ENSLOCG00000001768
EA37711	ENSLOCG00000013646
EA36682	ENSLOCG00000009711
EA32988	ENSLOCG00000006327
EA85201	ENSLOCG00000001930
EA39689	ENSLOCG00000006146
EA20287	ENSLOCG00000011713
EA19966	ENSLOCG00000016612
EA38701	ENSLOCG00000001801
EA57039	ENSLOCG00000006154
EA52488	ENSLOCG00000011227
EA64462	ENSLOCG00000012739
EA46182	ENSLOCG00000012133
EA14977	ENSLOCG00000005858
EA06053	ENSLOCG00000008477
EA72268	ENSLOCG00000005094
EA55486	ENSLOCG00000015213
EA02865	ENSLOCG00000009085
EA74392	ENSLOCG00000011598
EA32654	ENSLOCG00000011655
EA41636	ENSLOCG00000007042
EA07961	ENSLOCG00000016968
EA31605	ENSLOCG00000010035
EA23374	ENSLOCG00000015099
EA18469	ENSLOCG00000006139
EA16295	ENSLOCG00000016879
EA13554	ENSLOCG00000011639
EA31966	ENSLOCG00000015980
EA09059	ENSLOCG00000010387
EA83845	ENSLOCG00000005713
EA29553	ENSLOCG00000004064
EA07814	ENSLOCG00000005901
EA62458	ENSLOCG00000015208
EA35757	ENSLOCG00000005693
EA80629	ENSLOCG00000003316
EA49204	ENSLOCG00000009948
EA82736	ENSLOCG00000008011
EA71201	ENSLOCG00000011439
EA38659	ENSLOCG00000006981
EA31804	ENSLOCG00000009534
EA76119	ENSLOCG00000004174
EA20749	ENSLOCG00000014509
EA54110	ENSLOCG00000004889
EA14536	ENSLOCG00000005396
EA57437	ENSLOCG00000012015
EA64276	ENSLOCG00000012490
EA26889	ENSLOCG00000002941
EA80944	ENSLOCG00000004809
EA35979	ENSLOCG00000004976
EA36086	ENSLOCG00000011516
EA37660	ENSLOCG00000002630
EA38773	ENSLOCG00000007882
EA78837	ENSLOCG00000013512
EA26634	ENSLOCG00000004658
EA48429	ENSLOCG00000016872
EA39656	ENSLOCG00000001961
EA60675	ENSLOCG00000010700
EA36981	ENSLOCG00000001499
EA24619	ENSLOCG00000018305
EA28785	ENSLOCG00000006808
EA42439	ENSLOCG00000002710
EA39528	ENSLOCG00000004550
EA69392	ENSLOCG00000011782
EA00677	ENSLOCG00000005210
EA76526	ENSLOCG00000015963
EA61896	ENSLOCG00000012846
EA62751	ENSLOCG00000004442
EA36908	ENSLOCG00000001891
EA03708	ENSLOCG00000002032
EA06329	ENSLOCG00000005030
EA59568	ENSLOCG00000001880
EA32514	ENSLOCG00000010005
EA84073	ENSLOCG00000002091
EA24781	ENSLOCG00000014293
EA81406	ENSLOCG00000011173
EA58834	ENSLOCG00000003362
EA63039	ENSLOCG00000001842
EA36723	ENSLOCG00000008974
EA54894	ENSLOCG00000013922
EA64601	ENSLOCG00000004294
EA39813	ENSLOCG00000011418
EA73264	ENSLOCG00000017267
EA55576	ENSLOCG00000008763
EA09559	ENSLOCG00000005654
EA68440	ENSLOCG00000000802
EA77031	ENSLOCG00000014426
EA37911	ENSLOCG00000002221
EA74075	ENSLOCG00000008917
EA84726	ENSLOCG00000001423
EA77505	ENSLOCG00000001485
EA73944	ENSLOCG00000005792
EA09468	ENSLOCG00000016885
EA29895	ENSLOCG00000009659
EA03578	ENSLOCG00000003233
EA32700	ENSLOCG00000010206
EA33447	ENSLOCG00000013876
EA33644	ENSLOCG00000001158
EA17167	ENSLOCG00000006495
EA12754	ENSLOCG00000014286
EA09541	ENSLOCG00000012134
EA29818	ENSLOCG00000001812
EA33528	ENSLOCG00000016464
EA58030	ENSLOCG00000004056
EA03812	ENSLOCG00000005815
EA04335	ENSLOCG00000005042
EA79493	ENSLOCG00000005302
EA76651	ENSLOCG00000015800
EA63070	ENSLOCG00000010710
EA52406	ENSLOCG00000015511
EA36350	ENSLOCG00000009826
EA22819	ENSLOCG00000005739
EA27107	ENSLOCG00000003017
EA11530	ENSLOCG00000010009
EA45882	ENSLOCG00000011691
EA05920	ENSLOCG00000000989
EA06946	ENSLOCG00000003267
EA16190	ENSLOCG00000011144
EA60587	ENSLOCG00000004633
EA28166	ENSLOCG00000004241
EA47579	ENSLOCG00000002473
EA00045	ENSLOCG00000001656
EA53093	ENSLOCG00000015468
EA80156	ENSLOCG00000016513
EA82367	ENSLOCG00000011608
EA82641	ENSLOCG00000010871
EA60478	ENSLOCG00000013685
EA82753	ENSLOCG00000014147
EA07282	ENSLOCG00000012780
EA80605	ENSLOCG00000002298
EA20848	ENSLOCG00000008207
EA34344	ENSLOCG00000016327
EA72943	ENSLOCG00000012547
EA78073	ENSLOCG00000015158
EA71019	ENSLOCG00000015175
EA33827	ENSLOCG00000013302
EA81143	ENSLOCG00000005695
EA66134	ENSLOCG00000003624
EA33367	ENSLOCG00000017414
EA49564	ENSLOCG00000011202
EA65878	ENSLOCG00000013741
EA74971	ENSLOCG00000010556
EA67996	ENSLOCG00000008122
EA12580	ENSLOCG00000013125
EA41679	ENSLOCG00000008885
EA67565	ENSLOCG00000008339
EA58589	ENSLOCG00000001028
EA84193	ENSLOCG00000004764
EA85412	ENSLOCG00000004156
EA02634	ENSLOCG00000012866
EA75605	ENSLOCG00000014468
EA39846	ENSLOCG00000018036
EA15609	ENSLOCG00000010902
EA57838	ENSLOCG00000003190
EA72503	ENSLOCG00000009118
EA73999	ENSLOCG00000001828
EA82198	ENSLOCG00000004858
EA73538	ENSLOCG00000017738
EA07589	ENSLOCG00000012386
EA08004	ENSLOCG00000000235
EA15505	ENSLOCG00000002042
EA16979	ENSLOCG00000001474
EA17361	ENSLOCG00000001367
EA06772	ENSLOCG00000003991
EA63135	ENSLOCG00000003492
EA19902	ENSLOCG00000010934
EA68610	ENSLOCG00000004308
EA15133	ENSLOCG00000015678
EA15050	ENSLOCG00000006920
EA16459	ENSLOCG00000017055
EA24698	ENSLOCG00000015186
EA80591	ENSLOCG00000007729
EA53091	ENSLOCG00000009593
EA01676	ENSLOCG00000015146
EA03806	ENSLOCG00000004074
EA76044	ENSLOCG00000014103
EA46523	ENSLOCG00000004758
EA22859	ENSLOCG00000000394
EA22336	ENSLOCG00000008056
EA41864	ENSLOCG00000009698
EA29355	ENSLOCG00000005757
EA81428	ENSLOCG00000002839
EA47357	ENSLOCG00000003188
EA75152	ENSLOCG00000008503
EA34799	ENSLOCG00000006451
EA72824	ENSLOCG00000006740
EA21023	ENSLOCG00000011078
EA37855	ENSLOCG00000013469
EA00529	ENSLOCG00000000004
EA74328	ENSLOCG00000008650
EA75756	ENSLOCG00000012055
EA40031	ENSLOCG00000005067
EA60664	ENSLOCG00000004703
EA69763	ENSLOCG00000005440
EA53542	ENSLOCG00000001894
EA52807	ENSLOCG00000005489
EA39659	ENSLOCG00000016598
EA33325	ENSLOCG00000012519
EA76465	ENSLOCG00000012853
EA53982	ENSLOCG00000011730
EA38423	ENSLOCG00000005666
EA05984	ENSLOCG00000006667
EA22015	ENSLOCG00000005144
EA72842	ENSLOCG00000014479
EA16535	ENSLOCG00000013256
EA11508	ENSLOCG00000015181
EA52591	ENSLOCG00000012656
EA35890	ENSLOCG00000003214
EA37001	ENSLOCG00000008501
EA56404	ENSLOCG00000010699
EA25836	ENSLOCG00000004270
EA09463	ENSLOCG00000014574
EA83070	ENSLOCG00000003325
EA03761	ENSLOCG00000000806
EA73658	ENSLOCG00000011137
EA03428	ENSLOCG00000016615
EA76016	ENSLOCG00000011160
EA04033	ENSLOCG00000006084
EA29186	ENSLOCG00000000655
EA38353	ENSLOCG00000012471
EA00274	ENSLOCG00000007616
EA31534	ENSLOCG00000004643
EA79419	ENSLOCG00000014127
