MRPL3	ENSGALG00000040873.2
LOC116953551	ENSGALG00000007687.6
SMC3	ENSGALG00000008585.5
LOC116939853	ENSGALG00000008054.5
XRCC4	ENSGALG00000015620.5
LOC116948866	ENSGALG00000012629.5
LOC116948898	ENSGALG00000025977.2
SMCHD1	ENSGALG00000014811.5
MTERF3	ENSGALG00000040511.2
LOC116942639	ENSGALG00000016465.4
POFUT1	ENSGALG00000006594.6
LOC116947298	ENSGALG00000041790.1
STAR	ENSGALG00000003242.4
LOC116952528	ENSGALG00000009252.7
LOC116943348	ENSGALG00000017202.5
MYO1D	ENSGALG00000000674.5
LOC116949393	ENSGALG00000003980.6
LOC116951933	ENSGALG00000043103.1
LOC116947474	ENSGALG00000005701.6
LOC116942641	ENSGALG00000037695.1
LOC116942684	ENSGALG00000015274.6
PXYLP1	ENSGALG00000029102.2
TATDN3	ENSGALG00000009811.6
BPNT1	ENSGALG00000009576.6
URI1	ENSGALG00000004506.5
LOC116956125	ENSGALG00000007300.6
DPYD	ENSGALG00000005509.5
ABCC5	ENSGALG00000008369.5
AXDND1	ENSGALG00000004173.7
LOC116947711	ENSGALG00000009796.5
LOC116950991	ENSGALG00000012304.6
LRRC58	ENSGALG00000033186.1
PDIA4	ENSGALG00000043006.2
BMPR2	ENSGALG00000008459.4
LOC116946536	ENSGALG00000042454.1
PES1	ENSGALG00000007778.6
WDR55	ENSGALG00000029199.1
LRTM2	ENSGALG00000026214.3
LOC116951016	ENSGALG00000030603.1
DIXDC1	ENSGALG00000007929.6
MYO1C	ENSGALG00000002709.5
LOC116940518	ENSGALG00000038336.2
NDUFV2	ENSGALG00000036625.2
BAK1	ENSGALG00000031493.1
SORT1	ENSGALG00000033572.1
CPZ	ENSGALG00000030209.2
PARL	ENSGALG00000002315.5
LOC116947619	ENSGALG00000011276.4
KLHL32	ENSGALG00000015517.5
LOC116957664	ENSGALG00000007537.6
LOC116950144	ENSGALG00000011306.5
C22H1orf112	ENSGALG00000032743.1
LOC116940540	ENSGALG00000020726.4
DYM	ENSGALG00000037426.1
LOC116940231	ENSGALG00000027501.3
LOC116942527	ENSGALG00000032468.1
SCAP	ENSGALG00000035768.2
SLC22A18	ENSGALG00000006454.5
LOC116950207	ENSGALG00000006069.6
ANO1	ENSGALG00000041808.1
TALDO1	ENSGALG00000037195.2
LOC116946507	ENSGALG00000044554.1
BARD1	ENSGALG00000003484.5
NUDT13	ENSGALG00000004319.5
LOC116942285	ENSGALG00000006363.5
WASHC4	ENSGALG00000028254.2
LRRC14B	ENSGALG00000035393.1
CHMP2A	ENSGALG00000036800.1
TUBG1	ENSGALG00000030003.2
ALYREF	ENSGALG00000007237.6
LOC116949702	ENSGALG00000044567.1
EIF3L	ENSGALG00000012296.6
CHST12	ENSGALG00000004276.3
MYDGF	ENSGALG00000004263.2
CCT4	ENSGALG00000008812.6
FCF1	ENSGALG00000010275.5
TXNDC17	ENSGALG00000027950.2
LOC116941265	ENSGALG00000006705.5
PREP	ENSGALG00000015405.6
AP1AR	ENSGALG00000028807.2
LOC116951834	ENSGALG00000027345.2
TAF8	ENSGALG00000003498.5
CDC42	ENSGALG00000004796.6
UBA1	ENSGALG00000036263.1
LOC116954157	ENSGALG00000006197.6
LOC116956041	ENSGALG00000021232.3
TAF11	ENSGALG00000002735.5
UPF1	ENSGALG00000003220.5
PGPEP1	ENSGALG00000042080.1
ACAD9	ENSGALG00000005034.6
SCLY	ENSGALG00000030194.2
EPM2A	ENSGALG00000012275.5
CLCC1	ENSGALG00000002106.6
LOC116950250	ENSGALG00000002336.6
LOC116948490	ENSGALG00000009185.1
STING1	ENSGALG00000041129.1
TRMT61B	ENSGALG00000008979.5
EML1	ENSGALG00000031246.1
CFAP100	ENSGALG00000044610.1
PYGO1	ENSGALG00000004369.6
INTS1	ENSGALG00000004104.5
LOC116947487	ENSGALG00000034281.1
LOC116947530	ENSGALG00000012662.4
MMADHC	ENSGALG00000012473.6
LOC116955854	ENSGALG00000016050.5
SRPRA	ENSGALG00000030759.1
CTBS	ENSGALG00000008780.5
MMACHC	ENSGALG00000010234.1
SLC7A6OS	ENSGALG00000035575.1
LOC116943477	ENSGALG00000007510.6
ARMH1	ENSGALG00000020716.4
TBCEL	ENSGALG00000018819.3
PNO1	ENSGALG00000009093.5
TSPAN7	ENSGALG00000016251.5
LOC116938457	ENSGALG00000005105.5
TSR3	ENSGALG00000006434.6
LOC116946133	ENSGALG00000000044.6
LOC116948775	ENSGALG00000001109.4
ACOT11	ENSGALG00000010785.5
ENOPH1	ENSGALG00000011178.6
FBXO28	ENSGALG00000009331.6
WTAP	ENSGALG00000011660.6
GOLT1B	ENSGALG00000033855.1
PWP1	ENSGALG00000012631.4
TMEM229B	ENSGALG00000009493.4
NINJ1	ENSGALG00000026891.3
VPS51	ENSGALG00000004166.6
LOC116953237	ENSGALG00000015026.5
FBXO7	ENSGALG00000012569.5
SELENOT	ENSGALG00000010399.4
ARV1	ENSGALG00000011155.5
LOC116954126	ENSGALG00000011189.6
FAM210A	ENSGALG00000013887.3
LOC116939974	ENSGALG00000005787.5
HSD17B12	ENSGALG00000036787.1
LOC116957885	ENSGALG00000006392.3
IMPACT	ENSGALG00000015093.5
LOC116945999	ENSGALG00000040713.1
ACP6	ENSGALG00000015485.6
LOC116952315	ENSGALG00000006647.6
GTPBP4	ENSGALG00000006703.6
LOC116942388	ENSGALG00000001860.5
EEA1	ENSGALG00000011280.5
RBM45	ENSGALG00000009202.4
LOC116944949	ENSGALG00000000927.4
LOC116947289	ENSGALG00000029971.2
CCDC134	ENSGALG00000011918.5
RPL32	ENSGALG00000027142.2
ROGDI	ENSGALG00000001841.6
RANBP2	ENSGALG00000016808.5
LOC116940539	ENSGALG00000023612.3
LOC116940575	ENSGALG00000034645.1
RPL30	ENSGALG00000029897.2
LOC116945633	ENSGALG00000042389.1
LOC116945879	ENSGALG00000044283.1
RPS20	ENSGALG00000014432.6
LOC116951822	ENSGALG00000015721.5
LOC116957511	ENSGALG00000009668.6
DYTN	ENSGALG00000008562.5
LOC116946966	ENSGALG00000041845.1
LOC116952701	ENSGALG00000035078.2
LOC116955085	ENSGALG00000002159.3
LOC116953413	ENSGALG00000008905.5
LOC116937223	ENSGALG00000007169.5
CRLF3	ENSGALG00000003284.6
PTDSS1	ENSGALG00000030185.1
PRDM14	ENSGALG00000033439.2
RPL13	ENSGALG00000006179.6
LOC116954102	ENSGALG00000012866.6
RNF185	ENSGALG00000006960.4
USP1	ENSGALG00000010957.6
LOC116954258	ENSGALG00000007439.5
FAM20B	ENSGALG00000004227.2
LOC116947018	ENSGALG00000032930.1
RAD51C	ENSGALG00000040380.2
LOC116940817	ENSGALG00000041749.2
LOC116940825	ENSGALG00000030063.1
CEL	ENSGALG00000034436.1
LOC116938777	ENSGALG00000039197.1
SPICE1	ENSGALG00000045606.1
MRPL43	ENSGALG00000034352.1
LOC116940658	ENSGALG00000010500.6
TSNARE1	ENSGALG00000037014.2
LOC116940607	ENSGALG00000001981.5
LOC116942254	ENSGALG00000034009.1
LOC116955742	ENSGALG00000003432.4
LOC116942966	ENSGALG00000031388.1
MED27	ENSGALG00000003683.5
LOC116944902	ENSGALG00000004728.4
LOC116955857	ENSGALG00000001425.5
LOC116940435	ENSGALG00000006622.5
LOC116958559	ENSGALG00000041362.1
ACADSB	ENSGALG00000041417.2
LOC116945878	ENSGALG00000029360.1
PDSS2	ENSGALG00000015313.5
TTC25	ENSGALG00000003464.4
LOC116953303	ENSGALG00000012378.5
CCT7	ENSGALG00000016088.6
SUPT7L	ENSGALG00000010048.5
SLC25A26	ENSGALG00000007467.6
CCDC81	ENSGALG00000045283.1
RECK	ENSGALG00000036829.1
LOC116946572	ENSGALG00000016510.5
RAD54L	ENSGALG00000010356.5
LOC116939404	ENSGALG00000011855.5
LOC116939929	ENSGALG00000037138.2
ACE2	ENSGALG00000016554.5
LOC116946670	ENSGALG00000014847.7
LOC116952813	ENSGALG00000005400.5
LOC116952968	ENSGALG00000017148.6
LOC116951202	ENSGALG00000038385.2
KNOP1	ENSGALG00000002042.5
DNAI1	ENSGALG00000005831.6
LOC116952586	ENSGALG00000016803.5
IYD	ENSGALG00000012392.5
LOC116954034	ENSGALG00000039080.1
LOC116943122	ENSGALG00000014726.5
LOC116941612	ENSGALG00000014821.5
LOC116943656	ENSGALG00000010614.4
C11H5orf24	ENSGALG00000006371.6
TCERG1	ENSGALG00000007528.5
PIP4K2A	ENSGALG00000007877.5
LOC116957926	ENSGALG00000015305.5
LOC116946144	ENSGALG00000032452.1
LOC116955997	ENSGALG00000002719.5
LOC116951351	ENSGALG00000026817.2
FBXL16	ENSGALG00000002443.5
LOC116954114	ENSGALG00000041493.2
LOC116948549	ENSGALG00000011704.5
LOC116948576	ENSGALG00000011298.6
LOC116950558	ENSGALG00000022887.5
CS	ENSGALG00000030466.1
LOC116945166	ENSGALG00000036527.1
LOC116942209	ENSGALG00000002326.5
EIF6	ENSGALG00000033993.2
RPP30	ENSGALG00000006486.5
LOC116941416	ENSGALG00000008025.5
WDR75	ENSGALG00000045237.1
STK16	ENSGALG00000011326.6
LOC116942190	ENSGALG00000037336.2
MYBBP1A	ENSGALG00000001363.6
DOLK	ENSGALG00000026007.2
LOC116957621	ENSGALG00000033068.1
LOC116941233	ENSGALG00000031689.1
RBP4	ENSGALG00000006629.5
LOC116956093	ENSGALG00000002775.6
ENDOD1	ENSGALG00000041978.1
PODN	ENSGALG00000021869.4
LOC116948607	ENSGALG00000011532.6
CCT5	ENSGALG00000013041.6
LOC116951528	ENSGALG00000007999.5
TRMT61A	ENSGALG00000011522.5
LOC116957106	ENSGALG00000003208.4
NDUFB4	ENSGALG00000027688.3
LOC116957437	ENSGALG00000045310.1
LOC116940634	ENSGALG00000001239.5
FBXO41	ENSGALG00000039477.1
LOC116940927	ENSGALG00000027513.2
LOC116943508	ENSGALG00000010061.5
LOC116937310	ENSGALG00000037953.2
RPS28	ENSGALG00000024398.3
WNT9A	ENSGALG00000005401.6
ALDH1L2	ENSGALG00000012691.5
TUSC2	ENSGALG00000041338.1
RIPK1	ENSGALG00000012827.6
SON	ENSGALG00000035096.2
NARS1	ENSGALG00000040506.2
MAN2A2	ENSGALG00000033790.1
LOC116944047	ENSGALG00000029278.1
CTSA	ENSGALG00000006876.6
ZDHHC4	ENSGALG00000005905.4
ARL3	ENSGALG00000008049.5
IGFBP7	ENSGALG00000037332.1
ERP44	ENSGALG00000013452.5
PLA2G15	ENSGALG00000028928.2
ANKZF1	ENSGALG00000011332.5
LOC116941631	ENSGALG00000016377.5
SGCG	ENSGALG00000017122.6
WDR89	ENSGALG00000011827.5
C29H1orf198	ENSGALG00000026600.2
LOC116948063	ENSGALG00000015351.5
LOC116945973	ENSGALG00000026525.2
LOC116946016	ENSGALG00000023437.4
ARHGEF26	ENSGALG00000010352.5
GK5	ENSGALG00000002729.5
LOC116956814	ENSGALG00000002193.6
LOC116940569	ENSGALG00000009261.6
FAM136A	ENSGALG00000042163.1
LOC116942592	ENSGALG00000037148.1
LOC116943912	ENSGALG00000011283.5
TRAIP	ENSGALG00000002908.6
C52H9orf85	ENSGALG00000026001.2
XRN2	ENSGALG00000008372.5
TEN1	ENSGALG00000002116.4
AIFM3	ENSGALG00000007720.6
LOC116941111	ENSGALG00000015264.5
LOC116947511	ENSGALG00000014233.3
TIMMDC1	ENSGALG00000024480.4
ADAL	ENSGALG00000004038.5
LAMTOR2	ENSGALG00000029881.1
LOC116941894	ENSGALG00000042552.1
PTAR1	ENSGALG00000015113.5
LOC116940169	ENSGALG00000010391.5
EPG5	ENSGALG00000036259.1
LOC116948046	ENSGALG00000041562.1
LOC116951917	ENSGALG00000000996.5
CACHD1	ENSGALG00000011024.5
LOC116957193	ENSGALG00000028471.3
GNAO1	ENSGALG00000003163.5
OMA1	ENSGALG00000010861.6
MTMR2	ENSGALG00000017200.5
LOC116942170	ENSGALG00000005337.6
DDX10	ENSGALG00000017156.5
SCAI	ENSGALG00000001037.5
COASY	ENSGALG00000028866.2
SLC30A6	ENSGALG00000010618.3
RAPGEF1	ENSGALG00000003712.5
RABL6	ENSGALG00000030263.1
LOC116956001	ENSGALG00000035882.1
LOC116956345	ENSGALG00000014505.4
LOC116942588	ENSGALG00000039013.1
LOC116944222	ENSGALG00000033338.1
LOC116952216	ENSGALG00000008309.6
LOC116953172	ENSGALG00000002364.5
LOC116953403	ENSGALG00000037136.1
NCSTN	ENSGALG00000009147.5
FAM221A	ENSGALG00000010977.5
EEF2K	ENSGALG00000006982.5
LOC116951493	ENSGALG00000006911.5
LRPAP1	ENSGALG00000015612.5
ACBD6	ENSGALG00000003924.6
SDR42E1	ENSGALG00000005456.4
INTS8	ENSGALG00000037955.1
LOC116946935	ENSGALG00000032577.1
DDOST	ENSGALG00000010073.6
RASL10B	ENSGALG00000002086.5
NSUN6	ENSGALG00000008564.5
TBPL1	ENSGALG00000013981.5
LOC116946618	ENSGALG00000016279.4
GFM1	ENSGALG00000009634.6
PSMB7	ENSGALG00000001103.6
LOC116947333	ENSGALG00000011870.4
CHAC2	ENSGALG00000008182.6
LOC116939899	ENSGALG00000007077.5
LOC116942836	ENSGALG00000013929.6
LOC116946468	ENSGALG00000016492.5
LOC116946647	ENSGALG00000029170.3
MIF	ENSGALG00000006326.6
LOC116949463	ENSGALG00000007959.4
RNF213	ENSGALG00000039269.1
LOC116951015	ENSGALG00000001470.5
KIAA0232	ENSGALG00000015538.5
LOC116940649	ENSGALG00000028512.2
USH1G	ENSGALG00000038769.2
CTSO	ENSGALG00000009373.6
LOC116953565	ENSGALG00000021686.4
LOC116950204	ENSGALG00000017183.5
LOC116939080	ENSGALG00000003211.5
LOC116939297	ENSGALG00000005896.6
LOC116944507	ENSGALG00000004521.5
LOC116945424	ENSGALG00000033919.1
SLC31A2	ENSGALG00000030176.2
RNF7	ENSGALG00000021117.1
LOC116952696	ENSGALG00000011270.3
KCTD1	ENSGALG00000015124.5
PALMD	ENSGALG00000015655.5
LOC116952811	ENSGALG00000029912.1
VEZT	ENSGALG00000011357.5
GPX7	ENSGALG00000010633.6
LOC116940162	ENSGALG00000004465.6
LOC116940204	ENSGALG00000046392.1
DNAJC2	ENSGALG00000008249.4
MAN1B1	ENSGALG00000037375.1
GATA2	ENSGALG00000005909.5
TERT	ENSGALG00000013183.6
TAF5	ENSGALG00000008241.4
LOC116948689	ENSGALG00000035140.1
CHTF18	ENSGALG00000040157.2
LOC116951439	ENSGALG00000007762.5
STC2	ENSGALG00000002893.5
LOC116950515	ENSGALG00000044770.1
LOC116955011	ENSGALG00000042539.1
INPP5A	ENSGALG00000010493.6
PNPLA7	ENSGALG00000008736.6
M6PR	ENSGALG00000031681.2
LOC116950564	ENSGALG00000000747.6
TEX47	ENSGALG00000005938.6
GDF10	ENSGALG00000005985.6
LOC116937450	ENSGALG00000042043.1
LOC116950301	ENSGALG00000032534.2
USP32	ENSGALG00000005350.5
FTSJ3	ENSGALG00000032993.1
RIOK2	ENSGALG00000015288.6
SMOX	ENSGALG00000015977.5
GSTCD	ENSGALG00000010573.6
LOC116943566	ENSGALG00000005679.4
DDC	ENSGALG00000013094.5
LOC103091780	ENSGALG00000005547.6
AASDH	ENSGALG00000013764.5
LOC116946568	ENSGALG00000013626.6
LOC116947672	ENSGALG00000027871.3
ZNF142	ENSGALG00000011393.5
LOC116955670	ENSGALG00000010781.5
LOC116956439	ENSGALG00000043025.2
THNSL2	ENSGALG00000015939.6
SCPEP1	ENSGALG00000003185.4
SNRPF	ENSGALG00000011409.6
LOC116948390	ENSGALG00000010707.4
HERC2	ENSGALG00000016739.5
LOC116954886	ENSGALG00000014930.3
LOC116946844	ENSGALG00000034493.1
LOC116946079	ENSGALG00000008034.5
TTC21B	ENSGALG00000010956.5
NANOS1	ENSGALG00000027980.3
LOC116940661	ENSGALG00000006670.3
LOC116946849	ENSGALG00000009355.4
TMEM275	ENSGALG00000043396.1
LRRC41	ENSGALG00000010359.5
LOC116936942	ENSGALG00000042967.2
WASHC5	ENSGALG00000032732.2
LOC116951297	ENSGALG00000030324.1
LOC116951559	ENSGALG00000030481.2
HIKESHI	ENSGALG00000001823.6
LOC116939520	ENSGALG00000009847.5
HSD17B4	ENSGALG00000002187.5
LOC116942116	ENSGALG00000005894.6
LOC116942929	ENSGALG00000017343.5
PCDH18	ENSGALG00000009732.5
PA2G4	ENSGALG00000034218.2
GPR22	ENSGALG00000008032.3
IDH3B	ENSGALG00000033888.1
LOC116955512	ENSGALG00000035472.1
FAM199X	ENSGALG00000008872.5
CLN5	ENSGALG00000016917.4
LOC116947392	ENSGALG00000010598.4
LOC116943781	ENSGALG00000040910.2
SCFD2	ENSGALG00000039168.1
UGDH	ENSGALG00000041993.2
LOC116944449	ENSGALG00000043318.1
CFAP74	ENSGALG00000001288.5
LOC116947744	ENSGALG00000009107.5
OGFOD2	ENSGALG00000003687.5
LOC116948182	ENSGALG00000015458.7
LOC116954715	ENSGALG00000011185.5
DNTTIP2	ENSGALG00000005782.5
KBTBD2	ENSGALG00000038704.1
P3H1	ENSGALG00000004833.4
LOC116942513	ENSGALG00000012712.4
LOC116944904	ENSGALG00000008881.6
TMCO4	ENSGALG00000004081.6
SNX24	ENSGALG00000018874.3
LOC116957066	ENSGALG00000008010.5
MGAT5	ENSGALG00000012187.5
SFSWAP	ENSGALG00000002487.5
LOC116939224	ENSGALG00000004841.4
LOC103091854	ENSGALG00000025735.2
LOC116952360	ENSGALG00000030377.2
LOC116955872	ENSGALG00000015488.3
LOC116949675	ENSGALG00000008791.5
TXNDC15	ENSGALG00000039781.2
PRDM6	ENSGALG00000005351.5
SVIL	ENSGALG00000007331.5
NDUFB3	ENSGALG00000008239.6
LOC116939342	ENSGALG00000011615.5
LOC116939377	ENSGALG00000009073.5
LOC116939513	ENSGALG00000012388.6
LRFN5	ENSGALG00000012505.5
LOC116940366	ENSGALG00000004442.5
LOC116951845	ENSGALG00000015433.7
LIG3	ENSGALG00000002288.6
LOC116938592	ENSGALG00000009939.5
LOC116938625	ENSGALG00000011386.6
LOC116948889	ENSGALG00000011275.4
LOC116939491	ENSGALG00000010055.5
LOC116940693	ENSGALG00000045173.1
LOC116940729	ENSGALG00000029020.2
PEX1	ENSGALG00000009410.5
LOC116943754	ENSGALG00000012176.5
MAEA	ENSGALG00000013310.5
SC5D	ENSGALG00000037065.1
LOC116950666	ENSGALG00000005957.5
RPL35A	ENSGALG00000007611.5
LOC116952450	ENSGALG00000002155.5
CLCN3	ENSGALG00000009674.4
LOC116949501	ENSGALG00000038768.2
LOC116949519	ENSGALG00000012265.6
ATP9B	ENSGALG00000007912.5
LOC116952058	ENSGALG00000042045.1
LOC116939477	ENSGALG00000044525.1
LOC116948122	ENSGALG00000016198.6
LOC116949360	ENSGALG00000014232.5
LOC116942400	ENSGALG00000000417.5
LOC116940239	ENSGALG00000003925.6
MRPS11	ENSGALG00000006777.2
LOC116939584	ENSGALG00000034773.1
PGGT1B	ENSGALG00000008197.5
LOC116943578	ENSGALG00000009692.5
SAP30	ENSGALG00000028994.3
RPP40	ENSGALG00000036074.2
NELFCD	ENSGALG00000007477.6
EIF4G1	ENSGALG00000008520.6
EEFSEC	ENSGALG00000038684.1
LOC116952134	ENSGALG00000012802.4
ZNF532	ENSGALG00000041052.1
CIB1	ENSGALG00000008302.6
MYD88	ENSGALG00000005947.6
FAM98A	ENSGALG00000010428.3
HERC4	ENSGALG00000003861.6
DNAJC14	ENSGALG00000037186.1
LOC116950271	ENSGALG00000034927.1
EFHD2	ENSGALG00000001428.5
LOC116937167	ENSGALG00000032098.1
ACOT13	ENSGALG00000013632.6
LOC116946601	ENSGALG00000042543.1
IFT140	ENSGALG00000009318.5
IMMT	ENSGALG00000015783.4
LOC116957843	ENSGALG00000008014.3
LOC116957880	ENSGALG00000002623.5
LOC116957384	ENSGALG00000036284.1
LOC103091704	ENSGALG00000018439.5
LOC116942972	ENSGALG00000015729.6
SMIM8	ENSGALG00000015812.5
DCTN3	ENSGALG00000021365.5
IPO7	ENSGALG00000005807.5
LOC116958133	ENSGALG00000046226.1
TRABD	ENSGALG00000030705.2
EIF3D	ENSGALG00000012529.6
FUNDC1	ENSGALG00000029585.1
LOC116946993	ENSGALG00000002377.6
KCNAB1	ENSGALG00000010269.5
LOC116948396	ENSGALG00000010734.5
CSE1L	ENSGALG00000004707.5
LOC116944922	ENSGALG00000040003.1
NUSAP1	ENSGALG00000008584.1
LOC116947159	ENSGALG00000012295.5
LOC116945205	ENSGALG00000016359.6
SIVA1	ENSGALG00000011619.5
LOC116949639	ENSGALG00000035919.2
LOC116949517	ENSGALG00000037018.1
LOC116940053	ENSGALG00000040761.1
TMLHE	ENSGALG00000007443.3
LOC116938091	ENSGALG00000007305.4
LOC116940374	ENSGALG00000009568.5
LOC116942895	ENSGALG00000016721.4
PSMC3	ENSGALG00000008108.4
LOC116945747	ENSGALG00000041047.1
PAF1	ENSGALG00000037879.1
MAP3K19	ENSGALG00000028457.3
LOC116947204	ENSGALG00000039720.1
NUDT14	ENSGALG00000028940.3
ADA	ENSGALG00000004170.5
LOC116957560	ENSGALG00000027918.3
TBK1	ENSGALG00000009840.5
XPA	ENSGALG00000028998.3
LOC116945086	ENSGALG00000035950.1
LOC116939068	ENSGALG00000009224.5
NTAN1	ENSGALG00000040905.2
LOC116944112	ENSGALG00000005140.5
LOC116947490	ENSGALG00000002881.5
TMEM45B	ENSGALG00000015293.5
CLUH	ENSGALG00000005854.5
ABHD2	ENSGALG00000006689.5
OCSTAMP	ENSGALG00000044719.1
LOC116952771	ENSGALG00000014228.5
LOC116944395	ENSGALG00000000226.5
METTL5	ENSGALG00000009676.5
SIRT3	ENSGALG00000032496.1
API5	ENSGALG00000037968.1
LOC116957797	ENSGALG00000026605.3
LOC116955498	ENSGALG00000017244.3
LOC116937615	ENSGALG00000040184.1
LOC116939165	ENSGALG00000002661.5
LOC116956870	ENSGALG00000038155.1
LRRC71	ENSGALG00000027351.2
CTDSPL2	ENSGALG00000008199.6
LOC116939140	ENSGALG00000005796.4
PPP1CC	ENSGALG00000040016.2
CRTC1	ENSGALG00000003304.5
PPWD1	ENSGALG00000014756.5
TMEM14C	ENSGALG00000034591.2
LOC116950929	ENSGALG00000002432.4
LOC116951847	ENSGALG00000002595.5
NDUFA1	ENSGALG00000008613.5
DNAJC27	ENSGALG00000028967.2
LOC116958043	ENSGALG00000016348.4
CARNS1	ENSGALG00000043435.1
HSPB1	ENSGALG00000001926.5
THOC7	ENSGALG00000007299.6
GTF3C6	ENSGALG00000015044.3
LOC116947342	ENSGALG00000008778.5
LOC116948673	ENSGALG00000011937.5
BRAP	ENSGALG00000004650.4
LOC116941307	ENSGALG00000002105.3
RPAP1	ENSGALG00000008624.5
LOC116943341	ENSGALG00000031427.2
HEATR1	ENSGALG00000032799.2
MFAP2	ENSGALG00000030647.1
LOC116958661	ENSGALG00000004637.6
SLC28A3	ENSGALG00000030863.1
TMEM104	ENSGALG00000007747.5
LOC116949489	ENSGALG00000011970.5
LOC116952320	ENSGALG00000011421.5
PRAF2	ENSGALG00000038904.1
TYR	ENSGALG00000017237.5
NUDT8	ENSGALG00000030153.1
SLC25A46	ENSGALG00000000253.3
NXF1	ENSGALG00000032057.2
LOC116941078	ENSGALG00000011447.5
ROPN1L	ENSGALG00000013006.5
UBXN4	ENSGALG00000036792.2
MRPS15	ENSGALG00000044433.1
TMEM181	ENSGALG00000013737.4
LAPTM4B	ENSGALG00000016479.4
KLHL20	ENSGALG00000036931.1
LOC116939353	ENSGALG00000009907.8
LOC116938487	ENSGALG00000011248.5
LOC116938527	ENSGALG00000031112.1
LOC103091824	ENSGALG00000025950.2
DIABLO	ENSGALG00000004412.6
ADA2	ENSGALG00000013031.5
PSMD4	ENSGALG00000028505.2
LOC116940677	ENSGALG00000014934.5
LOC116951428	ENSGALG00000032783.1
CENPF	ENSGALG00000009690.6
LOC116951293	ENSGALG00000038488.2
LOC116949744	ENSGALG00000003105.4
RNFT1	ENSGALG00000008217.5
LOC116952441	ENSGALG00000009298.5
LOC116955578	ENSGALG00000000672.5
LOC116955688	ENSGALG00000011524.4
LOC116942580	ENSGALG00000029842.1
GEMIN5	ENSGALG00000003937.5
DDX1	ENSGALG00000016461.5
ARIH2	ENSGALG00000006956.5
ASZ1	ENSGALG00000034574.1
TOP3B	ENSGALG00000030051.2
PTPN23	ENSGALG00000033500.1
HMGXB3	ENSGALG00000005770.4
PRRC1	ENSGALG00000014703.6
NDNF	ENSGALG00000011962.6
B3GALT2	ENSGALG00000016128.5
GCH1	ENSGALG00000012200.4
LAP3	ENSGALG00000006334.6
MYO9A	ENSGALG00000003717.6
ERCC4	ENSGALG00000002981.6
LOC116950494	ENSGALG00000007714.6
UBE2I	ENSGALG00000006428.5
XRCC6	ENSGALG00000011932.5
AARS2	ENSGALG00000035337.1
SHOC2	ENSGALG00000008771.6
LOC116957920	ENSGALG00000015040.6
NLK	ENSGALG00000005699.5
VAPA	ENSGALG00000039455.2
LOC116939993	ENSGALG00000032458.1
DHX36	ENSGALG00000043082.1
UBE2H	ENSGALG00000031975.1
LOC116952666	ENSGALG00000005123.5
CCDC174	ENSGALG00000006459.5
ACTR6	ENSGALG00000040976.2
PTPN12	ENSGALG00000021656.5
LOC116939637	ENSGALG00000023648.1
THAP4	ENSGALG00000006283.5
SPIDR	ENSGALG00000015226.5
TMEM263	ENSGALG00000012640.1
TEX264	ENSGALG00000003832.5
LOC116938598	ENSGALG00000036837.1
LOC116940572	ENSGALG00000009248.5
NNT	ENSGALG00000014869.5
LOC116939877	ENSGALG00000005971.6
UFL1	ENSGALG00000015580.5
NIPSNAP3A	ENSGALG00000027334.3
PRADC1	ENSGALG00000016089.5
ZPR1	ENSGALG00000007101.6
DCLK1	ENSGALG00000032386.1
AMACR	ENSGALG00000003326.5
LOC116939049	ENSGALG00000006872.5
LOC116946896	ENSGALG00000022926.4
MANF	ENSGALG00000002362.5
FOXRED2	ENSGALG00000012530.6
SAV1	ENSGALG00000012341.5
CTNNBL1	ENSGALG00000006817.6
LOC116955686	ENSGALG00000017126.6
RNF217	ENSGALG00000013651.5
LOC116947076	ENSGALG00000031147.1
LOC116947393	ENSGALG00000032915.2
SPSB1	ENSGALG00000032053.1
LOC116952274	ENSGALG00000002240.6
LOC116939241	ENSGALG00000034297.1
MYMK	ENSGALG00000021520.4
LOC116940489	ENSGALG00000035502.1
METTL3	ENSGALG00000044213.1
LOC116952277	ENSGALG00000035045.1
ALKAL2	ENSGALG00000016364.5
LOC116948187	ENSGALG00000005914.6
CHEK1	ENSGALG00000042418.1
CA10	ENSGALG00000002993.5
LOC116953385	ENSGALG00000014878.5
GPATCH3	ENSGALG00000000881.4
RAB24	ENSGALG00000002984.5
WDR31	ENSGALG00000008859.5
TMBIM4	ENSGALG00000009879.5
COPB1	ENSGALG00000006015.6
LCT	ENSGALG00000012260.5
HOXA2	ENSGALG00000040521.2
LOC116939777	ENSGALG00000033212.2
LOC116939790	ENSGALG00000034898.2
LOC116958346	ENSGALG00000005464.5
PIGS	ENSGALG00000003665.5
LOC116944842	ENSGALG00000003472.6
BRCC3	ENSGALG00000005383.5
MFAP1	ENSGALG00000028295.3
LOC116939861	ENSGALG00000039741.1
GAL	ENSGALG00000007047.5
ALG2	ENSGALG00000013573.4
FBXO4	ENSGALG00000014851.5
CHAF1A	ENSGALG00000001126.6
HEATR6	ENSGALG00000005516.5
LOC116953673	ENSGALG00000035815.1
LOC116950533	ENSGALG00000007357.2
MIB2	ENSGALG00000001473.6
LOC116953568	ENSGALG00000026446.2
LOC116940716	ENSGALG00000010979.6
KLHL28	ENSGALG00000012489.6
LOC116956560	ENSGALG00000017142.6
STOX2	ENSGALG00000010646.6
