EA44645	ENSGALG00000032763.2
EA82770	ENSGALG00000035499.1
EA33106	ENSGALG00000045792.1
EA15229	ENSGALG00000029287.1
EA38774	ENSGALG00000010571.5
EA19885	ENSGALG00000034747.1
EA77447	ENSGALG00000036935.1
EA49737	ENSGALG00000010057.5
EA22774	ENSGALG00000035774.1
EA37001	ENSGALG00000007557.5
EA31312	ENSGALG00000030801.2
EA11654	ENSGALG00000009911.5
EA84239	ENSGALG00000009714.6
EA25247	ENSGALG00000008470.6
EA54146	ENSGALG00000038768.2
EA65241	ENSGALG00000000855.6
EA40230	ENSGALG00000008523.6
EA41193	ENSGALG00000037646.1
EA53472	ENSGALG00000006286.5
EA04719	ENSGALG00000005452.6
EA32989	ENSGALG00000016312.5
EA18469	ENSGALG00000011181.5
EA44529	ENSGALG00000046180.1
EA38598	ENSGALG00000000643.5
EA32053	ENSGALG00000002008.6
EA34130	ENSGALG00000002610.6
EA37793	ENSGALG00000015729.6
EA12994	ENSGALG00000008703.5
EA50688	ENSGALG00000005266.5
EA17588	ENSGALG00000042589.1
EA80183	ENSGALG00000005083.6
EA81858	ENSGALG00000006428.5
EA22286	ENSGALG00000026598.3
EA64868	ENSGALG00000003458.3
EA15587	ENSGALG00000000751.6
EA27084	ENSGALG00000012574.5
EA38737	ENSGALG00000011704.5
EA39459	ENSGALG00000032740.1
EA03287	ENSGALG00000006157.5
EA30805	ENSGALG00000036196.2
EA77353	ENSGALG00000009532.3
EA43588	ENSGALG00000001972.5
EA61050	ENSGALG00000012408.6
EA47424	ENSGALG00000010620.6
EA15177	ENSGALG00000008889.4
EA82255	ENSGALG00000001956.5
EA21745	ENSGALG00000006681.5
EA55084	ENSGALG00000012816.5
EA70225	ENSGALG00000014952.5
EA54138	ENSGALG00000013733.3
EA00545	ENSGALG00000041283.1
EA01647	ENSGALG00000022850.3
EA78442	ENSGALG00000008941.6
EA21307	ENSGALG00000010317.6
EA16201	ENSGALG00000041732.1
EA61546	ENSGALG00000003031.5
EA50531	ENSGALG00000013193.5
EA67396	ENSGALG00000002467.4
EA82566	ENSGALG00000026970.2
EA83556	ENSGALG00000002729.5
EA83538	ENSGALG00000023757.3
EA58652	ENSGALG00000013235.4
EA38254	ENSGALG00000038328.2
EA79021	ENSGALG00000001024.6
EA12207	ENSGALG00000011297.3
EA64782	ENSGALG00000002847.6
EA64986	ENSGALG00000027372.2
EA58834	ENSGALG00000004637.6
EA63039	ENSGALG00000001852.6
EA84788	ENSGALG00000008228.3
EA85613	ENSGALG00000014795.5
EA84003	ENSGALG00000041568.1
EA28553	ENSGALG00000019794.4
EA22377	ENSGALG00000006805.5
EA23214	ENSGALG00000043515.1
EA49308	ENSGALG00000011000.5
EA28089	ENSGALG00000002773.5
EA04335	ENSGALG00000011623.4
EA52266	ENSGALG00000011101.5
EA29383	ENSGALG00000014276.5
EA50484	ENSGALG00000009576.6
EA23179	ENSGALG00000005667.6
EA22406	ENSGALG00000003939.5
EA83407	ENSGALG00000017008.5
EA84123	ENSGALG00000037162.1
EA24536	ENSGALG00000031512.1
EA29838	ENSGALG00000006219.6
EA53849	ENSGALG00000026981.2
EA33487	ENSGALG00000016975.2
EA77918	ENSGALG00000031766.2
EA34610	ENSGALG00000025896.2
EA65658	ENSGALG00000042990.1
EA65006	ENSGALG00000015603.5
EA81490	ENSGALG00000016633.5
EA24076	ENSGALG00000008585.5
EA53539	ENSGALG00000005857.5
EA44549	ENSGALG00000010493.6
EA55149	ENSGALG00000009981.5
EA35339	ENSGALG00000042949.2
EA65580	ENSGALG00000022030.2
EA02682	ENSGALG00000017358.5
EA16095	ENSGALG00000036309.1
EA59987	ENSGALG00000009633.5
EA46800	ENSGALG00000013598.6
EA46957	ENSGALG00000010174.6
EA07769	ENSGALG00000003194.3
EA59231	ENSGALG00000005834.4
EA59149	ENSGALG00000005397.5
EA00913	ENSGALG00000005750.5
EA18317	ENSGALG00000031813.1
EA48587	ENSGALG00000009491.5
EA65103	ENSGALG00000007481.5
EA20266	ENSGALG00000012220.5
EA30284	ENSGALG00000033515.1
EA24958	ENSGALG00000002632.5
EA83707	ENSGALG00000035576.1
EA83949	ENSGALG00000031120.2
EA26228	ENSGALG00000015079.5
EA00263	ENSGALG00000032398.1
EA13357	ENSGALG00000003681.5
EA74215	ENSGALG00000007961.6
EA07368	ENSGALG00000001153.5
EA68124	ENSGALG00000034493.1
EA42618	ENSGALG00000005683.5
EA80279	ENSGALG00000004170.5
EA10013	ENSGALG00000010607.7
EA25220	ENSGALG00000013167.6
EA09001	ENSGALG00000006197.6
EA27588	ENSGALG00000017289.5
EA19622	ENSGALG00000009868.6
EA68615	ENSGALG00000003143.5
EA27219	ENSGALG00000041013.2
EA68440	ENSGALG00000042446.1
EA10359	ENSGALG00000036432.1
EA45514	ENSGALG00000031720.1
EA41679	ENSGALG00000007531.6
EA14346	ENSGALG00000028081.2
EA14220	ENSGALG00000036259.1
EA07253	ENSGALG00000003325.5
EA14207	ENSGALG00000036074.2
EA05556	ENSGALG00000008513.4
EA59010	ENSGALG00000038532.1
EA47499	ENSGALG00000017266.4
EA40416	ENSGALG00000008121.5
EA77505	ENSGALG00000037510.1
EA73944	ENSGALG00000003307.3
EA22765	ENSGALG00000008949.4
EA53738	ENSGALG00000011878.5
EA83733	ENSGALG00000007038.4
EA69816	ENSGALG00000042132.1
EA69670	ENSGALG00000014804.6
EA63333	ENSGALG00000007928.5
EA35801	ENSGALG00000039163.1
EA79573	ENSGALG00000037097.1
EA11833	ENSGALG00000009029.4
EA29753	ENSGALG00000026460.3
EA82013	ENSGALG00000005046.6
EA38889	ENSGALG00000017332.5
EA63366	ENSGALG00000009466.6
EA16226	ENSGALG00000039329.1
EA05283	ENSGALG00000043480.1
EA77961	ENSGALG00000014298.4
EA09753	ENSGALG00000030576.2
EA85423	ENSGALG00000016451.5
EA04472	ENSGALG00000005065.4
EA23827	ENSGALG00000008797.5
EA19736	ENSGALG00000029677.2
EA23209	ENSGALG00000041556.1
EA22234	ENSGALG00000010924.6
EA53679	ENSGALG00000015878.5
EA02769	ENSGALG00000005519.5
EA60532	ENSGALG00000002618.4
EA79787	ENSGALG00000006604.5
EA69048	ENSGALG00000015805.4
EA69254	ENSGALG00000006410.6
EA54284	ENSGALG00000041622.1
EA54460	ENSGALG00000028465.2
EA74329	ENSGALG00000000645.6
EA78396	ENSGALG00000043669.1
EA60619	ENSGALG00000009369.6
EA31232	ENSGALG00000007155.4
EA75440	ENSGALG00000040141.2
EA59228	ENSGALG00000038704.1
EA14572	ENSGALG00000039920.1
EA81730	ENSGALG00000004276.3
EA20167	ENSGALG00000005328.4
EA72892	ENSGALG00000005796.4
EA73473	ENSGALG00000043373.1
EA17353	ENSGALG00000015683.5
EA46419	ENSGALG00000030759.1
EA16769	ENSGALG00000001062.5
EA73472	ENSGALG00000001115.6
EA20863	ENSGALG00000026978.3
EA76327	ENSGALG00000032978.2
EA09468	ENSGALG00000016314.5
EA61047	ENSGALG00000003392.5
EA06343	ENSGALG00000016518.5
EA07398	ENSGALG00000040844.1
EA62329	ENSGALG00000004758.4
EA16590	ENSGALG00000003130.6
EA37804	ENSGALG00000038467.1
EA06667	ENSGALG00000038400.1
EA39300	ENSGALG00000029610.1
EA37396	ENSGALG00000017201.6
EA23110	ENSGALG00000036785.1
EA18709	ENSGALG00000004515.6
EA23001	ENSGALG00000019215.5
EA83309	ENSGALG00000008873.4
EA20670	ENSGALG00000012208.5
EA18956	ENSGALG00000001753.5
EA38711	ENSGALG00000007331.5
EA16330	ENSGALG00000001342.5
EA53088	ENSGALG00000008757.4
EA61308	ENSGALG00000007244.5
EA26859	ENSGALG00000018803.5
EA82118	ENSGALG00000003284.6
EA81621	ENSGALG00000015937.3
EA82503	ENSGALG00000004224.5
EA02178	ENSGALG00000000703.5
EA68610	ENSGALG00000004398.5
EA47066	ENSGALG00000039450.1
EA74274	ENSGALG00000001441.6
EA84522	ENSGALG00000014791.5
EA13923	ENSGALG00000004352.2
EA15347	ENSGALG00000008122.2
EA06725	ENSGALG00000012387.6
EA80686	ENSGALG00000033118.2
EA82506	ENSGALG00000008181.5
EA62702	ENSGALG00000002346.6
EA72103	ENSGALG00000030493.2
EA05347	ENSGALG00000009361.5
EA38800	ENSGALG00000009537.2
EA63037	ENSGALG00000007954.5
EA81994	ENSGALG00000011847.5
EA80991	ENSGALG00000002445.5
EA65866	ENSGALG00000034095.2
EA80853	ENSGALG00000027190.2
EA21266	ENSGALG00000032799.2
EA74608	ENSGALG00000043280.1
EA83942	ENSGALG00000026239.2
EA35174	ENSGALG00000036238.1
EA42292	ENSGALG00000005646.5
EA05936	ENSGALG00000007070.5
EA05391	ENSGALG00000003137.6
EA63115	ENSGALG00000004444.5
EA38754	ENSGALG00000014700.4
EA49564	ENSGALG00000012124.4
EA67945	ENSGALG00000019543.4
EA69840	ENSGALG00000001394.6
EA69250	ENSGALG00000002162.5
EA41699	ENSGALG00000006170.6
EA67303	ENSGALG00000009500.5
EA68441	ENSGALG00000010836.6
EA80727	ENSGALG00000006436.4
EA68308	ENSGALG00000004285.3
EA28187	ENSGALG00000014980.5
EA69654	ENSGALG00000003427.5
EA66279	ENSGALG00000006202.5
EA36038	ENSGALG00000009887.3
EA30388	ENSGALG00000009641.6
EA30377	ENSGALG00000041528.1
EA47318	ENSGALG00000009453.5
EA44893	ENSGALG00000030008.1
EA77596	ENSGALG00000016222.5
EA54352	ENSGALG00000010046.3
EA54835	ENSGALG00000009322.5
EA53569	ENSGALG00000005251.4
EA02977	ENSGALG00000004642.6
EA36965	ENSGALG00000032145.1
EA04379	ENSGALG00000012227.5
EA35547	ENSGALG00000038740.2
EA76384	ENSGALG00000041470.1
EA84820	ENSGALG00000040632.1
EA82580	ENSGALG00000003798.4
EA82072	ENSGALG00000001624.6
EA19248	ENSGALG00000009822.6
EA50009	ENSGALG00000008176.5
EA63845	ENSGALG00000045376.1
EA34184	ENSGALG00000044141.1
EA12031	ENSGALG00000035453.2
EA09152	ENSGALG00000038957.1
EA26684	ENSGALG00000037065.1
EA02355	ENSGALG00000028935.1
EA79397	ENSGALG00000012186.5
EA00045	ENSGALG00000031129.1
EA76031	ENSGALG00000034574.1
EA54147	ENSGALG00000009801.6
EA51381	ENSGALG00000037698.1
EA42992	ENSGALG00000031918.1
EA44077	ENSGALG00000009455.6
EA13250	ENSGALG00000043535.2
EA06345	ENSGALG00000003015.5
EA14510	ENSGALG00000010826.5
EA60587	ENSGALG00000032250.2
EA84736	ENSGALG00000005108.5
EA79005	ENSGALG00000014281.5
EA45573	ENSGALG00000026019.3
EA74650	ENSGALG00000007111.4
EA74890	ENSGALG00000010084.5
EA26263	ENSGALG00000014163.5
EA80559	ENSGALG00000040511.2
EA67319	ENSGALG00000023547.3
EA47668	ENSGALG00000016622.5
EA42844	ENSGALG00000001161.5
EA39881	ENSGALG00000004858.5
EA13664	ENSGALG00000027707.3
EA53983	ENSGALG00000015898.5
EA64190	ENSGALG00000039880.1
EA02486	ENSGALG00000040433.1
EA20277	ENSGALG00000009093.5
EA05668	ENSGALG00000003881.4
EA07177	ENSGALG00000034297.1
EA55437	ENSGALG00000011111.5
EA16080	ENSGALG00000042840.1
EA06033	ENSGALG00000010781.5
EA32321	ENSGALG00000002802.5
EA33563	ENSGALG00000016949.3
EA76780	ENSGALG00000044299.1
EA60919	ENSGALG00000014467.5
EA78161	ENSGALG00000006936.5
EA84053	ENSGALG00000016719.5
EA69021	ENSGALG00000042201.2
EA52753	ENSGALG00000010435.7
EA23652	ENSGALG00000003398.6
EA06878	ENSGALG00000001654.5
EA57300	ENSGALG00000010136.5
EA72490	ENSGALG00000042900.1
EA35973	ENSGALG00000003067.6
EA37614	ENSGALG00000006298.5
EA84602	ENSGALG00000001637.4
EA32240	ENSGALG00000014786.5
EA18326	ENSGALG00000042796.2
EA73535	ENSGALG00000002555.6
EA26249	ENSGALG00000029247.1
EA20315	ENSGALG00000009846.5
EA21056	ENSGALG00000010760.6
EA34390	ENSGALG00000007808.4
EA15948	ENSGALG00000016495.5
EA65343	ENSGALG00000008912.5
EA66349	ENSGALG00000011405.5
EA80324	ENSGALG00000006546.5
EA80443	ENSGALG00000003986.5
EA69041	ENSGALG00000037869.1
EA19850	ENSGALG00000002919.6
EA70536	ENSGALG00000036622.1
EA07656	ENSGALG00000029673.2
EA31342	ENSGALG00000036730.1
EA30247	ENSGALG00000014948.6
EA15673	ENSGALG00000012731.6
EA62555	ENSGALG00000021592.5
EA48787	ENSGALG00000008175.4
EA47584	ENSGALG00000012703.5
EA18711	ENSGALG00000002907.6
EA10327	ENSGALG00000041575.1
EA49476	ENSGALG00000008918.4
EA17938	ENSGALG00000041074.1
EA44243	ENSGALG00000014166.5
EA73041	ENSGALG00000009800.6
EA74492	ENSGALG00000037206.2
EA84612	ENSGALG00000010130.4
EA49135	ENSGALG00000009057.5
EA81238	ENSGALG00000017118.5
EA81891	ENSGALG00000002234.5
EA81502	ENSGALG00000029514.1
EA02053	ENSGALG00000035749.1
EA32866	ENSGALG00000032090.1
EA78276	ENSGALG00000005092.5
EA41736	ENSGALG00000030783.2
EA13003	ENSGALG00000004937.5
EA10220	ENSGALG00000008740.6
EA75711	ENSGALG00000007470.5
EA69779	ENSGALG00000020923.5
EA43468	ENSGALG00000041914.1
EA15759	ENSGALG00000036932.1
EA54780	ENSGALG00000013695.5
EA82870	ENSGALG00000000067.5
EA18058	ENSGALG00000013968.5
EA18112	ENSGALG00000039958.1
EA10606	ENSGALG00000011797.5
EA80058	ENSGALG00000008574.6
EA18552	ENSGALG00000006098.5
EA64316	ENSGALG00000042784.1
EA18802	ENSGALG00000009286.5
EA51537	ENSGALG00000035842.1
EA33636	ENSGALG00000008325.6
EA84177	ENSGALG00000035417.1
EA29454	ENSGALG00000006760.6
EA20800	ENSGALG00000030588.1
EA60275	ENSGALG00000005706.5
EA72902	ENSGALG00000004947.5
EA70079	ENSGALG00000043164.1
EA54188	ENSGALG00000025938.3
EA34708	ENSGALG00000040008.1
EA76434	ENSGALG00000039182.2
EA36823	ENSGALG00000016088.6
EA84241	ENSGALG00000010674.5
EA03885	ENSGALG00000012109.6
EA48745	ENSGALG00000023468.3
EA50893	ENSGALG00000010538.5
EA45800	ENSGALG00000001837.5
EA41206	ENSGALG00000036754.2
EA83405	ENSGALG00000031035.2
EA30039	ENSGALG00000041730.1
EA14426	ENSGALG00000003387.6
EA76246	ENSGALG00000033598.2
EA82207	ENSGALG00000031487.2
EA00837	ENSGALG00000001934.3
EA11810	ENSGALG00000002253.6
EA68317	ENSGALG00000040696.2
EA00677	ENSGALG00000042598.2
EA80593	ENSGALG00000027435.3
EA14316	ENSGALG00000016412.3
EA57258	ENSGALG00000009946.6
EA06954	ENSGALG00000043047.2
EA70700	ENSGALG00000010491.5
EA61509	ENSGALG00000014526.3
EA65506	ENSGALG00000008976.5
EA53583	ENSGALG00000014713.6
EA31993	ENSGALG00000032098.1
EA59069	ENSGALG00000005093.6
EA47494	ENSGALG00000000713.6
EA11938	ENSGALG00000008193.6
EA15102	ENSGALG00000001639.3
EA30958	ENSGALG00000010243.5
EA74392	ENSGALG00000005547.6
EA11577	ENSGALG00000039160.1
EA15284	ENSGALG00000016556.5
EA42797	ENSGALG00000036019.2
EA35257	ENSGALG00000012103.7
EA48151	ENSGALG00000007825.4
EA74082	ENSGALG00000020989.4
EA75991	ENSGALG00000042220.2
EA02309	ENSGALG00000012123.5
EA57768	ENSGALG00000002631.2
EA61816	ENSGALG00000046226.1
EA18138	ENSGALG00000037711.1
EA19907	ENSGALG00000009331.6
EA21873	ENSGALG00000009945.6
EA18984	ENSGALG00000017044.5
EA35945	ENSGALG00000037781.2
EA37618	ENSGALG00000007699.6
EA01070	ENSGALG00000029927.2
EA31217	ENSGALG00000033943.1
EA77670	ENSGALG00000016894.5
EA76172	ENSGALG00000029199.1
EA11254	ENSGALG00000009743.5
EA56526	ENSGALG00000015000.6
EA22894	ENSGALG00000040444.1
EA32171	ENSGALG00000014861.6
EA25573	ENSGALG00000008146.6
EA22745	ENSGALG00000010481.4
EA44107	ENSGALG00000012236.5
EA44226	ENSGALG00000005612.5
EA14254	ENSGALG00000030065.2
EA02751	ENSGALG00000013532.6
EA05005	ENSGALG00000011133.6
EA07178	ENSGALG00000002010.5
EA06798	ENSGALG00000017142.6
EA59868	ENSGALG00000008304.5
EA35308	ENSGALG00000028153.3
EA82959	ENSGALG00000016465.4
EA09138	ENSGALG00000031723.1
EA64372	ENSGALG00000007547.5
EA29571	ENSGALG00000006008.5
EA75646	ENSGALG00000001655.6
EA10721	ENSGALG00000009246.3
EA10083	ENSGALG00000037569.1
EA11962	ENSGALG00000008330.4
EA05031	ENSGALG00000005243.5
EA73396	ENSGALG00000010284.5
EA11369	ENSGALG00000009814.4
EA83771	ENSGALG00000002992.5
EA77488	ENSGALG00000012264.5
EA36720	ENSGALG00000012662.4
EA20847	ENSGALG00000010616.5
EA67683	ENSGALG00000041641.1
EA28078	ENSGALG00000002832.5
EA85593	ENSGALG00000015916.5
EA58883	ENSGALG00000004650.4
EA35862	ENSGALG00000011278.5
EA16479	ENSGALG00000014691.5
EA29127	ENSGALG00000009129.5
EA38991	ENSGALG00000017145.4
EA18735	ENSGALG00000046507.1
EA27699	ENSGALG00000031243.1
EA18298	ENSGALG00000034274.1
EA83264	ENSGALG00000043650.2
EA15404	ENSGALG00000032975.1
EA60239	ENSGALG00000000674.5
EA59629	ENSGALG00000013200.5
EA60069	ENSGALG00000013651.5
EA76963	ENSGALG00000008111.6
EA12079	ENSGALG00000006526.5
EA14514	ENSGALG00000026605.3
EA16079	ENSGALG00000014984.5
EA85151	ENSGALG00000001003.5
EA15884	ENSGALG00000014217.6
EA60474	ENSGALG00000006141.5
EA20095	ENSGALG00000042016.2
EA81985	ENSGALG00000005769.6
EA09610	ENSGALG00000037504.1
EA29238	ENSGALG00000009525.6
EA84681	ENSGALG00000034610.1
EA13858	ENSGALG00000031282.1
EA76050	ENSGALG00000009241.4
EA09278	ENSGALG00000005214.6
EA49627	ENSGALG00000010395.5
EA27703	ENSGALG00000013511.6
EA07589	ENSGALG00000017122.6
EA08004	ENSGALG00000026781.2
EA30593	ENSGALG00000009301.6
EA05621	ENSGALG00000029012.2
EA65885	ENSGALG00000011650.5
EA48886	ENSGALG00000043015.1
EA18199	ENSGALG00000043367.1
EA85354	ENSGALG00000030831.2
EA52827	ENSGALG00000009796.5
EA47461	ENSGALG00000003560.5
EA80342	ENSGALG00000008211.5
EA20314	ENSGALG00000017239.6
EA48453	ENSGALG00000037780.1
EA84373	ENSGALG00000016309.5
EA66125	ENSGALG00000011947.6
EA24655	ENSGALG00000003122.5
EA11872	ENSGALG00000026850.2
EA11155	ENSGALG00000010811.6
EA10381	ENSGALG00000034492.1
EA28731	ENSGALG00000000764.6
EA16814	ENSGALG00000003339.5
EA27764	ENSGALG00000007527.6
EA70212	ENSGALG00000011174.5
EA50878	ENSGALG00000043572.1
EA51858	ENSGALG00000037828.1
EA38034	ENSGALG00000034562.1
EA63898	ENSGALG00000007768.6
EA43613	ENSGALG00000041823.1
EA62774	ENSGALG00000006689.5
EA43690	ENSGALG00000012170.6
EA46997	ENSGALG00000010304.5
EA12195	ENSGALG00000000220.5
EA29276	ENSGALG00000013041.6
EA30319	ENSGALG00000015008.6
EA21210	ENSGALG00000012006.6
EA79147	ENSGALG00000005957.5
EA06473	ENSGALG00000016543.5
EA33883	ENSGALG00000001333.6
EA54055	ENSGALG00000000693.4
EA34544	ENSGALG00000031423.1
EA78347	ENSGALG00000001859.3
EA69888	ENSGALG00000037699.1
EA44990	ENSGALG00000017282.4
EA13860	ENSGALG00000005782.5
EA26070	ENSGALG00000046427.1
EA26814	ENSGALG00000009017.5
EA27341	ENSGALG00000014956.5
EA79946	ENSGALG00000027146.2
EA15748	ENSGALG00000029509.1
EA44491	ENSGALG00000017681.4
EA79487	ENSGALG00000004101.4
EA20852	ENSGALG00000009881.5
EA24161	ENSGALG00000023552.3
EA60592	ENSGALG00000008051.5
EA54401	ENSGALG00000014410.4
EA31860	ENSGALG00000010234.1
EA79239	ENSGALG00000017320.6
EA13391	ENSGALG00000012613.5
EA16107	ENSGALG00000007740.6
EA37031	ENSGALG00000024094.3
EA51107	ENSGALG00000040713.1
EA23955	ENSGALG00000012992.5
EA55494	ENSGALG00000010127.6
EA62655	ENSGALG00000008764.5
EA26496	ENSGALG00000003464.4
EA85425	ENSGALG00000030353.1
EA33698	ENSGALG00000012265.6
EA00704	ENSGALG00000037642.1
EA73262	ENSGALG00000017076.6
EA75333	ENSGALG00000025921.2
EA84409	ENSGALG00000042325.1
EA04236	ENSGALG00000028439.2
EA35510	ENSGALG00000037171.2
EA32172	ENSGALG00000043307.2
EA32186	ENSGALG00000008494.6
EA81543	ENSGALG00000026465.2
EA16644	ENSGALG00000002091.5
EA06979	ENSGALG00000028420.2
EA77590	ENSGALG00000033301.1
EA58359	ENSGALG00000001593.6
EA40353	ENSGALG00000016461.5
EA57919	ENSGALG00000008701.4
EA70521	ENSGALG00000029151.3
EA71671	ENSGALG00000015810.5
EA15627	ENSGALG00000015209.3
EA16175	ENSGALG00000007138.5
EA83316	ENSGALG00000030626.2
EA45302	ENSGALG00000009611.6
EA36642	ENSGALG00000010619.4
EA49512	ENSGALG00000008416.6
EA09790	ENSGALG00000026757.2
EA63117	ENSGALG00000015630.5
EA57748	ENSGALG00000007615.3
EA10914	ENSGALG00000010594.5
EA54656	ENSGALG00000010016.3
EA72118	ENSGALG00000008297.5
EA13658	ENSGALG00000003837.4
EA56993	ENSGALG00000006350.3
EA59689	ENSGALG00000035565.2
EA09495	ENSGALG00000040168.2
EA85386	ENSGALG00000008819.5
EA29907	ENSGALG00000014790.6
EA01218	ENSGALG00000005704.6
EA02368	ENSGALG00000002686.5
EA43261	ENSGALG00000027909.2
EA38313	ENSGALG00000010459.6
EA25000	ENSGALG00000040620.2
EA30652	ENSGALG00000011813.5
EA38092	ENSGALG00000044187.1
EA72121	ENSGALG00000005473.5
EA69042	ENSGALG00000040267.1
EA83566	ENSGALG00000006810.5
EA84739	ENSGALG00000036322.1
EA80073	ENSGALG00000003498.5
EA12878	ENSGALG00000008624.5
EA38654	ENSGALG00000043393.1
EA35101	ENSGALG00000044464.1
EA50537	ENSGALG00000030055.1
EA41850	ENSGALG00000038217.1
EA80923	ENSGALG00000007224.6
EA36061	ENSGALG00000016955.5
EA58375	ENSGALG00000006965.6
EA41076	ENSGALG00000002304.4
EA16535	ENSGALG00000010768.5
EA14920	ENSGALG00000021365.5
EA13995	ENSGALG00000005848.7
EA37855	ENSGALG00000009081.6
EA24744	ENSGALG00000037962.2
EA29499	ENSGALG00000026661.3
EA77224	ENSGALG00000003976.5
EA14943	ENSGALG00000011608.5
EA33534	ENSGALG00000040259.1
EA78645	ENSGALG00000009719.5
EA83686	ENSGALG00000010623.3
EA11500	ENSGALG00000036286.1
EA80099	ENSGALG00000008084.6
EA17332	ENSGALG00000034453.2
EA16314	ENSGALG00000002524.6
EA17317	ENSGALG00000015018.5
EA56315	ENSGALG00000015591.5
EA49071	ENSGALG00000026298.2
EA64195	ENSGALG00000000699.5
EA59421	ENSGALG00000000161.6
EA33236	ENSGALG00000005619.5
EA52534	ENSGALG00000026285.3
EA23775	ENSGALG00000008174.5
EA06127	ENSGALG00000016265.5
EA40621	ENSGALG00000012712.4
EA14547	ENSGALG00000029279.2
EA09777	ENSGALG00000012263.6
EA11519	ENSGALG00000010641.6
EA75995	ENSGALG00000005425.6
EA84504	ENSGALG00000021520.4
EA40423	ENSGALG00000037457.2
EA14148	ENSGALG00000001126.6
EA07658	ENSGALG00000001181.5
EA09727	ENSGALG00000016605.5
EA06917	ENSGALG00000004763.5
EA35428	ENSGALG00000028648.2
EA53982	ENSGALG00000035816.1
EA71122	ENSGALG00000041812.2
EA82126	ENSGALG00000009341.6
EA49392	ENSGALG00000004413.5
EA55039	ENSGALG00000035575.1
EA03700	ENSGALG00000012735.6
EA57729	ENSGALG00000015040.6
EA70772	ENSGALG00000004161.6
EA02212	ENSGALG00000003683.5
EA33386	ENSGALG00000013661.5
EA28897	ENSGALG00000007169.5
EA14034	ENSGALG00000004523.6
EA73965	ENSGALG00000004493.6
EA61908	ENSGALG00000031511.1
EA81752	ENSGALG00000039951.2
EA10206	ENSGALG00000008595.5
EA85650	ENSGALG00000002645.5
EA34501	ENSGALG00000029648.2
EA79003	ENSGALG00000011357.5
EA43208	ENSGALG00000039791.2
EA17020	ENSGALG00000005416.4
EA14717	ENSGALG00000039673.1
EA15991	ENSGALG00000027482.2
EA58851	ENSGALG00000000498.4
EA01896	ENSGALG00000007520.6
EA03070	ENSGALG00000036391.2
EA71171	ENSGALG00000016042.3
EA78098	ENSGALG00000009913.6
EA77559	ENSGALG00000011835.6
EA83485	ENSGALG00000034948.1
EA13506	ENSGALG00000029438.1
EA49864	ENSGALG00000029793.2
EA48617	ENSGALG00000001817.5
EA82392	ENSGALG00000042322.1
EA20163	ENSGALG00000012098.6
EA63976	ENSGALG00000042521.1
EA28166	ENSGALG00000001407.4
EA49487	ENSGALG00000008796.6
EA01790	ENSGALG00000043681.2
EA59720	ENSGALG00000002312.5
EA37492	ENSGALG00000016991.6
EA71251	ENSGALG00000030070.2
EA70486	ENSGALG00000016094.6
EA53636	ENSGALG00000005411.5
EA52445	ENSGALG00000015906.5
EA36300	ENSGALG00000011705.5
EA38809	ENSGALG00000037951.1
EA35700	ENSGALG00000010270.5
EA82486	ENSGALG00000015949.5
EA81269	ENSGALG00000034859.1
EA50091	ENSGALG00000036199.2
EA21728	ENSGALG00000033772.1
EA17361	ENSGALG00000002085.6
EA60803	ENSGALG00000004799.6
EA47784	ENSGALG00000029476.1
EA76375	ENSGALG00000006794.5
EA60250	ENSGALG00000002272.5
EA77240	ENSGALG00000016816.5
EA46670	ENSGALG00000008857.6
EA03220	ENSGALG00000008864.6
EA23893	ENSGALG00000002599.4
EA50331	ENSGALG00000013494.5
EA50724	ENSGALG00000015218.6
EA00900	ENSGALG00000002089.5
EA02392	ENSGALG00000004325.6
EA02865	ENSGALG00000031009.1
EA20050	ENSGALG00000013281.5
EA16476	ENSGALG00000016462.5
EA13578	ENSGALG00000014726.5
EA53417	ENSGALG00000033675.1
EA14103	ENSGALG00000046360.1
EA39480	ENSGALG00000005169.3
EA36701	ENSGALG00000019524.5
EA52749	ENSGALG00000027698.3
EA76048	ENSGALG00000011109.5
EA52506	ENSGALG00000015057.5
EA56507	ENSGALG00000008063.6
EA28883	ENSGALG00000002813.5
EA27443	ENSGALG00000043694.1
EA20056	ENSGALG00000016910.5
EA77213	ENSGALG00000030401.2
EA09900	ENSGALG00000012724.5
EA83444	ENSGALG00000041111.2
EA67915	ENSGALG00000032958.1
EA03097	ENSGALG00000005314.3
EA26537	ENSGALG00000010699.5
EA31029	ENSGALG00000007125.7
EA35241	ENSGALG00000029402.2
EA79401	ENSGALG00000011994.4
EA12563	ENSGALG00000002648.5
EA17447	ENSGALG00000000998.6
EA06258	ENSGALG00000015543.4
EA84015	ENSGALG00000005618.5
EA29620	ENSGALG00000041204.1
EA63126	ENSGALG00000002354.6
EA38536	ENSGALG00000014117.3
EA54060	ENSGALG00000031928.1
EA32694	ENSGALG00000009965.4
EA04656	ENSGALG00000004442.5
EA50429	ENSGALG00000008828.6
EA51219	ENSGALG00000010778.5
EA09597	ENSGALG00000003466.6
EA06984	ENSGALG00000006607.6
EA57676	ENSGALG00000008319.5
EA71827	ENSGALG00000014872.2
EA43224	ENSGALG00000036417.1
EA19439	ENSGALG00000028056.2
EA68041	ENSGALG00000038733.1
EA28237	ENSGALG00000034584.2
EA85478	ENSGALG00000030059.1
