NCAPH2	ENSLOCG00000015775
LOC116938703	ENSLOCG00000001937
DCTN3	ENSLOCG00000004522
LTN1	ENSLOCG00000008998
LOC116948889	ENSLOCG00000009559
LOC116939012	ENSLOCG00000007189
SCYL3	ENSLOCG00000001482
LOC116955038	ENSLOCG00000014736
LOC116940607	ENSLOCG00000015133
LOC116942641	ENSLOCG00000009790
LOC116942684	ENSLOCG00000005699
CRYZ	ENSLOCG00000003420
C4H7orf31	ENSLOCG00000011709
MOV10	ENSLOCG00000010292
LYST	ENSLOCG00000015802
LOC116949748	ENSLOCG00000003430
SRSF3	ENSLOCG00000012519
NKX1	ENSLOCG00000010999
LOC116937384	ENSLOCG00000014056
TIPRL	ENSLOCG00000005101
TBPL1	ENSLOCG00000016230
LOC116947514	ENSLOCG00000010297
STK19	ENSLOCG00000008071
LOC116951527	ENSLOCG00000017758
LOC116952819	ENSLOCG00000017083
LOC116951847	ENSLOCG00000004616
TMEM267	ENSLOCG00000012351
PPTC7	ENSLOCG00000007322
LOC116958784	ENSLOCG00000017623
LOC116947902	ENSLOCG00000004874
GAL3ST1	ENSLOCG00000003922
LOC116939217	ENSLOCG00000007638
APPL1	ENSLOCG00000013306
PRPF18	ENSLOCG00000016736
PTPDC1	ENSLOCG00000014058
LOC116950410	ENSLOCG00000006604
KANSL2	ENSLOCG00000003604
PCID2	ENSLOCG00000009805
NAPG	ENSLOCG00000002353
PSMA3	ENSLOCG00000009368
LOC116940694	ENSLOCG00000015087
POLR1E	ENSLOCG00000012859
LOC116942942	ENSLOCG00000012918
LOC116942971	ENSLOCG00000012429
MPP7	ENSLOCG00000007418
LOC116945622	ENSLOCG00000012490
LOC116941489	ENSLOCG00000006076
UNC79	ENSLOCG00000013044
SLC39A13	ENSLOCG00000006236
LOC116942562	ENSLOCG00000012224
MZT1	ENSLOCG00000011295
LOC116953901	ENSLOCG00000011781
PRCC	ENSLOCG00000008014
LOC116940083	ENSLOCG00000016908
NUP37	ENSLOCG00000015176
LOC116943301	ENSLOCG00000011185
NHEJ1	ENSLOCG00000010861
LOC116946583	ENSLOCG00000002028
TEX15	ENSLOCG00000010784
TMEM234	ENSLOCG00000002415
ENKD1	ENSLOCG00000015619
LOC116941559	ENSLOCG00000004361
CIAO2A	ENSLOCG00000014054
PIGO	ENSLOCG00000004414
ARMC8	ENSLOCG00000004183
OCSTAMP	ENSLOCG00000002083
LOC116951858	ENSLOCG00000005039
LOC116944887	ENSLOCG00000007286
LOC116944930	ENSLOCG00000005214
LOC116956906	ENSLOCG00000011271
LOC116958147	ENSLOCG00000007838
UPF1	ENSLOCG00000002072
SNRNP200	ENSLOCG00000015198
LOC116938567	ENSLOCG00000003816
LOC116956148	ENSLOCG00000007690
LOC116942952	ENSLOCG00000013581
PSMD13	ENSLOCG00000002439
PRRT1	ENSLOCG00000000716
SINHCAF	ENSLOCG00000003540
DRC1	ENSLOCG00000016179
SDHC	ENSLOCG00000000345
LOC116948693	ENSLOCG00000013497
LOC116952481	ENSLOCG00000014565
SLC25A29	ENSLOCG00000011616
DGKQ	ENSLOCG00000012108
LSM1	ENSLOCG00000015149
LOC116951417	ENSLOCG00000013791
LOC116947764	ENSLOCG00000001803
GGNBP2	ENSLOCG00000003189
LOC116950203	ENSLOCG00000002314
SUCLG2	ENSLOCG00000010157
LOC116952382	ENSLOCG00000015285
LOC116958051	ENSLOCG00000008908
LOC116941054	ENSLOCG00000011400
LOC116940374	ENSLOCG00000003489
RLBP1	ENSLOCG00000014238
LOC116942811	ENSLOCG00000017738
LOC116957880	ENSLOCG00000013361
LOC116942220	ENSLOCG00000013539
LOC116943310	ENSLOCG00000015918
LOC116954945	ENSLOCG00000014268
PREP	ENSLOCG00000016532
RAD51	ENSLOCG00000012707
LOC116946496	ENSLOCG00000017017
LOC116946622	ENSLOCG00000007702
AHCY	ENSLOCG00000007175
ALG9	ENSLOCG00000001352
LOC116942373	ENSLOCG00000016404
MGST1	ENSLOCG00000016144
LOC116945637	ENSLOCG00000009825
LOC116947780	ENSLOCG00000002130
FOXN3	ENSLOCG00000008977
LOC103091776	ENSLOCG00000000737
ZRANB1	ENSLOCG00000007990
RAB28	ENSLOCG00000009898
ELP4	ENSLOCG00000004617
LOC116947222	ENSLOCG00000014575
ACAD11	ENSLOCG00000011586
ISCA2	ENSLOCG00000010860
BBS2	ENSLOCG00000007883
MGME1	ENSLOCG00000015691
IRF2BP2	ENSLOCG00000015906
PSMA1	ENSLOCG00000003163
LOC116949331	ENSLOCG00000011763
TK2	ENSLOCG00000005122
CBFB	ENSLOCG00000007913
RHO	ENSLOCG00000012404
LOC116953545	ENSLOCG00000015070
PIK3C3	ENSLOCG00000009397
GOLT1B	ENSLOCG00000015390
PWP1	ENSLOCG00000015280
NEK10	ENSLOCG00000006970
LOC116944809	ENSLOCG00000004529
ARHGAP17	ENSLOCG00000013174
RHOT1	ENSLOCG00000013741
GAD1	ENSLOCG00000007840
TRAPPC3	ENSLOCG00000001636
LOC116953197	ENSLOCG00000003859
LOC116953178	ENSLOCG00000005298
ETFB	ENSLOCG00000005340
LOC116948375	ENSLOCG00000011338
LOC116952134	ENSLOCG00000011686
LOC116941913	ENSLOCG00000004977
GBA2	ENSLOCG00000009428
SIRT5	ENSLOCG00000013106
LOC116954038	ENSLOCG00000012164
RS1	ENSLOCG00000007527
TMEM121	ENSLOCG00000017477
LOC116949722	ENSLOCG00000001744
LOC116938598	ENSLOCG00000007299
MRPL58	ENSLOCG00000011474
LOC116956736	ENSLOCG00000014002
LOC116957598	ENSLOCG00000009983
LOC116940971	ENSLOCG00000012737
PTPN12	ENSLOCG00000016000
MRNIP	ENSLOCG00000011470
CCNQ	ENSLOCG00000015536
LOC116949422	ENSLOCG00000014216
LOC116953958	ENSLOCG00000017250
PDF	ENSLOCG00000002834
LOC116948975	ENSLOCG00000012505
TRABD	ENSLOCG00000015501
DCAF5	ENSLOCG00000014066
CLSPN	ENSLOCG00000000631
LOC116948162	ENSLOCG00000002662
NDUFS1	ENSLOCG00000010834
LOC116950605	ENSLOCG00000014685
RPS27A	ENSLOCG00000015551
EAPP	ENSLOCG00000009484
CEL	ENSLOCG00000005785
LOC116940299	ENSLOCG00000011759
LOC116946473	ENSLOCG00000010133
LOC116939181	ENSLOCG00000008261
LOC116949336	ENSLOCG00000010747
LOC116940419	ENSLOCG00000011622
LOC116940451	ENSLOCG00000001832
PRDM6	ENSLOCG00000008663
LOC116947759	ENSLOCG00000006099
LOC116939131	ENSLOCG00000013706
BLVRA	ENSLOCG00000010720
MEMO1	ENSLOCG00000015951
LOC116937212	ENSLOCG00000011468
CHMP1B	ENSLOCG00000014992
DCTN6	ENSLOCG00000013206
MOK	ENSLOCG00000011479
LOC116950193	ENSLOCG00000009200
BRCA2	ENSLOCG00000008205
ASCC2	ENSLOCG00000007474
LOC116946135	ENSLOCG00000006777
COMMD8	ENSLOCG00000011660
SHTN1	ENSLOCG00000009606
FGFR1OP2	ENSLOCG00000015212
MARCKSL1	ENSLOCG00000016978
SNRNP25	ENSLOCG00000007572
TMEM144	ENSLOCG00000008135
XPNPEP1	ENSLOCG00000012012
LOC116945034	ENSLOCG00000009954
LOC116943641	ENSLOCG00000015063
OBI1	ENSLOCG00000004597
KMT5A	ENSLOCG00000005740
LOC116944695	ENSLOCG00000018180
C54H8orf37	ENSLOCG00000008299
LOC116937738	ENSLOCG00000008499
LOC116937793	ENSLOCG00000005499
FBXL3	ENSLOCG00000006132
LOC116940522	ENSLOCG00000009974
MRPL41	ENSLOCG00000017334
ATXN1	ENSLOCG00000004385
LOC116955326	ENSLOCG00000001544
LOC116953221	ENSLOCG00000000715
AIG1	ENSLOCG00000000675
LOC116949737	ENSLOCG00000001625
NANS	ENSLOCG00000011173
LOC116942534	ENSLOCG00000005913
SCOC	ENSLOCG00000010495
LOC116943480	ENSLOCG00000012922
LOC116945085	ENSLOCG00000008815
RPP30	ENSLOCG00000000031
LOC116941416	ENSLOCG00000012649
LOC116946948	ENSLOCG00000017389
LOC116950845	ENSLOCG00000015050
LOC116950781	ENSLOCG00000010671
LOC116955880	ENSLOCG00000013894
LOC116945470	ENSLOCG00000010612
LOC116945510	ENSLOCG00000003841
OTULIN	ENSLOCG00000011294
RAB14	ENSLOCG00000005509
LOC116950308	ENSLOCG00000003727
FSTL1	ENSLOCG00000006981
LOC116947404	ENSLOCG00000016019
LOC116947673	ENSLOCG00000017863
TMEM243	ENSLOCG00000016714
TBC1D25	ENSLOCG00000014341
LOC116949693	ENSLOCG00000006723
MRPL14	ENSLOCG00000015632
ZNHIT6	ENSLOCG00000005376
DGKE	ENSLOCG00000013841
TMCO3	ENSLOCG00000009887
LOC116941015	ENSLOCG00000011317
LOC116958415	ENSLOCG00000001699
LOC116958452	ENSLOCG00000004675
MAP9	ENSLOCG00000008285
LOC116941331	ENSLOCG00000010770
ISM1	ENSLOCG00000015977
DMAC2	ENSLOCG00000014282
POLR2B	ENSLOCG00000011424
LOC116943806	ENSLOCG00000010348
EXOC2	ENSLOCG00000012994
LOC116956280	ENSLOCG00000000659
LOC116956312	ENSLOCG00000009902
LOC116940731	ENSLOCG00000015151
MED8	ENSLOCG00000004404
LOC116941381	ENSLOCG00000000026
AGBL5	ENSLOCG00000016175
GNL3L	ENSLOCG00000014702
LOC116952804	ENSLOCG00000013661
RPL13	ENSLOCG00000004063
LOC116954102	ENSLOCG00000012960
NUP107	ENSLOCG00000016182
LOC116943837	ENSLOCG00000009626
LOC116953645	ENSLOCG00000013474
FAM8A1	ENSLOCG00000002898
LOC116941426	ENSLOCG00000012310
SLC25A51	ENSLOCG00000017922
NSF	ENSLOCG00000012959
TMEM26	ENSLOCG00000006731
CLCC1	ENSLOCG00000007765
NUP155	ENSLOCG00000012677
LOC116958423	ENSLOCG00000002007
LOC116943526	ENSLOCG00000010028
SUPT5H	ENSLOCG00000014703
NDUFA5	ENSLOCG00000015870
LOC116952788	ENSLOCG00000010264
RPL36	ENSLOCG00000003106
LOC116953529	ENSLOCG00000011032
HIKESHI	ENSLOCG00000009599
LOC116946144	ENSLOCG00000011859
LOC116950948	ENSLOCG00000003157
MED9	ENSLOCG00000001878
TTC12	ENSLOCG00000004328
LOC116943599	ENSLOCG00000008434
LOC116943635	ENSLOCG00000001639
ESRP1	ENSLOCG00000008062
LOC116948792	ENSLOCG00000010286
MROH1	ENSLOCG00000007509
LOC116944705	ENSLOCG00000015104
SLC5A9	ENSLOCG00000009664
ORC4	ENSLOCG00000001369
GKAP1	ENSLOCG00000002195
PSMB7	ENSLOCG00000005208
LOC116941550	ENSLOCG00000007222
LOC116941593	ENSLOCG00000007267
MSL3	ENSLOCG00000009931
LOC116943805	ENSLOCG00000007479
LOC116945139	ENSLOCG00000016876
LOC116937598	ENSLOCG00000016934
LOC116947706	ENSLOCG00000016689
LOC116952906	ENSLOCG00000016903
TRAPPC10	ENSLOCG00000003708
LOC116938307	ENSLOCG00000015546
LOC116946280	ENSLOCG00000013830
KIDINS220	ENSLOCG00000016815
LOC116947213	ENSLOCG00000009683
OMA1	ENSLOCG00000008868
GLRX2	ENSLOCG00000007393
LOC116942808	ENSLOCG00000004147
LOC116942836	ENSLOCG00000014152
CFAP410	ENSLOCG00000009819
RTKN	ENSLOCG00000006821
LOC103091760	ENSLOCG00000010846
LOC116957926	ENSLOCG00000016602
GOPC	ENSLOCG00000017146
AFDN	ENSLOCG00000015746
LOC116940909	ENSLOCG00000010267
LOC116940948	ENSLOCG00000008622
CCDC89	ENSLOCG00000008105
LOC116943275	ENSLOCG00000011361
INVS	ENSLOCG00000005427
WNT10A	ENSLOCG00000005361
LOC116953322	ENSLOCG00000003798
LOC116953344	ENSLOCG00000005573
LOC116940323	ENSLOCG00000008565
C1QBP	ENSLOCG00000002779
LOC116953638	ENSLOCG00000001386
LOC116953898	ENSLOCG00000002725
SHCBP1	ENSLOCG00000005539
LOC116945489	ENSLOCG00000000710
CHRNA2	ENSLOCG00000017242
GATA2	ENSLOCG00000014539
TERT	ENSLOCG00000003516
LOC116940554	ENSLOCG00000011652
VWA2	ENSLOCG00000010275
ABT1	ENSLOCG00000014561
LOC116942346	ENSLOCG00000013616
PTGR1	ENSLOCG00000013391
LOC116946148	ENSLOCG00000008549
WDR89	ENSLOCG00000017703
LOC116946109	ENSLOCG00000003663
LOC116950112	ENSLOCG00000015603
CABP7	ENSLOCG00000003661
LOC116952565	ENSLOCG00000013959
GAL	ENSLOCG00000002486
ALG2	ENSLOCG00000005323
NDUFS5	ENSLOCG00000001164
SGSM3	ENSLOCG00000011278
LOC116957170	ENSLOCG00000005170
SLC5A6	ENSLOCG00000015895
LOC116956001	ENSLOCG00000002394
LOC116956345	ENSLOCG00000018231
SSRP1	ENSLOCG00000008342
DCUN1D4	ENSLOCG00000014103
LOC116944606	ENSLOCG00000005660
LOC116946005	ENSLOCG00000007654
LOC116948390	ENSLOCG00000017723
MAP6	ENSLOCG00000004684
LOC116952586	ENSLOCG00000008836
LOC116957509	ENSLOCG00000010040
HSCB	ENSLOCG00000003759
HMGCR	ENSLOCG00000005433
TMEM161B	ENSLOCG00000001873
SNRNP70	ENSLOCG00000018154
LOC116945621	ENSLOCG00000016841
STT3A	ENSLOCG00000002777
LOC116941171	ENSLOCG00000008307
PRDX3	ENSLOCG00000009763
LOC116944066	ENSLOCG00000010003
LOC116941728	ENSLOCG00000011028
LOC116943377	ENSLOCG00000008922
LOC116944245	ENSLOCG00000001884
DDX55	ENSLOCG00000005828
PARPBP	ENSLOCG00000015177
LOC116957126	ENSLOCG00000001769
APBA1	ENSLOCG00000009455
LOC116939609	ENSLOCG00000007869
AK2	ENSLOCG00000001124
SMIM12	ENSLOCG00000018272
LOC116951640	ENSLOCG00000006209
LOC116950819	ENSLOCG00000005808
BAZ2B	ENSLOCG00000006024
LOC116939531	ENSLOCG00000016371
MFAP1	ENSLOCG00000014150
HEATR3	ENSLOCG00000007426
TSEN15	ENSLOCG00000010289
LOC116945014	ENSLOCG00000010470
USH1G	ENSLOCG00000013112
LOC116946154	ENSLOCG00000011614
SYT13	ENSLOCG00000005889
LOC103091794	ENSLOCG00000015412
LOC116953000	ENSLOCG00000003375
LOC116953131	ENSLOCG00000004781
LOC116944402	ENSLOCG00000001825
NPL	ENSLOCG00000010258
LOC116954712	ENSLOCG00000002409
XRCC2	ENSLOCG00000012562
LRRFIP2	ENSLOCG00000004883
LRRC74B	ENSLOCG00000003476
LOC116953339	ENSLOCG00000002785
LOC116957384	ENSLOCG00000007914
DCST1	ENSLOCG00000007858
ACBD6	ENSLOCG00000009237
LOC116956824	ENSLOCG00000006237
LOC116946618	ENSLOCG00000016999
NUDT1	ENSLOCG00000001447
LOC116947226	ENSLOCG00000016354
LOC116947582	ENSLOCG00000016079
GRTP1	ENSLOCG00000009858
RPN1	ENSLOCG00000014543
SHF	ENSLOCG00000014280
FUZ	ENSLOCG00000018125
LOC116957071	ENSLOCG00000002980
LOC116939816	ENSLOCG00000003593
LOC116938641	ENSLOCG00000005337
LOC116938675	ENSLOCG00000005973
UTP20	ENSLOCG00000015197
ZNF839	ENSLOCG00000009783
PEX16	ENSLOCG00000005389
BEGAIN	ENSLOCG00000016719
LOC116939196	ENSLOCG00000014914
MRPS26	ENSLOCG00000002051
MMS19	ENSLOCG00000003810
LOC116938552	ENSLOCG00000005058
EIF4B	ENSLOCG00000005500
FASTKD1	ENSLOCG00000008010
LOC116938609	ENSLOCG00000013359
LOC116952738	ENSLOCG00000015003
BRCC3	ENSLOCG00000013781
PIGA	ENSLOCG00000007789
LOC116939940	ENSLOCG00000010529
DAPP1	ENSLOCG00000011693
LOC116941046	ENSLOCG00000011246
LOC116956130	ENSLOCG00000015018
LOC116952327	ENSLOCG00000014572
ST7	ENSLOCG00000015591
LOC116954451	ENSLOCG00000003742
MYO1D	ENSLOCG00000012936
LOC116949393	ENSLOCG00000004845
LOC116947459	ENSLOCG00000016171
CCDC77	ENSLOCG00000017079
ARCN1	ENSLOCG00000003694
ABHD10	ENSLOCG00000004461
ITFG2	ENSLOCG00000016560
DRAM1	ENSLOCG00000011490
BFSP1	ENSLOCG00000016001
LOC116957048	ENSLOCG00000004046
SLC17A9	ENSLOCG00000005002
LOC116944348	ENSLOCG00000011743
HBS1L	ENSLOCG00000016221
LOC116942672	ENSLOCG00000008267
LOC116944619	ENSLOCG00000017633
CCT2	ENSLOCG00000016196
LOC116945613	ENSLOCG00000009801
BAG5	ENSLOCG00000009928
LOC116942644	ENSLOCG00000007644
NPPC	ENSLOCG00000006971
JAZF1	ENSLOCG00000011888
CD93	ENSLOCG00000017997
AFTPH	ENSLOCG00000016046
LOC116940711	ENSLOCG00000009031
LOC116956749	ENSLOCG00000008590
NUDT13	ENSLOCG00000008532
LOC116938963	ENSLOCG00000007585
LOC116953534	ENSLOCG00000009005
AAGAB	ENSLOCG00000013907
LOC116937994	ENSLOCG00000011155
LOC116947681	ENSLOCG00000017741
CAMKMT	ENSLOCG00000016374
LOC116948926	ENSLOCG00000006922
COQ7	ENSLOCG00000007132
NNT	ENSLOCG00000012282
LOC116958197	ENSLOCG00000002441
LOC116955756	ENSLOCG00000008468
FAXDC2	ENSLOCG00000012471
LOC116957168	ENSLOCG00000001063
LOC116937731	ENSLOCG00000001513
TMCO1	ENSLOCG00000006070
LOC116945012	ENSLOCG00000010265
UBR2	ENSLOCG00000016483
LOC116956807	ENSLOCG00000007688
SMYD5	ENSLOCG00000009281
CFAP206	ENSLOCG00000016926
CRTAC1	ENSLOCG00000008921
AREL1	ENSLOCG00000010734
RPL34	ENSLOCG00000011235
LOC116952258	ENSLOCG00000013843
NPRL3	ENSLOCG00000007714
LOC116946868	ENSLOCG00000005728
LOC116946906	ENSLOCG00000008044
WDR90	ENSLOCG00000003416
PHB2	ENSLOCG00000001389
LOC116951297	ENSLOCG00000016704
MYLIP	ENSLOCG00000008309
LOC116954188	ENSLOCG00000008541
ZYG11B	ENSLOCG00000010546
LOC116954596	ENSLOCG00000010355
LOC116954780	ENSLOCG00000011448
LOC116948576	ENSLOCG00000006890
LOC116950317	ENSLOCG00000007058
TTK	ENSLOCG00000017061
MAP2K5	ENSLOCG00000013923
LOC116940048	ENSLOCG00000017946
LOC116943207	ENSLOCG00000009027
CPSF2	ENSLOCG00000014102
SLC35F5	ENSLOCG00000002955
LOC116941044	ENSLOCG00000018349
PI4K2B	ENSLOCG00000013173
KANSL3	ENSLOCG00000014926
LOC116947207	ENSLOCG00000018000
NENF	ENSLOCG00000016364
LOC116939983	ENSLOCG00000000765
LOC116940015	ENSLOCG00000016125
TMEM41B	ENSLOCG00000003585
LOC116942195	ENSLOCG00000004466
LOC116948102	ENSLOCG00000006246
LOC116946278	ENSLOCG00000006228
LOC116946537	ENSLOCG00000008928
LOC116952718	ENSLOCG00000012720
TGS1	ENSLOCG00000005492
MINDY2	ENSLOCG00000013626
PHYH	ENSLOCG00000015723
LOC116942377	ENSLOCG00000014204
LOC116940754	ENSLOCG00000004772
CCDC112	ENSLOCG00000008955
LOC116937719	ENSLOCG00000012502
RABIF	ENSLOCG00000010143
LOC116956084	ENSLOCG00000009443
TPO	ENSLOCG00000016428
BSX	ENSLOCG00000005483
ILVBL	ENSLOCG00000002885
ZNF330	ENSLOCG00000009067
LOC116949540	ENSLOCG00000001266
LOC116952148	ENSLOCG00000017583
LOC116952226	ENSLOCG00000015327
LOC116958123	ENSLOCG00000005617
LBX2	ENSLOCG00000011648
TMEM259	ENSLOCG00000001828
SLC30A5	ENSLOCG00000010499
NOL6	ENSLOCG00000004991
C52H9orf85	ENSLOCG00000009561
XRN2	ENSLOCG00000016874
LOC116956782	ENSLOCG00000015239
CUTC	ENSLOCG00000012769
LOC116952103	ENSLOCG00000002164
LOC116952500	ENSLOCG00000016770
LOC103091698	ENSLOCG00000010911
NDUFB9	ENSLOCG00000009028
LOC116954999	ENSLOCG00000014265
SLC35F6	ENSLOCG00000016385
LOC116942916	ENSLOCG00000008688
GNE	ENSLOCG00000011146
CPEB1	ENSLOCG00000015009
TTLL10	ENSLOCG00000000400
NEXN	ENSLOCG00000003732
SPHK2	ENSLOCG00000013477
SAP30	ENSLOCG00000012440
ACOT11	ENSLOCG00000003311
SMDT1	ENSLOCG00000011934
PDAP1	ENSLOCG00000004873
FBXL5	ENSLOCG00000009829
LOC116952888	ENSLOCG00000001312
LOC116955977	ENSLOCG00000001307
LOC116940080	ENSLOCG00000004360
LOC116945988	ENSLOCG00000005747
SLC3A1	ENSLOCG00000016381
LOC116941097	ENSLOCG00000007187
GPATCH8	ENSLOCG00000012265
LOC116946998	ENSLOCG00000016311
NDRG3	ENSLOCG00000004216
LOC116957058	ENSLOCG00000006656
XPO7	ENSLOCG00000014884
CHST15	ENSLOCG00000008128
RFT1	ENSLOCG00000014475
NCAPH	ENSLOCG00000015362
HES1	ENSLOCG00000004988
LOC116948121	ENSLOCG00000004963
LOC116948805	ENSLOCG00000008788
PEX26	ENSLOCG00000016568
LOC116938995	ENSLOCG00000001278
POLR2H	ENSLOCG00000008946
LOC116954935	ENSLOCG00000007992
ENOPH1	ENSLOCG00000010725
LOC116951024	ENSLOCG00000015630
LOC116939242	ENSLOCG00000005124
IPO11	ENSLOCG00000007848
ABCG2	ENSLOCG00000011349
VPS26A	ENSLOCG00000009150
LOC116958263	ENSLOCG00000004579
LOC116941362	ENSLOCG00000012799
OAT	ENSLOCG00000008099
NEB	ENSLOCG00000002637
LOC116941350	ENSLOCG00000009457
CRCP	ENSLOCG00000005302
LOC116958439	ENSLOCG00000018138
LOC116950441	ENSLOCG00000002172
LOC116947500	ENSLOCG00000013951
SLC29A3	ENSLOCG00000008830
LOC116939447	ENSLOCG00000016780
LOC116946899	ENSLOCG00000010373
LOC116949382	ENSLOCG00000016159
LOC116937261	ENSLOCG00000012504
GRHPR	ENSLOCG00000012851
LOC116955054	ENSLOCG00000015089
PPP2R5E	ENSLOCG00000016361
LOC116939429	ENSLOCG00000015837
PSMC1	ENSLOCG00000009015
YIPF4	ENSLOCG00000016640
ALDH8A1	ENSLOCG00000016225
SCLY	ENSLOCG00000005534
LOC116944567	ENSLOCG00000002256
LOC116954501	ENSLOCG00000010975
LOC116948615	ENSLOCG00000009523
SSB	ENSLOCG00000007933
CCAR1	ENSLOCG00000009307
TRIP13	ENSLOCG00000008122
RWDD2B	ENSLOCG00000009019
MRPS31	ENSLOCG00000008798
LOC116954695	ENSLOCG00000008347
LZTFL1	ENSLOCG00000012008
LOC116958133	ENSLOCG00000001734
DDX6	ENSLOCG00000000770
LOC116939194	ENSLOCG00000004837
LOC116939229	ENSLOCG00000003892
LOC116940843	ENSLOCG00000011661
SMYD1	ENSLOCG00000001222
LOC116936852	ENSLOCG00000010627
LOC116941303	ENSLOCG00000007799
FNTA	ENSLOCG00000012159
ELP2	ENSLOCG00000007202
TKFC	ENSLOCG00000009511
LOC116953120	ENSLOCG00000005803
DNAJC10	ENSLOCG00000006697
LOC116953109	ENSLOCG00000002168
NUP214	ENSLOCG00000006323
CPLX1	ENSLOCG00000009620
GPAA1	ENSLOCG00000008890
SNX24	ENSLOCG00000008691
USP9X	ENSLOCG00000002227
LOC116955003	ENSLOCG00000004975
LOC116954958	ENSLOCG00000006286
LOC116956060	ENSLOCG00000004650
LOC116940699	ENSLOCG00000012101
LOC116937038	ENSLOCG00000015634
OPTN	ENSLOCG00000014262
ABCC4	ENSLOCG00000004910
LOC116943360	ENSLOCG00000005844
YIPF6	ENSLOCG00000014686
POLR2C	ENSLOCG00000003215
DNAJC12	ENSLOCG00000011266
CASP3	ENSLOCG00000012087
LOC116942887	ENSLOCG00000002588
SOAT1	ENSLOCG00000009767
KARS1	ENSLOCG00000004002
GALR1	ENSLOCG00000008111
CEP76	ENSLOCG00000009631
LOC116954513	ENSLOCG00000005837
LOC116958661	ENSLOCG00000003362
PSMD7	ENSLOCG00000003971
DENND6A	ENSLOCG00000013265
RNF2	ENSLOCG00000001809
C6H1orf131	ENSLOCG00000015768
CNGB1	ENSLOCG00000006113
IFT46	ENSLOCG00000005727
BMPR1B	ENSLOCG00000012942
LOC116950939	ENSLOCG00000011548
DR1	ENSLOCG00000004566
SYNJ1	ENSLOCG00000009230
LOC116945439	ENSLOCG00000017939
ANKS1A	ENSLOCG00000015145
LOC116938464	ENSLOCG00000013305
SNCAIP	ENSLOCG00000008733
ABCD3	ENSLOCG00000008096
CS	ENSLOCG00000004655
UFL1	ENSLOCG00000016960
SPARC	ENSLOCG00000011666
LOC116937566	ENSLOCG00000003035
U2SURP	ENSLOCG00000007828
LOC116956071	ENSLOCG00000001534
TRIAP1	ENSLOCG00000004071
MRPS2	ENSLOCG00000003705
PCGF3	ENSLOCG00000009614
PLPP6	ENSLOCG00000010338
UGDH	ENSLOCG00000011195
ZNF207	ENSLOCG00000013726
TCTE1	ENSLOCG00000016401
CDC42	ENSLOCG00000001073
LDLRAD2	ENSLOCG00000001757
LOC116951296	ENSLOCG00000010384
ENDOD1	ENSLOCG00000001272
PPIL2	ENSLOCG00000001974
PIPOX	ENSLOCG00000004870
RFC2	ENSLOCG00000000891
EIF2S1	ENSLOCG00000014165
HTATSF1	ENSLOCG00000015118
LOC116957482	ENSLOCG00000018368
FBXO22	ENSLOCG00000014728
PDHB	ENSLOCG00000013193
RPL35A	ENSLOCG00000008453
LOC116952450	ENSLOCG00000006754
LOC116936923	ENSLOCG00000003225
FBXO28	ENSLOCG00000016709
DNM1L	ENSLOCG00000000949
YBEY	ENSLOCG00000008907
NOC2L	ENSLOCG00000007227
WDR77	ENSLOCG00000011331
LOC116946831	ENSLOCG00000005056
LOC116958264	ENSLOCG00000001343
ANAPC13	ENSLOCG00000004767
LOC116947590	ENSLOCG00000017900
LOC116940842	ENSLOCG00000007394
LOC116942092	ENSLOCG00000014636
RMDN1	ENSLOCG00000010345
LYRM4	ENSLOCG00000011663
APMAP	ENSLOCG00000016798
LOC116954886	ENSLOCG00000014512
LOC116956577	ENSLOCG00000010842
VBP1	ENSLOCG00000014923
RSPH9	ENSLOCG00000016010
WDR92	ENSLOCG00000016020
RPS26	ENSLOCG00000007743
LOC116945463	ENSLOCG00000003766
UFD1	ENSLOCG00000001849
LOC116957869	ENSLOCG00000002807
LOC116957908	ENSLOCG00000017158
C22H1orf112	ENSLOCG00000001436
CRLF3	ENSLOCG00000013787
LOC116951934	ENSLOCG00000002838
TRIR	ENSLOCG00000007974
BBOF1	ENSLOCG00000010949
LOC116939929	ENSLOCG00000016693
LOC116939969	ENSLOCG00000003559
LOC116941419	ENSLOCG00000012170
LOC116941689	ENSLOCG00000001717
LOC116942553	ENSLOCG00000016497
EPG5	ENSLOCG00000006481
UBR3	ENSLOCG00000007892
LOC116948660	ENSLOCG00000011842
LOC116953996	ENSLOCG00000015379
RPP40	ENSLOCG00000011650
NELFCD	ENSLOCG00000006254
FBXO33	ENSLOCG00000009198
OPA1	ENSLOCG00000005004
TTC24	ENSLOCG00000013591
NINJ1	ENSLOCG00000014087
LOC116937591	ENSLOCG00000007776
COL28A1	ENSLOCG00000008066
PDE10A	ENSLOCG00000016520
SNX14	ENSLOCG00000016917
KAZALD1	ENSLOCG00000011635
LOC116944094	ENSLOCG00000004085
LOC116945593	ENSLOCG00000017067
PRMT1	ENSLOCG00000016846
LOC116944278	ENSLOCG00000000905
C29H1orf115	ENSLOCG00000017234
GEMIN5	ENSLOCG00000012402
DDX1	ENSLOCG00000016473
PA2G4	ENSLOCG00000003714
ACKR4	ENSLOCG00000018321
LOC116942987	ENSLOCG00000012940
LOC116940182	ENSLOCG00000010712
LOC116957230	ENSLOCG00000000288
PBDC1	ENSLOCG00000014881
LOC116941469	ENSLOCG00000015017
LOC116953651	ENSLOCG00000009125
TRAPPC1	ENSLOCG00000013695
