ID	NAME	Eggs_G	Embr_32cells	Embr_8h	Embr_15h	Embr_36h	PreMetam_G	Cirri_b	Epidermis_b	FemGonads_b	Gills_b	Gut_b	Hepatic_b	Hepatic_o	MaleGonads_b	Muscle_b	NeuralTube_b	NeuralTube_o
BL07091	PMS2	30.22	4.83	1.57	0.56	1.17	1.34	1.69	1.06	7.74	1.09	1.64	1.77	1.99	5.83	0.61	1.68	3.12
BL07092	ENSG00000262909	14.97	260.79	82.79	50.56	52.98	46.34	37.13	23.28	37.01	40.45	25.05	20.65	18.98	67.09	26.51	34.85	64.13
BL07093	B3GNTL1	50.55	11.35	0.60	1.32	3.14	1.78	5.75	6.85	12.09	3.43	2.06	2.66	3.44	17.49	3.26	5.59	2.63
BL07094	Hypp4345	18.36	8.45	0.84	2.85	3.21	0.76	8.60	4.94	19.31	4.03	2.76	2.19	4.31	13.63	1.89	2.90	3.42
BL07095	MYO16	1.44	1.01	0.45	0.24	2.44	2.42	8.17	8.54	5.80	2.77	3.41	4.83	6.02	5.48	1.82	2.01	6.07
BL07098	PKD2L1	0.15	0.01	0.27	0.01	0.05	0.57	0.59	0.00	0.22	0.06	0.00	0.00	0.00	0.33	0.01	0.36	0.23
BL07099	PKD1	0.01	0.00	0.12	0.00	0.01	0.38	0.21	0.00	0.11	0.01	0.01	0.02	0.01	0.12	0.00	0.20	0.03
BL07101	C20orf85	6.27	11.12	29.33	323.42	104.90	41.46	16.10	8.55	6.54	72.34	6.09	4.12	1.95	41.03	10.21	29.07	13.49
BL07102	ENSG00000262217	0.12	0.11	0.16	0.21	0.29	2.54	0.15	0.15	0.48	0.02	0.94	0.94	5.00	0.23	2.04	0.23	0.28
BL07106	NPHP3	0.00	0.00	0.00	0.00	0.00	0.20	0.36	0.06	0.00	5.03	0.10	0.06	0.36	0.06	0.36	0.05	0.00
BL07107	MFHAS1	0.01	0.00	0.08	0.01	0.18	3.80	0.62	0.05	0.15	0.46	3.35	2.00	0.67	0.14	0.11	0.11	0.12
BL07108	TMEM56	0.02	0.02	0.17	0.04	0.59	0.19	0.28	0.06	0.04	0.08	0.14	0.11	0.06	0.62	0.05	0.11	0.01
BL07109	UGT1A1	0.04	0.04	2.12	0.99	1.01	0.54	0.49	0.09	0.12	0.28	0.45	1.62	2.53	0.53	0.52	0.16	0.93
BL07110	FAM160A1	0.70	6.36	7.79	5.98	6.17	7.14	7.17	6.52	4.06	1.44	5.02	2.96	6.01	4.06	0.86	1.68	4.95
BL07111	METTL7A	63.45	26.22	4.43	5.98	8.08	6.11	4.16	3.75	4.56	3.33	6.94	9.24	12.13	4.58	2.43	2.60	3.13
BL07114	METTL7B	0.07	0.17	0.99	0.28	0.16	1.96	4.58	6.10	0.68	7.01	12.14	10.82	7.87	2.40	3.76	14.96	3.88
BL07116	OXSM	1.56	6.74	3.21	4.04	4.83	2.64	3.70	2.99	14.19	3.48	2.16	2.05	2.24	14.58	5.35	3.56	3.48
BL07118	Hypp2025	0.11	0.23	0.58	0.12	0.75	11.41	0.30	0.10	0.98	0.06	2.18	1.32	0.14	0.99	0.48	25.74	14.26
BL07119	Hypp11355	2.47	0.17	0.70	0.14	0.28	2.87	16.33	13.75	2.86	1.85	1.53	3.30	2.63	0.31	2.41	4.48	2.81
BL07120	PARG	3.13	10.72	8.96	14.01	19.47	8.01	19.74	16.19	26.99	14.81	13.01	7.36	8.90	21.38	6.11	12.27	13.16
BL07122	HERC4	11.45	41.90	15.19	1.36	35.10	31.87	38.06	39.11	34.60	45.69	12.12	13.41	12.62	77.31	27.19	18.60	25.28
BL07124	PCOLCE2	0.03	0.14	0.53	0.32	0.40	1.88	5.05	0.28	0.19	1.07	0.75	0.62	48.22	1.32	0.34	0.48	0.03
BL07125	IVD	41.94	15.83	11.92	16.16	23.43	26.70	33.70	14.77	18.77	35.76	23.85	20.13	14.08	32.47	35.57	36.30	28.36
BL07126	RPS24	1.23	3.65	67.61	673.37	1831.60	1634.89	1844.00	2007.06	6238.36	1801.33	2637.26	2557.41	2784.60	2928.25	1388.72	1032.84	1426.46
BL07130	Hypp2031	19.91	1.47	1.29	0.46	0.31	5.31	0.40	0.09	15.21	0.48	0.20	0.13	0.54	1.68	1.04	20.37	5.38
BL07131	CYP24A1	0.00	0.00	0.03	0.00	0.01	0.26	16.92	13.25	0.17	6.10	2.16	0.48	2.88	0.38	2.82	1.24	4.88
BL07132	GLIPR2	0.00	0.03	0.26	0.07	0.03	0.00	0.09	0.04	10.49	0.29	0.07	0.04	0.00	3.31	0.94	0.21	0.15
BL07133	DTNBP1	21.58	17.97	10.44	5.38	11.21	6.00	12.95	10.88	13.32	8.39	7.29	8.69	12.28	40.85	14.60	16.58	15.78
BL07136	KLHL9	0.03	0.00	0.10	0.00	0.03	0.99	3.86	0.19	0.44	0.09	0.13	1.21	0.90	0.80	0.00	2.67	1.89
BL07138	LRRC4B	0.00	0.00	0.00	0.00	0.03	0.70	0.38	0.39	0.00	0.19	0.76	0.40	0.36	0.12	0.00	1.22	0.39
BL07139	KLHL24	0.00	0.51	0.79	0.17	0.48	8.65	32.43	0.05	2.78	0.18	0.05	0.17	0.22	5.48	5.50	1.11	0.86
BL07140	Hypp9192	0.03	0.02	0.08	0.26	0.25	0.34	1.78	0.32	0.08	0.11	0.14	0.53	0.76	0.03	8.01	0.72	1.78
BL07141	ENSG00000263031	0.00	0.00	52.84	22.18	40.17	0.00	0.00	0.00	0.00	0.00	14.13	0.00	0.00	87.93	0.00	0.00	0.00
BL07142	DERL2	7.27	31.89	10.90	17.24	23.06	10.82	14.71	6.50	5.71	14.77	12.56	8.74	5.27	7.48	4.42	7.65	7.76
BL07143	Hypp2426	0.03	0.06	0.19	0.23	0.01	0.45	8.38	10.76	0.15	0.04	0.01	0.00	0.02	0.51	0.11	0.09	0.23
BL07144	HMCN1	2.31	0.80	1.09	0.14	1.40	21.62	1.47	0.55	0.31	0.52	0.28	0.25	0.18	0.88	0.12	73.00	28.25
BL07148	MARS	0.03	0.00	0.06	0.01	1.47	0.71	4.14	6.95	2.35	35.99	84.24	5.67	1.53	1.08	0.87	71.36	135.72
BL07150	GRIA1	0.00	0.00	0.01	0.02	0.00	1.42	0.01	0.00	0.14	0.00	0.00	0.00	0.01	0.11	0.00	9.11	1.20
BL07153	AC137834.1	0.00	0.00	0.04	0.02	0.01	0.14	0.79	0.02	0.04	0.00	0.01	0.00	0.00	0.05	0.00	0.05	0.03
BL07157	Hypp14692	0.61	0.08	0.57	0.08	0.13	7.73	0.89	0.03	0.23	49.50	3.25	12.84	6.37	0.43	0.77	0.22	0.73
BL07159	CHRNB3	0.19	0.43	0.14	0.17	0.05	0.85	4.45	0.12	1.61	70.62	9.09	6.40	7.94	11.22	33.31	2.15	1.82
BL07160	POLG	2.32	9.32	0.75	0.69	2.96	0.91	3.16	4.90	10.86	1.82	1.42	1.23	1.56	7.87	2.32	2.45	2.95
BL07163	Hypp1776	0.04	0.04	1.60	0.86	0.92	1.41	5.56	2.83	1.98	1.70	1.63	2.98	3.12	1.31	1.43	6.93	5.17
BL07164	VLDLR	0.05	0.99	0.49	0.12	2.87	4.86	3.50	0.14	0.31	1.22	0.01	0.02	0.08	0.58	2.53	1.13	1.99
BL07165	TMEM195	0.83	0.00	1.50	0.17	0.32	7.13	8.60	1.45	1.90	12.85	5.01	9.47	16.25	18.83	0.65	6.17	6.16
BL07167	ADAMTS15	0.00	0.00	0.01	0.00	0.34	2.61	0.00	0.00	0.05	0.07	2.01	0.32	1.18	0.06	0.00	0.00	0.04
BL07170	RPP40	0.75	4.29	0.96	1.44	7.65	2.62	8.32	9.22	32.16	8.05	5.53	6.33	5.76	42.16	5.94	10.03	8.27
BL07171	PTPLAD1	5.29	5.63	2.45	5.21	5.73	7.24	7.73	7.29	3.51	3.85	4.55	2.11	1.65	2.01	6.34	13.46	5.49
BL07172	VIM	0.00	0.11	34.35	75.06	60.20	2.00	179.17	2.87	1.07	21.70	1.57	1.19	6.02	1.82	23.18	0.19	1.92
BL07173	TYMS	5.95	11.34	2.63	5.75	13.52	4.29	8.82	6.05	14.78	6.55	1.75	2.13	5.15	12.09	2.79	3.25	2.54
BL07174	KIAA1161	0.01	0.00	0.08	0.08	0.25	5.21	0.24	0.09	0.26	4.83	32.80	40.46	38.02	1.16	3.71	0.08	0.41
BL07175	NR2F1	0.00	0.02	0.33	0.13	0.11	29.17	47.54	62.81	5.69	65.68	4.84	17.65	40.51	5.56	28.54	46.98	76.31
BL07177	ENSG00000268171	0.00	0.34	0.00	0.97	0.13	0.73	1.57	2.86	0.58	0.16	0.68	0.27	0.70	5.17	1.94	2.78	3.19
BL07178	HIST4H4	0.04	0.02	0.36	0.13	0.71	0.21	3.68	0.00	0.00	0.08	0.37	0.68	0.66	0.23	0.37	0.27	0.16
BL07180	LMF1	0.04	13.20	8.40	0.87	4.22	2.75	15.27	19.86	9.15	6.96	2.41	1.99	2.24	19.71	7.41	8.37	11.30
BL07181	Hypp10912	0.03	0.02	8.78	3.74	7.27	1.56	4.56	5.19	0.16	0.34	0.20	0.11	0.15	0.11	0.37	0.06	0.31
BL07184	SGSH	10.94	21.98	2.75	2.00	6.16	16.80	16.39	9.85	9.36	18.63	15.01	16.71	12.94	15.72	10.09	10.33	11.80
BL07185	Hypp3129	0.20	6.38	2.27	0.19	0.11	2.05	18.50	0.52	49.92	67.50	2.27	1.09	3.78	6.30	20.31	1.20	1.58
BL07186	KLHL17	0.76	4.31	0.43	0.71	1.04	0.85	1.16	0.49	1.61	0.42	0.09	0.45	0.37	5.00	0.27	2.37	4.73
BL07187	TXNRD1	1.52	27.50	17.17	6.84	88.61	49.66	16.82	25.53	31.73	30.69	364.58	64.51	26.50	12.03	13.26	19.40	27.01
BL07191	ANK2	0.03	0.03	0.08	0.07	1.48	2.49	0.32	0.02	1.02	0.09	0.05	0.07	0.03	1.84	0.79	0.64	0.21
BL07192	ENSG00000262552	0.02	0.05	0.04	0.04	0.18	0.24	56.63	181.15	0.15	5.14	0.14	0.06	0.13	0.52	2.79	2.62	2.68
BL07193	RPUSD1	14.31	7.42	2.82	0.55	4.40	2.43	7.20	8.82	16.85	6.08	4.83	3.02	3.06	4.29	2.69	3.40	3.89
BL07194	NAT1	0.01	1.82	0.34	0.52	0.62	1.35	2.83	1.94	0.59	2.37	2.89	1.53	0.76	3.95	1.25	1.33	1.89
BL07195	CYP24A1	0.00	0.00	5.02	0.15	0.83	1.87	29.49	36.59	0.94	36.28	0.71	1.30	0.99	1.32	10.14	9.00	16.11
BL07196	Hypp6109	13.92	3.16	1.36	1.93	4.02	3.46	2.95	1.51	0.71	19.56	3.08	7.74	4.23	0.95	4.20	2.70	3.96
BL07197	Hypp6107	2.73	49.65	22.23	14.23	11.13	7.82	6.02	5.85	18.86	9.73	9.18	6.44	4.54	34.15	3.95	5.07	6.86
BL07198	Hypp6106	3.38	2.46	0.71	0.28	1.37	4.49	1.34	0.16	0.84	1.01	0.82	0.68	1.58	1.31	0.34	1.75	3.44
BL07199	CECR1	75.58	6.16	4.35	4.98	5.48	14.02	23.41	23.44	4.06	10.05	23.22	41.67	44.73	5.27	34.16	23.72	14.70
BL07200	Hypp6108	83.54	63.74	45.88	0.38	15.15	23.24	5.24	5.26	23.86	14.22	173.33	751.53	1056.10	3.94	15.34	1.25	9.26
BL07201	RFFL	6.27	44.42	5.05	14.25	28.40	20.21	15.51	7.52	5.61	35.79	21.89	25.00	30.07	54.65	11.30	9.62	18.67
BL07202	AFAP1	5.82	3.86	2.12	21.21	15.45	12.95	38.07	21.89	1.45	14.26	26.05	15.72	11.39	2.28	6.14	4.06	10.51
BL07204	ALG14	95.35	20.00	4.99	1.36	2.97	3.62	7.34	7.06	8.43	4.27	3.93	5.48	12.38	13.19	7.79	6.44	5.39
BL07206	DMAP1	10.32	67.44	59.22	48.62	28.63	22.96	33.74	44.70	30.76	33.02	32.37	16.17	12.79	39.28	24.00	37.45	30.15
BL07207	Hypp13869	0.07	4.36	85.57	27.82	6.88	0.06	0.03	0.00	0.08	0.04	0.00	0.06	0.00	0.10	0.03	0.00	0.00
BL07209	SLC44A1	41.68	51.60	45.70	44.86	10.92	15.20	25.17	11.72	6.48	16.25	2.78	3.12	4.47	9.12	18.48	56.21	39.06
BL07211	C9orf46	1.25	14.15	21.10	1.02	7.16	12.85	39.60	90.37	10.33	14.23	35.13	22.02	44.29	13.07	23.30	9.29	9.65
BL07217	Hypp468	0.18	8.26	1.80	2.23	6.59	9.93	20.73	21.93	6.36	12.82	3.00	5.25	6.16	14.69	10.38	19.43	19.98
BL07218	ANGPTL7	0.11	0.06	0.06	0.07	0.01	1.02	2.07	0.14	0.14	33.48	0.76	0.42	0.54	0.73	2.33	0.65	1.97
BL07219	GDI1	11.42	127.70	75.56	54.88	145.40	107.31	132.44	185.75	155.23	82.32	147.67	137.22	88.71	42.00	66.90	306.69	130.60
BL07220	MKLN1	29.01	104.12	42.96	18.51	19.91	11.57	20.44	21.05	22.06	18.33	14.10	10.10	8.57	23.75	19.86	32.38	50.17
BL07221	BCL10	0.81	125.23	83.38	74.35	32.17	22.06	15.04	17.27	150.92	14.42	72.28	35.04	12.83	28.61	27.97	22.10	23.94
BL07222	ENSG00000269257	202.47	143.00	56.40	47.96	32.44	16.71	18.77	20.39	66.74	28.22	19.38	15.63	14.37	40.05	12.63	15.20	10.89
BL07223	C3orf64	7.02	6.32	9.63	3.26	4.95	4.37	9.76	3.87	3.61	8.27	3.18	7.20	10.47	4.80	4.90	11.31	11.30
BL07224	TIMM17A	153.91	71.81	65.33	50.53	39.13	58.90	19.04	20.07	42.00	22.75	81.74	32.54	19.47	31.70	23.73	35.75	35.50
BL07225	CFC1	136.50	23.15	17.40	20.36	33.43	0.08	2.26	0.06	105.61	0.09	0.03	0.03	0.01	1.34	7.56	0.27	0.66
BL07227	C5orf33	0.50	0.33	0.34	0.92	2.06	2.07	1.74	1.01	2.51	5.51	1.90	1.98	2.16	5.63	0.64	2.52	3.70
BL07229	B4GALT7	6.34	5.40	1.45	6.28	14.91	9.25	12.04	10.15	20.94	13.80	8.66	5.85	10.82	9.78	6.73	14.96	12.06
BL07231	INPP5F	8.22	21.75	2.28	2.74	10.11	5.22	19.58	11.73	7.91	9.04	5.44	4.22	7.86	12.94	15.56	8.76	11.07
BL07232	KIAA1632	1.09	5.40	3.34	1.71	4.59	2.61	7.19	4.87	1.83	3.32	3.19	2.67	7.07	4.82	1.65	3.91	6.49
BL07233	TMEM45B	0.63	0.06	0.15	0.33	4.80	1.44	3.20	6.96	1.02	0.23	0.16	0.12	0.24	0.80	0.31	0.01	0.37
BL07234	COG8	3.78	6.22	3.50	14.75	13.48	8.34	14.22	17.30	11.91	12.17	11.46	4.61	5.75	9.16	6.78	9.05	7.56
BL07235	Hypp8155	1.01	0.20	3.12	3.90	1.08	5.85	6.15	1.94	0.86	1.64	3.29	5.11	10.42	2.84	1.05	3.73	1.14
BL07238	STK11IP	2.57	17.10	10.83	8.72	10.32	14.80	18.53	16.89	10.67	9.53	20.69	19.79	16.21	38.14	9.67	16.99	16.24
BL07239	C9orf3	0.86	0.56	0.00	0.35	0.85	2.63	2.84	1.50	7.11	0.66	0.90	1.64	1.40	5.71	1.15	2.68	1.17
BL07240	FYCO1	14.97	4.76	3.74	8.08	11.21	4.33	4.90	2.94	8.30	4.33	9.65	3.18	8.59	4.14	7.48	11.45	27.18
BL07241	Hypp12860	0.67	2.50	1.54	22.79	12.98	20.05	37.16	16.92	3.28	75.17	3.33	6.44	5.21	96.04	7.84	1.54	3.08
BL07242	HSD11B1	0.24	1.24	2.00	1.80	5.16	5.53	4.82	7.94	12.46	1.67	6.61	7.36	30.19	5.19	2.99	16.31	10.78
BL07243	MCM6	0.97	103.06	15.81	42.16	56.91	8.44	9.51	11.26	59.90	10.73	3.39	6.78	5.42	60.26	6.59	3.25	2.39
BL07244	TUT1	7.86	15.30	1.89	4.34	7.23	2.47	3.38	6.87	18.74	15.07	6.36	5.08	3.57	14.83	9.95	7.81	10.58
BL07245	ATF2	8.55	37.08	16.79	16.81	39.13	46.40	25.69	31.44	16.32	44.03	35.70	22.80	13.95	24.71	11.07	24.39	18.16
BL07248	ENSG00000263687	0.60	1.80	20.56	30.36	27.64	54.78	25.39	25.29	3.62	26.70	30.60	23.59	14.65	32.10	39.46	33.93	21.43
BL07249	TEX264	28.03	15.14	7.12	3.53	10.02	5.15	20.83	13.75	6.30	14.81	9.29	11.15	19.10	19.46	3.92	13.86	8.28
BL07250	ATRIP	1.71	19.84	3.67	2.32	8.35	1.91	3.86	2.02	7.01	3.72	3.59	1.87	2.91	9.14	1.85	1.98	2.75
BL07252	TUBGCP6	3.84	11.04	5.51	4.07	7.32	2.76	4.49	4.73	4.50	9.36	3.20	1.54	1.94	7.45	3.12	8.04	7.02
BL07253	NCKIPSD	0.43	1.27	3.21	3.59	7.51	3.27	10.09	13.59	12.98	9.60	3.12	3.00	3.63	15.56	6.41	10.69	6.02
BL07255	GRM3	0.26	0.38	0.57	0.00	0.04	0.12	0.02	1.43	17.05	0.00	0.02	0.00	0.00	0.27	0.18	0.07	0.16
BL07256	TRHR	0.04	0.01	0.03	0.01	0.00	1.63	0.00	0.01	0.01	0.00	1.55	1.28	1.86	0.15	0.51	0.61	0.06
BL07258	Hypp108	0.00	0.61	0.33	0.30	0.00	7.16	0.39	0.08	0.07	0.36	1.48	0.13	2.22	2.45	1.83	0.20	1.88
BL07259	PTCHD1	0.50	0.38	1.16	0.18	0.59	0.48	0.83	0.72	0.59	0.79	0.49	0.56	0.56	0.66	0.65	0.80	1.09
BL07260	HLF	0.12	5.02	132.16	178.02	58.86	84.94	33.91	73.09	10.20	97.77	21.63	11.43	29.45	63.84	12.19	18.89	16.72
BL07261	Hypp15391	0.00	0.00	3.59	0.00	0.00	0.42	5.77	1.58	0.00	7.40	4.93	7.46	2.28	1.33	0.46	0.00	1.73
BL07263	KCNK10	0.00	0.00	0.01	0.06	0.03	0.25	0.17	1.36	0.06	0.00	0.00	0.02	0.01	0.11	0.00	0.10	0.00
BL07264	Hypp15419	0.00	0.03	0.83	0.00	0.05	2.13	2.16	0.00	0.48	37.79	0.86	0.55	1.11	1.59	2.03	17.97	4.27
BL07265	C20orf54	1.40	7.62	5.76	5.54	25.24	20.85	2.01	1.94	3.29	8.34	28.18	5.62	1.41	15.11	0.84	1.67	1.92
BL07267	SSTR2	0.00	0.02	0.33	0.00	0.06	0.90	0.02	0.00	0.11	0.05	0.01	0.00	0.00	1.30	0.17	4.00	1.48
BL07268	BRD7	14.72	35.34	39.07	33.99	31.55	13.27	17.01	30.23	27.27	16.26	19.38	12.05	7.36	18.77	13.82	14.18	12.93
BL07269	CYBA	29.44	40.70	37.56	11.97	22.98	46.84	36.79	15.80	6.99	36.51	64.29	21.54	7.46	8.06	18.73	18.99	24.07
BL07271	ZFP64	8.23	12.48	4.46	1.74	3.00	2.15	3.50	2.70	6.20	2.43	2.28	1.25	1.80	7.96	1.69	1.95	1.45
BL07272	HMCN1	0.64	0.38	1.20	0.51	1.17	1.12	1.98	2.01	0.34	1.18	0.50	0.34	0.31	1.07	0.65	0.70	1.15
BL07273	SLC22A3	0.04	0.00	0.93	0.36	0.21	0.96	0.16	0.06	0.05	0.00	0.02	0.05	0.20	0.20	0.14	0.10	0.13
BL07276	NUDT1	2.39	14.14	32.90	1.34	4.74	1.41	1.87	4.19	7.95	1.26	7.61	5.10	2.73	6.98	0.75	1.90	1.41
BL07277	Hypp13061	0.04	0.00	0.04	0.00	0.00	30.74	0.00	0.04	0.04	0.10	0.03	0.00	0.01	0.13	0.00	59.56	2.29
BL07278	PEPD	3.42	1.76	0.69	1.73	2.22	8.02	7.91	4.97	5.43	3.35	10.50	20.90	29.60	7.91	7.61	8.11	9.82
BL07283	Hypp2224	0.15	0.03	0.99	0.33	0.81	16.79	0.55	0.06	0.45	6.70	33.14	2.11	1.75	0.26	14.19	5.70	1.74
BL07284	RERG	0.04	0.06	0.11	0.04	0.65	3.83	2.07	0.05	0.32	7.07	1.31	0.36	1.16	17.48	3.31	2.37	2.15
BL07285	ENSG00000261155	0.00	0.03	0.04	0.01	2.43	1.28	5.60	4.36	1.23	2.35	0.06	0.05	0.03	1.47	7.76	0.29	0.47
BL07286	Hypp2222	0.00	0.00	0.03	0.03	0.67	4.26	3.82	0.03	1.68	39.33	190.26	13.12	2.51	0.37	16.53	0.97	0.80
BL07288	Hypp2212	0.19	0.14	0.18	0.47	0.38	1.20	1.03	0.28	24.02	0.35	1.23	82.92	151.95	3.67	1.71	2.90	1.59
BL07290	IKBKAP	6.96	8.19	1.79	2.23	5.92	7.23	12.35	3.32	33.71	11.09	8.09	6.74	7.47	13.07	2.79	7.74	7.85
BL07291	ADORA2B	0.00	0.00	0.05	0.04	0.05	1.64	0.34	0.00	0.08	0.04	0.03	0.00	0.01	0.25	0.01	0.01	0.12
BL07292	ZNF484	0.61	2.92	1.38	2.81	5.51	3.94	9.34	5.76	8.27	6.71	1.94	2.42	4.12	10.27	2.84	7.13	5.26
BL07297	Hypp3245	0.01	0.00	0.00	0.03	0.05	0.08	0.00	0.32	0.00	0.09	2.78	22.12	0.02	0.38	0.04	0.08	0.19
BL07298	NXN	0.15	0.24	0.52	1.59	0.38	0.55	14.80	11.39	0.35	0.66	0.35	0.07	0.11	0.33	0.18	0.30	0.55
BL07299	ABCB9	0.88	2.01	1.28	0.66	1.20	0.24	9.81	0.49	5.96	0.50	0.36	0.19	0.03	1.91	1.19	0.19	0.25
BL07302	Hypp3237	0.07	0.01	2.48	1.75	0.84	1.06	5.14	5.32	1.99	4.04	1.10	1.40	0.55	0.24	1.57	3.50	4.61
BL07304	LIPA	1.17	2.65	2.23	0.57	0.98	15.13	13.45	9.48	4.10	19.82	9.28	21.57	33.60	16.64	12.76	4.48	17.44
BL07305	LRRC4B	0.00	0.00	0.00	0.00	0.00	2.06	0.02	0.00	0.03	0.00	0.00	0.00	0.00	0.01	0.00	3.56	0.65
BL07306	UBE2M	2.21	135.87	28.58	10.40	14.14	13.85	6.43	7.48	76.39	7.62	27.18	8.88	2.41	160.83	21.84	4.34	4.79
BL07308	TOR1B	0.21	0.22	1.39	0.30	1.49	0.43	1.31	1.12	2.44	0.76	1.29	0.59	0.44	2.46	1.33	0.77	1.16
BL07309	SLIT3	0.01	0.00	0.13	0.02	0.01	0.07	0.09	0.00	0.12	0.02	0.01	0.04	0.04	0.49	0.00	0.00	0.22
BL07310	AKNA	1.69	14.40	12.98	16.98	10.22	4.12	10.68	10.95	3.25	9.56	5.38	3.43	3.90	9.53	3.20	6.05	11.12
BL07312	PIGK	0.88	19.37	22.09	4.33	9.66	5.51	12.51	14.93	12.69	8.54	3.48	6.16	7.76	6.66	8.38	10.70	8.37
BL07314	Hypp13989	2.53	1.94	1.20	2.14	5.49	6.86	7.48	10.74	2.84	4.27	1.12	2.48	2.30	3.84	12.42	18.28	8.75
BL07315	SRD5A1	85.16	49.11	15.25	0.93	2.41	4.73	2.37	2.65	3.08	3.24	2.27	1.85	2.93	4.38	1.84	1.70	1.15
BL07317	EML1	4.05	2.46	2.02	8.55	13.02	17.33	66.22	55.08	24.45	31.68	11.64	7.56	9.70	16.36	35.43	121.02	48.84
BL07318	UBR7	0.44	4.27	7.16	11.37	4.96	5.54	9.06	7.49	43.64	7.17	6.29	4.51	7.12	31.67	5.71	7.18	12.12
BL07319	DHRS7	0.45	1.79	0.97	0.55	0.90	0.63	6.62	6.06	1.94	7.72	4.48	3.98	8.01	6.37	0.79	1.02	0.17
BL07320	AADAC	0.00	0.01	4.65	3.61	2.43	4.10	10.96	2.29	0.13	0.45	0.13	0.34	0.14	0.41	1.40	0.24	0.48
BL07321	SLC16A12	0.00	0.00	0.61	0.01	0.14	0.04	0.51	0.02	0.14	10.65	0.02	0.00	0.00	1.96	0.00	0.00	0.00
BL07323	AADAC	0.55	0.58	0.85	2.72	2.69	1.95	4.99	3.15	2.56	2.73	2.12	2.09	2.34	2.94	1.87	7.74	4.79
BL07324	BIRC3	1.82	3.41	8.16	2.42	6.59	10.87	18.12	76.66	0.02	0.03	48.01	40.62	3.29	0.03	19.67	25.20	23.53
BL07327	ENSG00000261899	0.02	0.00	0.37	0.12	0.05	0.25	0.34	0.23	0.39	259.88	0.54	0.15	1.66	7.47	8.39	1.20	2.58
BL07328	PGBD5	0.08	0.72	0.29	0.03	0.15	3.37	1.26	1.19	5.41	25.93	1.15	0.65	1.76	2.72	0.62	3.16	2.17
BL07329	ITPKB	0.63	26.21	28.72	39.24	22.07	58.39	25.74	22.73	13.40	23.13	42.59	20.82	15.48	23.90	8.81	17.16	13.09
BL07331	GALNTL1	18.32	15.77	5.98	10.50	8.75	12.56	8.00	0.90	1.99	17.21	31.68	3.06	8.70	1.85	3.80	26.60	9.48
BL07333	TOMM20	51.79	62.47	60.88	37.26	47.93	22.22	13.31	23.45	28.62	14.90	41.43	14.60	7.21	22.17	20.16	24.18	19.94
BL07334	ENSG00000267829	5.81	4.07	25.72	5.54	8.54	7.49	9.07	6.01	5.52	15.85	9.23	11.82	8.39	10.87	4.98	8.27	9.17
BL07335	DNAH17	0.51	2.40	0.80	5.02	7.13	8.39	1.46	0.64	2.22	9.21	4.76	2.00	2.46	9.57	0.61	0.41	0.98
BL07336	P4HA1	11.51	33.19	30.52	58.10	62.38	48.58	106.91	74.00	12.75	60.13	37.90	10.46	6.44	39.32	49.33	65.15	15.60
BL07338	EFCAB6	0.00	0.07	4.24	67.52	24.93	22.18	1.28	0.01	0.15	25.50	8.80	7.45	4.10	0.78	2.09	0.13	0.73
BL07339	ETF1	119.57	119.37	83.77	100.16	101.63	103.54	38.51	40.44	140.09	52.82	168.26	70.12	16.69	103.67	52.92	49.89	40.25
BL07340	RRH	0.03	0.07	0.05	0.28	0.39	0.98	0.25	0.06	0.90	0.03	0.03	0.05	0.02	0.20	0.04	2.17	1.01
BL07341	TFAM	58.38	31.55	130.82	6.97	9.42	2.91	6.29	4.14	17.96	4.54	1.13	2.06	5.50	11.21	4.75	4.82	3.71
BL07343	IMMT	42.15	28.47	12.28	31.70	46.30	45.56	54.08	62.18	44.72	48.92	37.65	27.96	24.02	56.19	62.18	38.58	43.84
BL07344	NPFFR2	0.00	0.00	0.01	0.00	0.00	4.19	0.02	0.00	0.29	0.00	0.01	0.00	0.01	0.26	0.00	4.12	0.86
BL07345	WDR12	0.12	4.70	6.15	12.39	7.53	5.24	1.44	1.29	37.33	2.04	8.71	6.50	2.77	8.22	1.25	2.39	1.27
BL07346	BICC1	22.50	30.75	8.02	28.33	36.95	23.87	122.42	36.89	23.95	75.25	37.86	22.99	36.28	29.37	20.71	23.94	62.42
BL07347	GAL3ST1	0.02	0.14	0.22	0.90	2.54	4.45	5.51	0.23	0.59	16.73	4.59	4.31	2.72	2.21	1.64	0.17	0.99
BL07348	AUP1	2.08	39.67	35.20	8.68	11.16	4.17	11.98	6.70	9.80	17.40	9.45	7.27	5.32	15.95	7.81	8.86	9.77
BL07349	DTX3L	15.32	22.70	3.26	3.43	1.72	23.04	28.19	42.50	7.63	26.34	5.54	10.85	8.79	15.85	13.33	9.79	17.98
BL07350	BMP2	2.59	0.59	0.47	0.16	0.02	0.19	0.30	0.25	1.66	0.22	0.41	0.24	0.37	1.33	0.29	0.74	0.73
BL07352	Hypp304	0.11	0.25	2.65	1.32	2.45	2.33	1.31	2.88	0.51	2.92	0.90	0.81	1.24	2.31	2.73	17.22	13.59
BL07355	MNAT1	0.58	9.88	5.67	10.22	12.44	5.06	11.27	8.13	55.02	17.03	9.11	4.14	5.48	36.38	12.09	13.10	19.03
