FID	NbGenes	NbSpecies	NbDesc	Strata	Losses	Panther Name
PTHR43272:SF75	30	16	19	Chordata	Amical,Mammalia	Not found
PTHR33689:SF1	23	21	23	Deuterostomia	Amical,Danrer	Fas-binding factor 1
PTHR33689	23	21	23	Deuterostomia	Amical,Danrer	Family not named
PTHR24038	19	10	23	Deuterostomia	Strpur,Braflo,Gnathostomata	Family not named
PTHR21646:SF19	18	17	23	Deuterostomia	Hemichordata,Brabel,Braflo,Letrei,Amical	Ubiquitin carboxyl-terminal hydrolase 3
PTHR19441:SF82	55	18	23	Deuterostomia	Brabel,Bralan,Calmil,Amical,Galgal	Not found
PTHR13325:SF3	19	18	23	Deuterostomia	Hemichordata,Amical,Latcha,Homsap	Membrane-bound transcription factor site-2 protease
PTHR13325	20	19	23	Deuterostomia	Hemichordata,Amical,Latcha	Protease m50 membrane-bound transcription factor site 2 protease
PTHR11956:SF11	22	20	23	Deuterostomia	Letrei,Amical,Latcha	Not found
PTHR24213:SF18	21	15	23	Deuterostomia	Echinodermata,Sackow,Cephalochordata,Letrei,Amical	Actin-binding lim protein 1
PTHR11388:SF86	24	16	23	Deuterostomia	Echinodermata,Sackow,Cephalochordata,Amical	Solute carrier organic anion transporter family member 3a1
PTHR23236:SF42	10	8	16	Vertebrata	Chondrichthyes,Holostei,Tetrapoda	Not found
PTHR46925:SF1	23	15	16	Vertebrata	Amical	Neuromedin-k receptor
PTHR10005	5	5	19	Chordata	Brabel,Letrei,Petmar,Gnathostomata	Ski oncogene-related
PTHR24390:SF73	180	22	23	Deuterostomia	Amical	Zinc finger protein 660
PTHR46861	32	15	23	Deuterostomia	Strpur,Ptyfla,Cephalochordata,Letrei,Calmil,Amical	Family not named
PTHR46861:SF1	32	15	23	Deuterostomia	Strpur,Ptyfla,Cephalochordata,Letrei,Calmil,Amical	Tumor necrosis factor receptor superfamily member 1a
PTHR23167:SF18	33	21	23	Deuterostomia	Ptyfla,Amical	Cytospin-a-related
PTHR11360:SF26	12	10	16	Vertebrata	Hyperoartia,Amical,Orylat,Xentro	Monocarboxylate transporter 3
PTHR15439:SF0	109	22	23	Deuterostomia	Amical	E3 ubiquitin-protein ligase rbbp6
PTHR45928	17	13	23	Deuterostomia	Letrei,Osteichthyes	Family not named
PTHR23064:SF42	9	7	16	Vertebrata	Letrei,Petmar,Chipun,Amical,Sarcopterygia	Subfamily not named
PTHR24098	29	21	23	Deuterostomia	Letrei,Amical	Family not named
PTHR12220:SF13	24	21	23	Deuterostomia	Letjap,Amical	39s ribosomal protein l16, mitochondrial
PTHR23320:SF94	10	6	23	Deuterostomia	Echinodermata,Ptyfla,Cephalochordata,Letrei,Petmar,Parata,Chondrichthyes,Holostei,Danrer,Amniotes	Subfamily not named
PTHR17469:SF11	18	14	16	Vertebrata	Parata,Amical	Sperm-specific antigen 2
PTHR11482:SF57	3	3	16	Vertebrata	Hyperoartia,Parata,Chondrichthyes,Actinopterygii,Latcha,Galgal,Homsap	Gene model 853, (ncbi)
PTHR24356:SF171	17	11	16	Vertebrata	Calmil,Amical,Euteleostei,Xentro	Rac-alpha serine/threonine-protein kinase
PTHR22974:SF21	26	22	23	Deuterostomia	Amical	Dual specificity protein kinase ttk
PTHR11211	16	7	23	Deuterostomia	Echinodermata,Ptyfla,Cephalochordata,Calmil,Osteichthyes	Iroquois-class homeodomain protein irx
PTHR35451	4	4	16	Vertebrata	Hyperoartia,Osteichthyes	Family not named
PTHR46065	55	21	23	Deuterostomia	Letrei,Amical	Family not named
PTHR11730:SF30	21	12	16	Vertebrata	Actinopterygii	Ammonium transporter rh type c
PTHR10316:SF27	22	14	16	Vertebrata	Letrei,Amical	Membrane-associated guanylate kinase, ww and pdz domain-containing protein 2
PTHR15124:SF15	21	14	23	Deuterostomia	Strpur,Hemichordata,Brabel,Braflo,Letrei,Chipun,Holostei	Migration and invasion enhancer 1
PTHR14791:SF22	14	14	23	Deuterostomia	Strpur,Hemichordata,Hyperoartia,Parata,Amical,Orylat	Protein kibra
PTHR18957	31	21	23	Deuterostomia	Letrei,Amical	Family not named
PTHR18957:SF0	31	21	23	Deuterostomia	Letrei,Amical	Centlein
PTHR11675:SF50	32	9	16	Vertebrata	Chondrichthyes,Amical,Latcha,Xentro,Galgal,Musmus	Polypeptide n-acetylgalactosaminyltransferase 8-related
PTHR11579:SF19	32	20	23	Deuterostomia	Amical,Mammalia	Protein-l-isoaspartate o-methyltransferase
PTHR12631:SF8	26	21	23	Deuterostomia	Letrei,Amical	Alpha-l-iduronidase
PTHR19282:SF25	15	10	16	Vertebrata	Chondrichthyes,Amical,Orylat,Xentro,Galgal	Uroplakin-1a
PTHR47574:SF1	4	2	5	Cyclostomata	Leth,Parata	Subfamily not named
PTHR11496:SF83	26	21	23	Deuterostomia	Letrei,Amical	Hydroxyacid-oxoacid transhydrogenase, mitochondrial
PTHR10290:SF5	20	16	19	Chordata	Brabel,Braflo,Amical	Dna topoisomerase 1
PTHR18063:SF8	21	19	23	Deuterostomia	Hemichordata,Letrei,Amical	Ubiquitin carboxyl-terminal hydrolase mindy-2
PTHR45652:SF4	9	8	16	Vertebrata	Hyperoartia,Amical,Tetrapoda	Si:dkey-33c12.3
PTHR40386	10	10	23	Deuterostomia	Echinodermata,Ptyfla,Brabel,Bralan,Letrei,Petmar,Calmil,Holostei,Orylat,Latcha,Galgal	Family not named
PTHR40386:SF1	10	10	23	Deuterostomia	Echinodermata,Ptyfla,Brabel,Bralan,Letrei,Petmar,Calmil,Holostei,Orylat,Latcha,Galgal	Long intergenic non-protein coding rna 493
PTHR13768:SF2	29	22	23	Deuterostomia	Amical	Gamma-soluble nsf attachment protein
PTHR23138:SF147	17	16	23	Deuterostomia	Echinodermata,Sackow,Brabel,Bralan,Letrei,Amical	Not found
PTHR13283:SF13	12	12	16	Vertebrata	Letrei,Holostei,Galgal	Not found
PTHR46427:SF1	19	18	23	Deuterostomia	Ptyfla,Letrei,Chipun,Amical,Galgal	Ankyrin repeat and lem domain-containing protein 1
PTHR46427	20	19	23	Deuterostomia	Ptyfla,Letrei,Amical,Galgal	Family not named
PTHR31363	24	21	23	Deuterostomia	Letrei,Amical	Family not named
PTHR10676:SF242	5	3	16	Vertebrata	Hyperoartia,Calmil,Osteichthyes	Dynein heavy chain 3, axonemal
PTHR12428:SF51	27	20	23	Deuterostomia	Ptyfla,Letrei,Amical	Not found
PTHR11690:SF128	22	15	23	Deuterostomia	Echinodermata,Sackow,Hyperoartia,Parata,Amical	Acid-sensing ion channel 2
PTHR10552:SF6	24	19	23	Deuterostomia	Letjap,Petmar,Amical,Orylat	U2 small nuclear ribonucleoprotein a'
PTHR15508:SF9	13	11	16	Vertebrata	Letrei,Holostei,Latcha,Galgal	Not found
PTHR11927:SF2	20	8	16	Vertebrata	Hyperoartia,Actinopterygii,Galgal	Galactoside 2-alpha-l-fucosyltransferase 2
PTHR31663	61	20	23	Deuterostomia	Strpur,Letrei,Amical	Family not named
PTHR23341	10	10	23	Deuterostomia	Strpur,Letrei,Parata,Chondrichthyes,Actinopterygii,Latcha,Amniotes	High mobility group proteins hmg-a and c
PTHR22948:SF29	11	8	23	Deuterostomia	Acapla,Sackow,Letrei,Petmar,Gnathostomata	Fi20010p1-related
PTHR13295	21	20	23	Deuterostomia	Petmar,Amical,Galgal	Glutamate cysteine ligase regulatory subunit
PTHR13295:SF4	21	20	23	Deuterostomia	Petmar,Amical,Galgal	Glutamate--cysteine ligase regulatory subunit
PTHR22939:SF127	45	16	23	Deuterostomia	Echinodermata,Sackow,Brabel,Leth,Amical	Not found
PTHR24384:SF193	2	2	16	Vertebrata	Hyperoartia,Parata,Chondrichthyes,Amical,Euteleostei,Sarcopterygia	Subfamily not named
PTHR23428:SF160	15	9	19	Chordata	Ceph2,Hyperoartia,Holostei,Orylat,Xentro,Galgal	Histone h2b type 1-c/e/f/g/i
PTHR24055:SF534	26	18	19	Chordata	Amical	Not found
PTHR45963:SF3	21	21	23	Deuterostomia	Ptyfla,Amical	Not found
PTHR14684:SF2	18	18	23	Deuterostomia	Braflo,Letrei,Parata,Amical,Danrer	Thioredoxin domain-containing protein 15
PTHR14684	18	18	23	Deuterostomia	Braflo,Letrei,Parata,Amical,Danrer	Uncharacterized
PTHR12945	20	19	23	Deuterostomia	Echinodermata,Letrei,Amical	Translation initiation factor eif3-related
PTHR24051:SF8	63	16	23	Deuterostomia	Echinodermata,Sackow,Cephalochordata,Amical	Subfamily not named
PTHR10501:SF61	32	21	23	Deuterostomia	Letrei,Amical	Not found
PTHR22706:SF0	29	22	23	Deuterostomia	Amical	Spermatogenesis-associated protein 17
PTHR15592:SF11	16	13	16	Vertebrata	Letrei,Amical,Danrer	Rna-binding protein 20
PTHR11668:SF456	15	9	23	Deuterostomia	Acapla,Hemichordata,Letrei,Petmar,Chipun,Holostei,Orylat,Sarcopterygia	Not found
PTHR10201:SF142	14	11	19	Chordata	Letrei,Petmar,Chondrichthyes,Amical,Euteleostei,Galgal	Matrix metalloproteinase-25
PTHR11071:SF503	44	18	23	Deuterostomia	Braflo,Amical,Amniotes	Not found
PTHR34031:SF1	23	21	23	Deuterostomia	Letrei,Amical	Centrosomal protein of 162 kda
PTHR34031	23	21	23	Deuterostomia	Letrei,Amical	Family not named
PTHR34277:SF17	1	1	1	Eptbur		Not found
PTHR13276:SF0	18	17	23	Deuterostomia	Ptyfla,Letrei,Parata,Amical,Latcha,Galgal	Guanine nucleotide exchange factor mss4
PTHR14095:SF1	12	12	23	Deuterostomia	Echinodermata,Sackow,Cephalochordata,Hyperoartia,Parata,Amical	Serine/threonine-protein phosphatase 2a regulatory subunit b'' subunit beta
PTHR23147:SF82	16	12	16	Vertebrata	Petmar,Parata,Amical,Xentro	Serine/arginine-rich splicing factor 6
PTHR13238:SF0	23	22	23	Deuterostomia	Amical	Upf0769 protein c21orf59 homolog
PTHR10663:SF333	31	22	23	Deuterostomia	Amical	Protein mon2 homolog
PTHR11785	92	12	23	Deuterostomia	Gnathostomata	Amino acid transporter
PTHR43981:SF3	20	17	23	Deuterostomia	Echinodermata,Ptyfla,Brabel,Bralan,Amical	Enoyl-[acyl-carrier-protein] reductase, mitochondrial
PTHR45635:SF32	34	17	19	Chordata	Letrei,Amical	Not found
PTHR31158	43	22	23	Deuterostomia	Amical	Family not named
PTHR24055:SF448	1	1	1	Eptbur		Not found
PTHR20855:SF133	9	8	23	Deuterostomia	Acapla,Hemichordata,Cephalochordata,Leth,Parata,Holostei,Tetrapoda	Not found
PTHR13831	14	12	23	Deuterostomia	Echinodermata,Ptyfla,Brabel,Letrei,Petmar,Holostei,Orylat,Xentro,Galgal	Member of the hir1 family of wd-repeat proteins
PTHR10778:SF10	26	20	23	Deuterostomia	Ptyfla,Brabel,Amical	Solute carrier family 35 member b1
PTHR47081:SF3	28	10	23	Deuterostomia	Acapla,Ptyfla,Brabel,Petmar,Calmil,Actinopterygii,Latcha,Amniotes	Not found
PTHR15294:SF3	24	21	23	Deuterostomia	Letrei,Amical	Sumo-specific isopeptidase uspl1
PTHR15294	24	21	23	Deuterostomia	Letrei,Amical	Retinovin-related
PTHR12308:SF23	33	15	16	Vertebrata	Amical	Anoctamin-5
PTHR12997:SF10	20	16	19	Chordata	Braflo,Amical,Danrer	Subfamily not named
PTHR11932:SF76	25	20	23	Deuterostomia	Letrei,Amical,Xentro	Cullin-5
PTHR15712	11	9	16	Vertebrata	Letrei,Actinopterygii,Mammalia	Armadillo repeat containing protein
PTHR24243:SF14	10	9	16	Vertebrata	Letrei,Chondrichthyes,Actinopterygii	Neuromedin-u receptor 2
PTHR46199	8	6	23	Deuterostomia	Acapla,Ptyfla,Braflo,Hyperoartia,Gnathostomata	Family not named
PTHR18934:SF119	36	20	23	Deuterostomia	Ptyfla,Amical,Galgal	Atp-dependent rna helicase a
PTHR10846:SF36	24	17	23	Deuterostomia	Echinodermata,Sackow,Brabel,Amical,Latcha	Sodium/potassium/calcium exchanger 1
PTHR12101	19	9	23	Deuterostomia	Strpur,Cephalochordata,Chondrichthyes,Actinopterygii,Tetrapoda	Popeye domain containing protein
PTHR38340:SF1	12	5	16	Vertebrata	Letjap,Petmar,Calmil,Actinopterygii,Latcha,Amniotes	Subfamily not named
PTHR38340	12	5	16	Vertebrata	Letjap,Petmar,Calmil,Actinopterygii,Latcha,Amniotes	Family not named
PTHR11232:SF35	28	18	23	Deuterostomia	Cephalochordata,Letrei,Amical	Low density lipoprotein receptor adapter protein 1
PTHR33539:SF1	39	19	23	Deuterostomia	Letjap,Amical,Xentro,Galgal	Upf0764 protein c16orf89
PTHR33539	39	19	23	Deuterostomia	Letjap,Amical,Xentro,Galgal	Family not named
PTHR15107	37	22	23	Deuterostomia	Amical	Retinoblastoma binding protein 8
PTHR10529:SF345	18	14	16	Vertebrata	Amical,Orylat	Stonin-2
PTHR33155	2	1	1	Eptbur		Family not named
PTHR46046:SF2	16	14	16	Vertebrata	Letrei,Amical	Peptidyl-prolyl cis-trans isomerase fkbp9
PTHR24006:SF690	1	1	1	Eptbur		Subfamily not named
PTHR34757:SF1	26	14	16	Vertebrata	Letjap,Amical	Junctional protein associated with coronary artery disease
PTHR34757	25	14	16	Vertebrata	Letjap,Amical	Family not named
PTHR23064:SF58	39	18	19	Chordata	Amical	Not found
PTHR13041	22	17	23	Deuterostomia	Ptyfla,Braflo,Letrei,Amical,Xentro,Galgal	Jtb protein-related
PTHR13041:SF3	22	17	23	Deuterostomia	Ptyfla,Braflo,Letrei,Amical,Xentro,Galgal	Protein jtb
PTHR12874:SF24	22	18	23	Deuterostomia	Acapla,Leth,Parata,Amical	Not found
PTHR24346:SF42	25	18	23	Deuterostomia	Cephalochordata,Letrei,Amical	Serine/threonine-protein kinase sik3
PTHR23189:SF14	17	14	16	Vertebrata	Letrei,Amical	Paraspeckle component 1
PTHR21560:SF0	33	22	23	Deuterostomia	Amical	Protein very kind
PTHR21560	33	22	23	Deuterostomia	Amical	Very kind protein
PTHR10766:SF36	30	20	23	Deuterostomia	Letrei,Amical,Orylat	Transmembrane 9 superfamily member 2
PTHR23349:SF59	37	22	23	Deuterostomia	Amical	Pancreas transcription factor 1 subunit alpha
PTHR10924:SF27	47	21	23	Deuterostomia	Amical,Latcha	Disrupted in renal carcinoma protein 2
PTHR11661:SF19	22	21	23	Deuterostomia	Amical,Galgal	Not found
PTHR10830:SF0	22	21	23	Deuterostomia	Letrei,Amical	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kda subunit
PTHR11783:SF279	1	1	1	Eptbur		Not found
PTHR11849:SF304	12	10	23	Deuterostomia	Echinodermata,Ptyfla,Cephalochordata,Parata,Amical,Sarcopterygia	Not found
PTHR48181:SF1	12	4	23	Deuterostomia	Echinodermata,Ptyfla,Brabel,Braflo,Letjap,Petmar,Parata,Gnathostomata	Not found
PTHR48181	12	4	23	Deuterostomia	Echinodermata,Ptyfla,Brabel,Braflo,Letjap,Petmar,Parata,Gnathostomata	Not found
PTHR21377:SF0	5	5	19	Chordata	Hyperoartia,Gnathostomata	Protein fam210b
PTHR13489	22	21	23	Deuterostomia	Petmar,Amical	Uncharacterized
PTHR13489:SF0	23	22	23	Deuterostomia	Amical	Mini-chromosome maintenance complex-binding protein
PTHR46197:SF2	12	12	16	Vertebrata	Letrei,Petmar,Holostei	Protein abhd14b
PTHR21068:SF20	31	21	23	Deuterostomia	Ptyfla,Amical	Spartin
PTHR10519:SF67	32	13	16	Vertebrata	Calmil,Amical,Latcha	Not found
PTHR24115:SF400	35	22	23	Deuterostomia	Amical	Kinesin-like protein kif16b
PTHR24104:SF24	18	17	23	Deuterostomia	Echinodermata,Cephalochordata,Amical	Tripartite motif-containing protein 2
PTHR48012:SF22	30	22	23	Deuterostomia	Amical	Not found
PTHR11079:SF156	21	19	23	Deuterostomia	Ptyfla,Amical,Orylat,Galgal	Inactive trna-specific adenosine deaminase-like protein 3-related
PTHR14217:SF25	27	18	23	Deuterostomia	Strpur,Cephalochordata,Amical	Not found
PTHR31882:SF2	12	12	16	Vertebrata	Chondrichthyes,Amical,Danrer	Tnfaip3-interacting protein 3
PTHR22748:SF6	25	19	23	Deuterostomia	Letrei,Calmil,Amical,Galgal	Dna-(apurinic or apyrimidinic site) lyase
PTHR24020:SF56	17	11	16	Vertebrata	Letrei,Petmar,Amical,Orylat,Galgal	Not found
PTHR24365:SF524	21	18	23	Deuterostomia	Echinodermata,Brabel,Braflo,Amical	Toll-like receptor 3
PTHR18934:SF136	22	21	23	Deuterostomia	Letrei,Amical	Atp-dependent rna helicase dhx35-related
PTHR10271:SF29	16	8	23	Deuterostomia	Echinodermata,Cephalochordata,Hyperoartia,Amical,Orylat,Sarcopterygia	Not found
PTHR15427:SF3	14	11	16	Vertebrata	Parata,Actinopterygii	Multimerin-1
PTHR45786:SF66	16	4	5	Cyclostomata	Petmar	Not found
PTHR48039	3	2	16	Vertebrata	Hyperoartia,Parata,Calmil,Osteichthyes	Not found
PTHR11923:SF96	21	16	23	Deuterostomia	Strpur,Cephalochordata,Leth,Amical	Scavenger receptor class b member 1
PTHR24179:SF21	9	8	23	Deuterostomia	Bralan,Hyperoartia,Parata,Chondrichthyes,Holostei,Danrer,Sarcopterygia	Myosin binding subunit, isoform o
PTHR11101:SF83	15	15	16	Vertebrata	Amical	Sodium-dependent phosphate transporter 2
PTHR22765:SF390	1	1	1	Eptbur		Not found
PTHR10887:SF365	38	22	23	Deuterostomia	Amical	Helicase with zinc finger domain-related
PTHR12250:SF0	26	22	23	Deuterostomia	Amical	Gpi ethanolamine phosphate transferase 1
PTHR12250	26	22	23	Deuterostomia	Amical	Phosphatidylinositol glycan, class n
PTHR46575	25	21	23	Deuterostomia	Letrei,Amical	Family not named
PTHR24200	59	21	23	Deuterostomia	Letrei,Amical	Family not named
PTHR12166	13	11	23	Deuterostomia	Letrei,Gnathostomata	Calcium-dependent activator protein for secretion
PTHR13475	20	19	23	Deuterostomia	Leth,Amical,Galgal	Neugrin
PTHR13475:SF3	20	19	23	Deuterostomia	Leth,Amical,Galgal	Neugrin
PTHR13280	14	9	23	Deuterostomia	Hyperoartia,Gnathostomata	Phosphofurin acidic cluster sorting protein
PTHR13237:SF8	24	21	23	Deuterostomia	Letrei,Amical	Something about silencing protein 10
PTHR11733:SF141	32	19	23	Deuterostomia	Acapla,Sackow,Letrei,Amical	Membrane metallo-endopeptidase-like 1
PTHR14038	19	12	23	Deuterostomia	Strpur,Calmil,Osteichthyes	Bat2  hla-b-associated transcript 2
PTHR21237:SF25	23	21	23	Deuterostomia	Letrei,Amical	Grpe protein homolog 1, mitochondrial
PTHR24243:SF207	16	10	16	Vertebrata	Calmil,Amical,Danrer,Amniotes	Subfamily not named
PTHR20971:SF5	17	17	23	Deuterostomia	Ptyfla,Braflo,Leth,Chipun,Amical	Not found
PTHR11482:SF42	25	15	16	Vertebrata	Amical	Ornithine decarboxylase
PTHR46070:SF3	22	15	16	Vertebrata	Amical	Denn domain-containing protein 5b
PTHR36487:SF3	1	1	1	Eptbur		Subfamily not named
PTHR45787:SF7	28	13	16	Vertebrata	Letrei,Amical,Xentro	Lim domain only protein 3
PTHR22902:SF27	5	3	23	Deuterostomia	Acapla,Hemichordata,Cephalochordata,Hyperoartia,Parata,Calmil,Osteichthyes	Si:ch73-111k22.3
PTHR11629:SF68	21	19	23	Deuterostomia	Acapla,Amical,Euteleostei	V-type proton atpase 116 kda subunit a isoform 1
PTHR11635	84	22	23	Deuterostomia	Amical	Camp-dependent protein kinase regulatory chain
PTHR23330	10	9	23	Deuterostomia	Echinodermata,Brabel,Parata,Chondrichthyes,Actinopterygii,Latcha,Xentro,Mammalia	P300 transcriptional cofactor jmy-related
PTHR22802:SF345	62	13	23	Deuterostomia	Brabel,Bralan,Letrei,Petmar,Amical,Sarcopterygia	Si:ch211-283g2.2-related
PTHR24391:SF17	39	15	16	Vertebrata	Amical	Zinc finger e-box-binding homeobox 1
PTHR13954:SF12	2	2	5	Cyclostomata	Letrei,Petmar,Parata	Serine/threonine-protein kinase irla-related
PTHR10036:SF18	6	6	16	Vertebrata	Hyperoartia,Chipun,Holostei,Latcha,Amniotes	Not found
PTHR45828:SF3	34	17	23	Deuterostomia	Strpur,Sackow,Leth,Amical,Orylat	Ferric-chelate reductase 1
PTHR31742	20	19	23	Deuterostomia	Leth,Parata,Amical	Family not named
PTHR24416:SF349	29	21	23	Deuterostomia	Letrei,Amical	Tyrosine-protein kinase ryk
PTHR14152:SF5	20	19	23	Deuterostomia	Letrei,Calmil,Amical,Galgal	U4/u6.u5 tri-snrnp-associated protein 1
PTHR46708:SF2	87	16	23	Deuterostomia	Calmil,Amical,Danrer,Latcha,Amniotes	Tenascin c
PTHR33558:SF1	6	6	23	Deuterostomia	Ptyfla,Cephalochordata,Hyperoartia,Chondrichthyes,Holostei,Danrer,Sarcopterygia	Glutaredoxin-like protein c5orf63
PTHR13105:SF15	21	20	23	Deuterostomia	Letrei,Petmar,Amical	Not found
PTHR10010:SF23	26	18	23	Deuterostomia	Echinodermata,Sackow,Brabel,Amical	Sodium-dependent phosphate transport protein 2b
PTHR10686:SF37	36	19	23	Deuterostomia	Echinodermata,Ptyfla,Amical	Not found
PTHR45773	32	9	23	Deuterostomia	Strpur,Ptyfla,Brabel,Braflo,Chondrichthyes,Actinopterygii,Tetrapoda	Family not named
PTHR31058:SF2	22	20	23	Deuterostomia	Letrei,Amical,Latcha	Zinc finger c4h2 domain-containing protein
PTHR46920	20	17	23	Deuterostomia	Echinodermata,Sackow,Braflo,Chipun,Amical	Family not named
PTHR46920:SF1	20	17	23	Deuterostomia	Echinodermata,Sackow,Braflo,Chipun,Amical	Protein mss51 homolog, mitochondrial-related
PTHR10656	234	22	23	Deuterostomia	Amical	Cell fate determining protein mab21-related
PTHR42908:SF28	23	18	23	Deuterostomia	Strpur,Brabel,Braflo,Letrei,Amical	Not found
PTHR12830:SF9	23	19	23	Deuterostomia	Ptyfla,Letrei,Chipun,Amical	Anaphase-promoting complex subunit 5
PTHR20855:SF58	12	12	16	Vertebrata	Letrei,Chondrichthyes,Amical	Progestin and adipoq receptor family member 9
PTHR22829:SF1	23	18	19	Chordata	Amical	Phosphatidylinositol 3,4,5-trisphosphate-dependent rac exchanger 2 protein
PTHR23143:SF23	26	9	23	Deuterostomia	Acapla,Ptyfla,Brabel,Petmar,Parata,Calmil,Actinopterygii,Latcha,Amniotes	Not found
PTHR13594	17	12	23	Deuterostomia	Strpur,Cephalochordata,Actinopterygii,Amniotes	Family not named
PTHR17616:SF9	30	20	23	Deuterostomia	Echinodermata,Amical	Not found
PTHR12345:SF10	21	18	23	Deuterostomia	Letrei,Actinopterygii	Syntenin-1
PTHR23220:SF4	20	13	16	Vertebrata	Letrei,Petmar,Amical	Integrin alpha-v
PTHR32493	19	13	16	Vertebrata	Letrei,Amical,Xentro	Family not named
PTHR32493:SF0	19	13	16	Vertebrata	Letrei,Amical,Xentro	Sushi domain-containing protein 5
PTHR16502:SF0	15	15	23	Deuterostomia	Ptyfla,Bralan,Letrei,Calmil,Amical,Latcha,Mammalia	Keratinocyte-associated transmembrane protein 2
PTHR22706:SF1	1	1	1	Eptbur		Abnormal spindle microtubule assembly
PTHR31901:SF5	61	21	23	Deuterostomia	Letrei,Amical	Gh3 domain-containing protein
PTHR31078	21	20	23	Deuterostomia	Leth,Amical	Family not named
PTHR31078:SF1	21	20	23	Deuterostomia	Leth,Amical	Si:rp71-1p14.7
PTHR24381	23	14	23	Deuterostomia	Acapla,Bralan,Letrei,Parata,Calmil,Amical,Orylat,Xentro,Galgal	Family not named
PTHR21451:SF16	3	2	5	Cyclostomata	Letjap,Petmar,Parata	Not found
PTHR24417:SF0	13	11	16	Vertebrata	Hyperoartia,Parata,Amical	Serine/threonine-protein kinase lmtk1
PTHR45615:SF52	22	3	16	Vertebrata	Hyperoartia,Parata,Chondrichthyes,Holostei,Sarcopterygia	Not found
PTHR10336:SF166	27	20	23	Deuterostomia	Ceph2,Amical	Not found
PTHR45695:SF7	16	12	16	Vertebrata	Hyperoartia,Amical	Gastrin-releasing peptide receptor
PTHR11848:SF29	22	14	16	Vertebrata	Letrei,Amical	Inhibin beta b chain
PTHR11240:SF39	14	13	16	Vertebrata	Amical,Mammalia	Ribonuclease t2
PTHR31609	21	20	23	Deuterostomia	Strpur,Letrei,Amical	Family not named
PTHR31609:SF1	21	20	23	Deuterostomia	Strpur,Letrei,Amical	Carbohydrate deacetylase
PTHR48019:SF109	27	15	16	Vertebrata	Amical	Not found
PTHR21311	25	22	23	Deuterostomia	Amical	Conserved oligomeric golgi complex component 8
PTHR21311:SF0	24	21	23	Deuterostomia	Acapla,Amical	Conserved oligomeric golgi complex subunit 8
PTHR21608:SF4	25	16	23	Deuterostomia	Strpur,Amical,Sarcopterygia	Si:dkey-22l1.1
PTHR21608	25	15	23	Deuterostomia	Strpur,Bralan,Amical,Sarcopterygia	Uncharacterized
PTHR11451:SF36	19	16	23	Deuterostomia	Ptyfla,Petmar,Parata,Actinopterygii	Threonine--trna ligase, cytoplasmic
PTHR45805:SF3	23	12	16	Vertebrata	Hyperoartia,Amical	Nuclear receptor ror-alpha
PTHR21696:SF2	29	20	23	Deuterostomia	Sackow,Amical,Danrer	Protein unc-79 homolog
PTHR21696	30	21	23	Deuterostomia	Amical,Danrer	Uncharacterized
PTHR45970	22	10	23	Deuterostomia	Acapla,Ptyfla,Gnathostomata	Family not named
PTHR12308:SF83	4	4	23	Deuterostomia	Echinodermata,Sackow,Brabel,Bralan,Leth,Parata,Gnathostomata	Not found
PTHR12433:SF10	24	20	23	Deuterostomia	Holostei,Galgal	Mediator of rna polymerase ii transcription subunit 25
PTHR31458	3	2	16	Vertebrata	Hyperoartia,Parata,Calmil,Osteichthyes	Family not named
PTHR10177:SF254	34	18	23	Deuterostomia	Strpur,Sackow,Braflo,Letrei,Amical	Cyclin-a1
PTHR13817:SF79	5	3	16	Vertebrata	Hyperoartia,Parata,Chondrichthyes,Holostei,Danrer,Latcha,Amniotes	Subfamily not named
PTHR12907:SF4	40	22	23	Deuterostomia	Amical	Egl nine homolog 1
PTHR21964:SF13	19	17	23	Deuterostomia	Ptyfla,Ceph2,Letrei,Petmar,Amical	Sin3 histone deacetylase corepressor complex component sds3
PTHR24131:SF10	1	1	1	Eptbur		Ankyrin-repeat, sh3-domain, and proline-rich-region containing protein, isoform b
PTHR14428	18	18	23	Deuterostomia	Hyperoartia,Chipun,Amical	Nucleolar complex protein 3
PTHR22973:SF14	5	4	16	Vertebrata	Hyperoartia,Chondrichthyes,Holostei,Sarcopterygia	Not found
PTHR10869:SF101	45	20	23	Deuterostomia	Strpur,Sackow,Amical	Prolyl 4-hydroxylase subunit alpha-1
PTHR46097:SF4	17	15	16	Vertebrata	Amical	Arf gtpase-activating protein git2
PTHR10614:SF11	12	10	16	Vertebrata	Hyperoartia,Parata,Amical,Orylat	Insulin receptor substrate 1
PTHR42796:SF4	6	6	23	Deuterostomia	Cephalochordata,Hyperoartia,Parata,Chondrichthyes,Amical,Euteleostei,Sarcopterygia	Fumarylacetoacetate hydrolase domain-containing protein 2a
PTHR31046	10	6	16	Vertebrata	Letrei,Chondrichthyes,Holostei,Sarcopterygia	Family not named
PTHR15415:SF7	19	19	23	Deuterostomia	Acapla,Ptyfla,Parata,Amical	Micos complex subunit mic60
PTHR46941	13	13	23	Deuterostomia	Echinodermata,Ptyfla,Cephalochordata,Letrei,Chondrichthyes,Amical	Family not named
PTHR46941:SF1	13	13	23	Deuterostomia	Echinodermata,Ptyfla,Cephalochordata,Letrei,Chondrichthyes,Amical	Coiled-coil domain-containing protein 126
PTHR24247:SF244	11	9	16	Vertebrata	Letrei,Petmar,Amical,Euteleostei,Mammalia	Not found
