fid	clg	Bflo	Spu	Blan	Skow	Pfla	Apla	Chipun	Lepocu	Xentro	Galgal	Lepocu	Petmar	Parata
OG_6879	CLGB	BF08235	LOC576983	BL96404	Sakowv30009598m		LOC110985333	Chipun_Chipu0022155|alpha2	Lepocu_ENSLOCG00000009140|alpha1;Lepocu_ENSLOCG00000009286|alpha2	Xentro_Xetrov90015470m|alpha1;Xentro_speg|alpha2	Galgal_ENSGALG00000032534|alpha1;Galgal_ENSGALG00000036973|alpha2	Lepocu_ENSLOCG00000009140|alpha1;Lepocu_ENSLOCG00000009286|alpha2	Petmar_LOC116938878|chrm4;Petmar_LOC116941112|chrm10;Petmar_LOC116950644|chrm2;Petmar_LOC116944375|chrm2;Petmar_LOC116938879|chrm4;Petmar_LOC116938620|chrm4;Petmar_LOC116950561|chrm2	Parata_EA25260|chr5;Parata_EA67678|chr8;Parata_EA57918|chr4;Parata_EA64422|chr8
OG_18610	CLGB	BF17284	LOC592390	BL10617	Sakowv30015133m	pfl_40v0_9_20150316_1g33364	LOC110973523	Chipun_Chipu0003582|alpha2	Lepocu_ENSLOCG00000012507|alpha1;Lepocu_ENSLOCG00000003172|alpha2	Xentro_insig1|alpha1	Galgal_ENSGALG00000017394|alpha1;Galgal_ENSGALG00000028046|alpha2	Lepocu_ENSLOCG00000012507|alpha1;Lepocu_ENSLOCG00000003172|alpha2	Petmar_LOC116945641|chrm2	Parata_EA66350|chr8
OG_5587	CLGB	BF12243	LOC577797	BL13142	Sakowv30019307m	pfl_40v0_9_20150316_1g18588	LOC110974625	Chipun_Chipu0017852|beta1;Chipun_Chipu0007631|alpha2	Lepocu_ENSLOCG00000011862|beta1;Lepocu_ENSLOCG00000005582|alpha2;Lepocu_ENSLOCG00000004076|beta2	Xentro_fmnl1|beta1;Xentro_fmnl2-like|alpha2;Xentro_fmnl3-like|beta2	Galgal_ENSGALG00000032658|beta1;Galgal_ENSGALG00000012525|alpha2	Lepocu_ENSLOCG00000011862|beta1;Lepocu_ENSLOCG00000005582|alpha2;Lepocu_ENSLOCG00000004076|beta2	Petmar_FMNL2|chrm4;Petmar_LOC116941088|chrm10;Petmar_LOC116949534|chrm2	Parata_EA25044|chr5;Parata_EA57438|chr4;Parata_EA29197|chr5
OG_5609	CLGB	BF02309	LOC581160	BL17902	Sakowv30026439m	pfl_40v0_9_20150316_1g24310	LOC110990746	Chipun_Chipu0000439|alpha2	Lepocu_ENSLOCG00000005350|alpha1;Lepocu_ENSLOCG00000005738|alpha2;Lepocu_ENSLOCG00000004504|beta2	Xentro_nr4a3|alpha1;Xentro_nr4a2|alpha2;Xentro_nr4a1|beta2	Galgal_ENSGALG00000013568|alpha1;Galgal_ENSGALG00000012538|alpha2	Lepocu_ENSLOCG00000005350|alpha1;Lepocu_ENSLOCG00000005738|alpha2;Lepocu_ENSLOCG00000004504|beta2	Petmar_NR4A2|chrm4;Petmar_LOC116948541|chrm34;Petmar_LOC116949444|chrm2;Petmar_LOC116941084|chrm10	Parata_EA27666|chr5;Parata_EA19732|chr13;Parata_EA59548|chr4;Parata_EA28886|chr5;Parata_EA25442|chr5
OG_532	CLGB	BF17279	LOC592201	BL02603	Sakowv30021861m	pfl_40v0_9_20150316_1g9979	LOC110989260	Chipun_Chipu0007832|beta1;Chipun_Chipu0011854|alpha2	Lepocu_ENSLOCG00000011615|alpha1;Lepocu_ENSLOCG00000009558|alpha2	Xentro_tra2a|alpha1;Xentro_tra2b|alpha2	Galgal_ENSGALG00000010973|alpha1	Lepocu_ENSLOCG00000011615|alpha1;Lepocu_ENSLOCG00000009558|alpha2	Petmar_LOC116948692|chrm34;Petmar_LOC116938801|chrm4	Parata_EA66703|chr8;Parata_EA30316|chr5;Parata_EA28217|chr5
OG_5967	CLGB	BF17242	LOC578745	BL11531	Sakowv30018964m	pfl_40v0_9_20150316_1g20554	LOC110984235	Chipun_Chipu0000404|alpha2	Lepocu_ENSLOCG00000010521|alpha1;Lepocu_ENSLOCG00000008441|alpha2	Xentro_sri|alpha1;Xentro_gca|alpha2	Galgal_ENSGALG00000008985|alpha1	Lepocu_ENSLOCG00000010521|alpha1;Lepocu_ENSLOCG00000008441|alpha2	Petmar_SRI|chrm2	Parata_EA68183|chr8;Parata_EA59569|chr4
OG_3339	CLGB	BF04213		BL07067			LOC110986855			Xentro_LOC100494738|beta1;Xentro_Xetrov90006829m|beta2				
OG_1601	CLGB	BF12093	LOC756927	BL03789	Sakowv30039772m	pfl_40v0_9_20150316_1g21163	LOC110984227		Lepocu_ENSLOCG00000012585|alpha1;Lepocu_ENSLOCG00000007652|beta2	Xentro_prkag1|alpha1;Xentro_LOC101734041|beta2	Galgal_ENSGALG00000006219|alpha1;Galgal_ENSGALG00000036282|beta2	Lepocu_ENSLOCG00000012585|alpha1;Lepocu_ENSLOCG00000007652|beta2	Petmar_LOC103091728|chrm2;Petmar_LOC116948620|chrm34;Petmar_LOC103091846|chrm4	Parata_EA65430|chr8;Parata_EA29838|chr5;Parata_EA25205|chr5
OG_19735	CLGB	BF19792	LOC576136	BL13586	Sakowv30016945m	pfl_40v0_9_20150316_1g9306	LOC110974930	Chipun_Chipu0015819|alpha1	Lepocu_ENSLOCG00000004394|alpha1;Lepocu_ENSLOCG00000006640|beta2	Xentro_smarcc2|beta2	Galgal_ENSGALG00000032642|alpha1;Galgal_ENSGALG00000041592|beta2	Lepocu_ENSLOCG00000004394|alpha1;Lepocu_ENSLOCG00000006640|beta2	Petmar_LOC116954756|chrm56;Petmar_SMARCC2|chrm4	Parata_EA27201|chr5;Parata_EA18494|chr13;Parata_EA20085|chr13
OG_18978	CLGB	BF04396	LOC764887	BL14760	Sakowv30024401m	pfl_40v0_9_20150316_1g21981	LOC110979437	Chipun_Chipu0007639|alpha2	Lepocu_ENSLOCG00000012338|beta1;Lepocu_ENSLOCG00000007725|alpha2	Xentro_cyb561|beta1;Xentro_cybrd1|alpha2	Galgal_ENSGALG00000024031|beta1;Galgal_ENSGALG00000030703|alpha2	Lepocu_ENSLOCG00000012338|beta1;Lepocu_ENSLOCG00000007725|alpha2	Petmar_LOC116954731|chrm56;Petmar_LOC116937895|chrm4;Petmar_LOC116937885|chrm4	Parata_EA26259|chr5;Parata_EA24549|chr5
OG_18007	CLGB	BF03318	LOC105445105	BL97298	Sakowv30006181m	pfl_40v0_9_20150316_1g2204	LOC110975990	Chipun_Chipu0017271|beta1	Lepocu_ENSLOCG00000012737|beta1;Lepocu_ENSLOCG00000011089|alpha2	Xentro_LOC100492396|beta1;Xentro_mreg|alpha2	Galgal_ENSGALG00000003758|alpha2	Lepocu_ENSLOCG00000012737|beta1;Lepocu_ENSLOCG00000011089|alpha2	Petmar_LOC116940971|chrm10;Petmar_LOC116938771|chrm4;Petmar_LOC116948743|chrm34	
OG_7498	CLGB	BF17229	LOC583684	BL04112	Sakowv30031027m	pfl_40v0_9_20150316_1g25211	LOC110982488	Chipun_Chipu0020962|beta1;Chipun_Chipu0000400|alpha2	Lepocu_ENSLOCG00000012291|beta1;Lepocu_ENSLOCG00000008406|alpha2	Xentro_grb10|alpha1;Xentro_grb7|beta1;Xentro_grb14|alpha2	Galgal_ENSGALG00000013100|alpha1;Galgal_ENSGALG00000036500|beta1;Galgal_ENSGALG00000020703|alpha2	Lepocu_ENSLOCG00000012291|beta1;Lepocu_ENSLOCG00000008406|alpha2	Petmar_LOC116938549|chrm4;Petmar_LOC116948726|chrm34	Parata_EA28683|chr5;Parata_EA26445|chr5;Parata_EA25382|chr5
OG_7339.1	CLGB	BF20667		BL13397	Sakowv30024691m	pfl_40v0_9_20150316_1g19828			Lepocu_ENSLOCG00000013065|alpha1;Lepocu_ENSLOCG00000009200|alpha2	Xentro_tns3|alpha1	Galgal_ENSGALG00000039139|alpha1;Galgal_ENSGALG00000041013|alpha2	Lepocu_ENSLOCG00000013065|alpha1;Lepocu_ENSLOCG00000009200|alpha2	Petmar_LOC116954709|chrm56;Petmar_LOC116941107|chrm10;Petmar_LOC116950193|chrm2	Parata_EA27942|chr5;Parata_EA27219|chr5;Parata_EA19028|chr13;Parata_EA57874|chr4;Parata_EA18994|chr13;Parata_EA63376|chr4
OG_5640	CLGB	BF11361		BL06042				Chipun_Chipu0007825|beta1;Chipun_Chipu0005653|alpha2	Lepocu_ENSLOCG00000011842|alpha1;Lepocu_ENSLOCG00000013457|beta1;Lepocu_ENSLOCG00000007161|alpha2;Lepocu_ENSLOCG00000006295|beta2	Xentro_hoxa13|alpha1;Xentro_hoxd13|alpha2;Xentro_hoxc13|beta2	Galgal_ENSGALG00000027234|alpha1;Galgal_ENSGALG00000033154|beta1;Galgal_ENSGALG00000032039|alpha2;Galgal_ENSGALG00000036082|beta2	Lepocu_ENSLOCG00000011842|alpha1;Lepocu_ENSLOCG00000013457|beta1;Lepocu_ENSLOCG00000007161|alpha2;Lepocu_ENSLOCG00000006295|beta2	Petmar_LOC116948660|chrm34;Petmar_LOC116950765|chrm2;Petmar_LOC116938873|chrm4;Petmar_LOC116943933|chrm19	Parata_EA26347|chr5;Parata_EA36033|chr1;Parata_EA58238|chr4
OG_6456	CLGB	BF08306	LOC592292	BL01918	Sakowv30027281m	pfl_40v0_9_20150316_1g12774	LOC110973475	Chipun_Chipu0016245|alpha1;Chipun_Chipu0021204|alpha2	Lepocu_ENSLOCG00000009263|alpha1;Lepocu_ENSLOCG00000009485|alpha2	Xentro_LOC100486160-like|alpha1;Xentro_atg9a|alpha2	Galgal_ENSGALG00000011649|alpha2	Lepocu_ENSLOCG00000009263|alpha1;Lepocu_ENSLOCG00000009485|alpha2	Petmar_LOC116938638|chrm4	Parata_EA28933|chr5
OG_6363	CLGB	BF02226	LOC585535	BL24092	Sakowv30020418m	pfl_40v0_9_20150316_1g22387	LOC110989549	Chipun_Chipu0017499|beta1;Chipun_Chipu0009825|alpha2	Lepocu_ENSLOCG00000010868|alpha1;Lepocu_ENSLOCG00000012811|beta1;Lepocu_ENSLOCG00000002565|alpha2;Lepocu_ENSLOCG00000007413|beta2	Xentro_cacnb2-like|alpha1;Xentro_cacnb1|beta1;Xentro_cacnb4|alpha2;Xentro_cacnb3|beta2	Galgal_ENSGALG00000008591|alpha1;Galgal_ENSGALG00000025788|beta1	Lepocu_ENSLOCG00000010868|alpha1;Lepocu_ENSLOCG00000012811|beta1;Lepocu_ENSLOCG00000002565|alpha2;Lepocu_ENSLOCG00000007413|beta2	Petmar_LOC116949182|chrm2;Petmar_LOC116941130|chrm10;Petmar_LOC116943854|chrm19;Petmar_LOC116937724|chrm4	Parata_EA24668|chr5;Parata_EA63019|chr4;Parata_EA58908|chr4;Parata_EA26841|chr5;Parata_EA38057|chr1
OG_6283	CLGB	BF02238		BL13153				Chipun_Chipu0003578|alpha2	Lepocu_ENSLOCG00000012531|alpha1;Lepocu_ENSLOCG00000002992|alpha2;Lepocu_ENSLOCG00000004688|beta2	Xentro_dpp6|alpha1;Xentro_LOC100493708|beta2	Galgal_ENSGALG00000041791|alpha1;Galgal_ENSGALG00000012156|alpha2	Lepocu_ENSLOCG00000012531|alpha1;Lepocu_ENSLOCG00000002992|alpha2;Lepocu_ENSLOCG00000004688|beta2	Petmar_LOC116948618|chrm34;Petmar_LOC116938710|chrm4;Petmar_DPP10|chrm2	Parata_EA24723|chr5;Parata_EA27973|chr5;Parata_EA25146|chr5;Parata_EA30660|chr5;Parata_EA57593|chr4
OG_5052.2	CLGB	BF16703	LOC585323	BL02715	Sakowv30044537m	pfl_40v0_9_20150316_1g24899	LOC110991240	Chipun_Chipu0010956|beta1	Lepocu_ENSLOCG00000004381|alpha1	Xentro_LOC100493268|alpha2	Galgal_ENSGALG00000032184|alpha1	Lepocu_ENSLOCG00000004381|alpha1	Petmar_LOC116954806|chrm56	Parata_EA64516|chr8;Parata_EA18812|chr13
OG_16090	CLGB	BF04407	LOC115926095	BL23021	Sakowv30005068m		LOC110988455	Chipun_Chipu0012006|beta1;Chipun_Chipu0024114|alpha2	Lepocu_ENSLOCG00000011123|alpha1;Lepocu_ENSLOCG00000011707|beta1;Lepocu_ENSLOCG00000010182|alpha2	Xentro_Xetrov90023949m|alpha2	Galgal_ENSGALG00000035239|alpha1;Galgal_ENSGALG00000009943|beta1;Galgal_ENSGALG00000008466|alpha2	Lepocu_ENSLOCG00000011123|alpha1;Lepocu_ENSLOCG00000011707|beta1;Lepocu_ENSLOCG00000010182|alpha2	Petmar_LOC116938283|chrm4;Petmar_LOC116941059|chrm10;Petmar_LOC116954678|chrm56	Parata_EA28936|chr5;Parata_EA18794|chr13
OG_7377	CLGB	BF10618	hh	BL06963		pfl_40v0_9_20150316_1g7753	LOC110979400	Chipun_Chipu0007790|alpha2	Lepocu_ENSLOCG00000012487|alpha1;Lepocu_ENSLOCG00000010869|alpha2;Lepocu_ENSLOCG00000007693|beta2	Xentro_shh|alpha1;Xentro_ihh|alpha2;Xentro_dhh|beta2	Galgal_ENSGALG00000006379|alpha1;Galgal_ENSGALG00000011347|alpha2;Galgal_ENSGALG00000031707|beta2	Lepocu_ENSLOCG00000012487|alpha1;Lepocu_ENSLOCG00000010869|alpha2;Lepocu_ENSLOCG00000007693|beta2	Petmar_LOC116945605|chrm2;Petmar_LOC116948535|chrm34;Petmar_LOC116937290|chrm4;Petmar_LOC116943789|chrm19;Petmar_LOC116943772|chrm19	Parata_EA28380|chr5;Parata_EA62237|chr4;Parata_EA65469|chr8;Parata_EA27821|chr5;Parata_EA27423|chr5;Parata_EA67908|chr8;Parata_EA64706|chr8;Parata_EA29446|chr5
OG_5686	CLGB	BF10522		BL04167	Sakowv30005044m	pfl_40v0_9_20150316_1g8173	LOC110977423	Chipun_Chipu0013899|beta1;Chipun_Chipu0011783|alpha2	Lepocu_ENSLOCG00000011383|alpha1;Lepocu_ENSLOCG00000013093|beta1;Lepocu_ENSLOCG00000009104|alpha2;Lepocu_ENSLOCG00000005209|beta2	Xentro_hdac9|alpha1;Xentro_hdac5|beta1;Xentro_hdac4|alpha2;Xentro_hdac7|beta2	Galgal_ENSGALG00000010854|alpha1;Galgal_ENSGALG00000004288|alpha2;Galgal_ENSGALG00000039710|beta2	Lepocu_ENSLOCG00000011383|alpha1;Lepocu_ENSLOCG00000013093|beta1;Lepocu_ENSLOCG00000009104|alpha2;Lepocu_ENSLOCG00000005209|beta2	Petmar_LOC116938357|chrm4;Petmar_LOC116954711|chrm56;Petmar_LOC116941068|chrm10	Parata_EA25863|chr5;Parata_EA26085|chr5;Parata_EA20588|chr13;Parata_EA19138|chr13;Parata_EA66631|chr8
OG_17011	CLGB	BF11133	LOC105437221	BL06048	Sakowv30022691m	pfl_40v0_9_20150316_1g25843	LOC110984177	Chipun_Chipu0014562|alpha2	Lepocu_ENSLOCG00000009632|alpha1;Lepocu_ENSLOCG00000007999|alpha2	Xentro_nktr-like|alpha1;Xentro_ppig|alpha2	Galgal_ENSGALG00000030268|alpha1;Galgal_ENSGALG00000009839|alpha2	Lepocu_ENSLOCG00000009632|alpha1;Lepocu_ENSLOCG00000007999|alpha2	Petmar_LOC116954689|chrm56;Petmar_PPIG|chrm4	Parata_EA21306|chr13;Parata_EA28171|chr5;Parata_EA26934|chr5
OG_16052	CLGB	BF03358	LOC578214	BL09255	Sakowv30032376m	pfl_40v0_9_20150316_1g15353	LOC110987294	Chipun_Chipu0011009|beta1;Chipun_Chipu0010863|alpha2	Lepocu_ENSLOCG00000009947|alpha2;Lepocu_ENSLOCG00000004409|beta2	Xentro_nab1|alpha2;Xentro_nab2|beta2	Galgal_ENSGALG00000037778|alpha2;Galgal_ENSGALG00000035028|beta2	Lepocu_ENSLOCG00000009947|alpha2;Lepocu_ENSLOCG00000004409|beta2	Petmar_NAB1|chrm4;Petmar_LOC116944997|chrm2	Parata_EA29221|chr5;Parata_EA58412|chr4
OG_1801	CLGB	BF02064	LOC586388	BL16147	Sakowv30014804m		LOC110986194	Chipun_Chipu0006989|alpha2	Lepocu_ENSLOCG00000006775|alpha1;Lepocu_ENSLOCG00000006490|alpha2	Xentro_ube2e2-like.1|alpha1;Xentro_ube2e3|alpha2	Galgal_ENSGALG00000011286|alpha1;Galgal_ENSGALG00000020793|alpha2	Lepocu_ENSLOCG00000006775|alpha1;Lepocu_ENSLOCG00000006490|alpha2	Petmar_LOC116947789|chrm2;Petmar_LOC116938795|chrm4;Petmar_LOC116943909|chrm19	Parata_EA19370|chr13;Parata_EA38487|chr1;Parata_EA25988|chr5
OG_5751	CLGB	BF02005	LOC115920061	BL13383	Sakowv30035728m	pfl_40v0_9_20150316_1g20103	LOC110973105	Chipun_Chipu0008082|beta1;Chipun_Chipu0013659|alpha2	Lepocu_ENSLOCG00000010917|alpha1;Lepocu_ENSLOCG00000013020|beta1;Lepocu_ENSLOCG00000007524|alpha2	Xentro_ppp1r9b|beta1;Xentro_LOC100495965-like|alpha2	Galgal_ENSGALG00000009686|alpha1;Galgal_ENSGALG00000042330|alpha2	Lepocu_ENSLOCG00000010917|alpha1;Lepocu_ENSLOCG00000013020|beta1;Lepocu_ENSLOCG00000007524|alpha2	Petmar_LOC116943995|chrm19;Petmar_LOC116938525|chrm4;Petmar_PPP1R9B|chrm10	Parata_EA37997|chr1;Parata_EA29255|chr5;Parata_EA65194|chr8;Parata_EA27898|chr5;Parata_EA26070|chr5;Parata_EA64400|chr8;Parata_EA58529|chr4
OG_16181	CLGB	BF12693	LOC583383	BL03735	Sakowv30029989m	pfl_40v0_9_20150316_1g6578	LOC110973381	Chipun_Chipu0015302|alpha2	Lepocu_ENSLOCG00000005168|alpha1;Lepocu_ENSLOCG00000001937|alpha2	Xentro_LOC100488561|alpha1	Galgal_ENSGALG00000029935|alpha1;Galgal_ENSGALG00000011605|alpha2	Lepocu_ENSLOCG00000005168|alpha1;Lepocu_ENSLOCG00000001937|alpha2	Petmar_LOC116946485|chrm2;Petmar_LOC116938703|chrm4	Parata_EA58658|chr4;Parata_EA28351|chr5;Parata_EA27816|chr5
OG_6967	CLGB	BF12648	LOC373228	BL10311	Sakowv30045977m	pfl_40v0_9_20150316_1g12684	LOC110975414	Chipun_Chipu0019116|alpha2	Lepocu_ENSLOCG00000012650|alpha1;Lepocu_ENSLOCG00000009424|alpha2		Galgal_ENSGALG00000036466|alpha1;Galgal_ENSGALG00000011172|alpha2	Lepocu_ENSLOCG00000012650|alpha1;Lepocu_ENSLOCG00000009424|alpha2	Petmar_LOC116947375|chrm2;Petmar_LOC116948542|chrm34;Petmar_LOC116938635|chrm4;Petmar_LOC116943961|chrm19;Petmar_LOC116943798|chrm19	Parata_EA65309|chr8;Parata_EA65849|chr8;Parata_EA67540|chr8;Parata_EA26759|chr5;Parata_EA28621|chr5;Parata_EA25577|chr5;Parata_EA25861|chr5
OG_18623.2	CLGB	BF11379		BL95002	Sakowv30015331m	pfl_40v0_9_20150316_1g33487			Lepocu_ENSLOCG00000006986|alpha2;Lepocu_ENSLOCG00000006476|beta2	Xentro_hnrnpa2b1|alpha1;Xentro_hnrnpa3|alpha2;Xentro_hnrnpa1|beta2	Galgal_ENSGALG00000011036|alpha1;Galgal_ENSGALG00000009250|alpha2;Galgal_ENSGALG00000042011|beta2	Lepocu_ENSLOCG00000006986|alpha2;Lepocu_ENSLOCG00000006476|beta2	Petmar_LOC116948672|chrm34;Petmar_LOC116944693|chrm2;Petmar_LOC116940940|chrm10;Petmar_LOC116938498|chrm4	Parata_EA27997|chr5;Parata_EA67496|chr8;Parata_EA61629|chr4;Parata_EA29870|chr5
OG_6894	CLGB	BF11371	LOC574804				LOC110974660	Chipun_Chipu0007818|beta1;Chipun_Chipu0005659|alpha2	Lepocu_ENSLOCG00000007074|alpha2;Lepocu_ENSLOCG00000006379|beta2	Xentro_hoxa4|alpha1;Xentro_hoxb4|beta1;Xentro_hoxd4|alpha2;Xentro_hoxc4|beta2	Galgal_ENSGALG00000022622|alpha1;Galgal_ENSGALG00000000284|beta1;Galgal_ENSGALG00000023419|alpha2;Galgal_ENSGALG00000035539|beta2	Lepocu_ENSLOCG00000007074|alpha2;Lepocu_ENSLOCG00000006379|beta2	Petmar_LOC116940928|chrm10;Petmar_LOC103091860|chrm19;Petmar_LOC103091721|chrm4	Parata_EA60727|chr4;Parata_EA66411|chr8;Parata_EA19164|chr13;Parata_EA35798|chr1;Parata_EA25068|chr5
OG_15919	CLGB	BF13806	LOC100891580	BL13423	Sakowv30009244m	pfl_40v0_9_20150316_1g2645	LOC110989765	Chipun_Chipu0008107|beta1;Chipun_Chipu0005971|alpha2	Lepocu_ENSLOCG00000006545|alpha1;Lepocu_ENSLOCG00000012553|beta1;Lepocu_ENSLOCG00000004209|alpha2	Xentro_kcnh8|alpha1;Xentro_LOC100492237-like|alpha2;Xentro_LOC100494380|beta2	Galgal_ENSGALG00000011262|alpha1;Galgal_ENSGALG00000003354|beta1	Lepocu_ENSLOCG00000006545|alpha1;Lepocu_ENSLOCG00000012553|beta1;Lepocu_ENSLOCG00000004209|alpha2	Petmar_LOC116938420|chrm4;Petmar_LOC116954674|chrm56;Petmar_LOC116947137|chrm2;Petmar_LOC116940917|chrm10	Parata_EA61117|chr4;Parata_EA62016|chr4
OG_16775	CLGB	BF26633	LOC593659	BL22863	Sakowv30019798m	pfl_40v0_9_20150316_1g11743	LOC110985143		Lepocu_ENSLOCG00000012290|alpha1;Lepocu_ENSLOCG00000007113|beta2	Xentro_larp4|beta2	Galgal_ENSGALG00000006672|alpha1;Galgal_ENSGALG00000042122|beta2	Lepocu_ENSLOCG00000012290|alpha1;Lepocu_ENSLOCG00000007113|beta2	Petmar_LOC116938816|chrm4;Petmar_LOC116948683|chrm34;Petmar_LOC116949268|chrm2;Petmar_LOC116940899|chrm10	Parata_EA28179|chr5;Parata_EA58654|chr4
OG_18746	CLGB	BF04279	LOC100889197	BL18300	Sakowv30003317m	pfl_40v0_9_20150316_1g8699	LOC110973510	Chipun_Chipu0008774|alpha2	Lepocu_ENSLOCG00000004320|alpha2;Lepocu_ENSLOCG00000006826|beta2	Xentro_crem|alpha1;Xentro_creb1|alpha2;Xentro_atf1|beta2	Galgal_ENSGALG00000007082|alpha1;Galgal_ENSGALG00000008494|alpha2;Galgal_ENSGALG00000033614|beta2	Lepocu_ENSLOCG00000004320|alpha2;Lepocu_ENSLOCG00000006826|beta2	Petmar_LOC116938809|chrm4;Petmar_LOC116948709|chrm34;Petmar_LOC116941076|chrm10;Petmar_LOC116945353|chrm2;Petmar_LOC116945337|chrm2	Parata_EA20593|chr13;Parata_EA58699|chr4;Parata_EA24660|chr5
OG_7232	CLGC	BF07563	LOC577182	BL10533	Sakowv30002314m	pfl_40v0_9_20150316_1g3690	LOC110989880	Chipun_Chipu0018821|alpha1	Lepocu_ENSLOCG00000013657|alpha1;Lepocu_ENSLOCG00000008426|beta1;Lepocu_ENSLOCG00000001068|beta2		Galgal_ENSGALG00000004150|alpha1;Galgal_ENSGALG00000001571|beta2	Lepocu_ENSLOCG00000013657|alpha1;Lepocu_ENSLOCG00000008426|beta1;Lepocu_ENSLOCG00000001068|beta2	Petmar_LOC116941931|chrm13;Petmar_LOC116938511|chrm1	Parata_EA13727|chr11;Parata_EA15161|chr11;Parata_EA69604|chr12
OG_7236	CLGC	BF15827	LOC764294	BL11270	Sakowv30032787m	pfl_40v0_9_20150316_1g3154	LOC110985871	Chipun_Chipu0013397|alpha1;Chipun_Chipu0006008|alpha2;Chipun_Chipu0014840|beta2	Lepocu_ENSLOCG00000014397|alpha1;Lepocu_ENSLOCG00000008221|beta1;Lepocu_ENSLOCG00000001698|alpha2;Lepocu_ENSLOCG00000002192|beta2	Xentro_arrdc4|alpha1;Xentro_txnip|beta1	Galgal_ENSGALG00000007012|alpha1;Galgal_ENSGALG00000025915|alpha2;Galgal_ENSGALG00000003527|beta2	Lepocu_ENSLOCG00000014397|alpha1;Lepocu_ENSLOCG00000008221|beta1;Lepocu_ENSLOCG00000001698|alpha2;Lepocu_ENSLOCG00000002192|beta2	Petmar_ARRDC3|chrm40;Petmar_LOC116954982|chrm57;Petmar_LOC116953468|chrm52	Parata_EA14358|chr11;Parata_EA70385|chr12;Parata_EA57447|chr4;Parata_EA57032|chr4
OG_9571	CLGC	BF13331		BL10049					Lepocu_ENSLOCG00000011344|alpha1;Lepocu_ENSLOCG00000014453|alpha2			Lepocu_ENSLOCG00000011344|alpha1;Lepocu_ENSLOCG00000014453|alpha2		
OG_16501	CLGC	BF07219		BL22942	Sakowv30002366m	pfl_40v0_9_20150316_1g15513		Chipun_Chipu0023828|alpha2	Lepocu_ENSLOCG00000014457|alpha1;Lepocu_ENSLOCG00000005396|alpha2		Galgal_ENSGALG00000014943|alpha2	Lepocu_ENSLOCG00000014457|alpha1;Lepocu_ENSLOCG00000005396|alpha2	Petmar_FAM169A|chrm13	Parata_EA14536|chr11
OG_14734	CLGC	BF25228	LOC587130	BL12709	Sakowv30012448m	pfl_40v0_9_20150316_1g6772	LOC110987448	Chipun_Chipu0009150|alpha1;Chipun_Chipu0001302|alpha2;Chipun_Chipu0017951|beta2	Lepocu_ENSLOCG00000012899|alpha1;Lepocu_ENSLOCG00000011923|alpha2;Lepocu_ENSLOCG00000006631|beta2	Xentro_sh3gl3|alpha1	Galgal_ENSGALG00000006045|alpha1;Galgal_ENSGALG00000015096|alpha2;Galgal_ENSGALG00000001121|beta2	Lepocu_ENSLOCG00000012899|alpha1;Lepocu_ENSLOCG00000011923|alpha2;Lepocu_ENSLOCG00000006631|beta2	Petmar_LOC116954984|chrm57;Petmar_LOC116950856|chrm40;Petmar_LOC116939331|chrm1	Parata_EA15704|chr11;Parata_EA72290|chr12
OG_8534	CLGC	BF07131		BL04397	Sakowv30020419m			Chipun_Chipu0013925|alpha1;Chipun_Chipu0015252|beta2	Lepocu_ENSLOCG00000013197|alpha1;Lepocu_ENSLOCG00000008383|alpha2;Lepocu_ENSLOCG00000004413|beta2	Xentro_fbn1|alpha1	Galgal_ENSGALG00000004960|alpha1;Galgal_ENSGALG00000014686|alpha2;Galgal_ENSGALG00000037625|beta2	Lepocu_ENSLOCG00000013197|alpha1;Lepocu_ENSLOCG00000008383|alpha2;Lepocu_ENSLOCG00000004413|beta2	Petmar_LOC116939489|chrm1;Petmar_FBN2|chrm40;Petmar_LOC116954924|chrm57	Parata_EA26998|chr5;Parata_EA26502|chr5;Parata_EA64500|chr8;Parata_EA66546|chr8;Parata_EA71106|chr12;Parata_EA68920|chr12
OG_16454	CLGC	BF03247	LOC105446077	BL15108	Sakowv30035138m	pfl_40v0_9_20150316_1g5298	LOC110986778	Chipun_Chipu0011801|alpha1;Chipun_Chipu0013948|alpha2;Chipun_Chipu0016776|beta2	Lepocu_ENSLOCG00000014280|alpha1;Lepocu_ENSLOCG00000006851|beta1;Lepocu_ENSLOCG00000006271|beta2	Xentro_shf|alpha1	Galgal_ENSGALG00000038637|alpha1;Galgal_ENSGALG00000036125|beta1;Galgal_ENSGALG00000026811|alpha2	Lepocu_ENSLOCG00000014280|alpha1;Lepocu_ENSLOCG00000006851|beta1;Lepocu_ENSLOCG00000006271|beta2	Petmar_LOC116942124|chrm13;Petmar_LOC116941922|chrm1;Petmar_SHF|chrm57	Parata_EA71034|chr12;Parata_EA68043|chr8
OG_1222	CLGC	BF07133	LOC373388	BL11445	Sakowv30045812m	pfl_40v0_9_20150316_1g29406	LOC110978109	Chipun_Chipu0012756|alpha1	Lepocu_ENSLOCG00000013143|alpha1;Lepocu_ENSLOCG00000012282|alpha2	Xentro_Xetrov90008802m|alpha1	Galgal_ENSGALG00000014869|alpha2	Lepocu_ENSLOCG00000013143|alpha1;Lepocu_ENSLOCG00000012282|alpha2	Petmar_NNT|chrm13	
